,DEFB105A (245908)
ACH-000004,0.38181082037
ACH-000007,0.31303762897799997
ACH-000009,0.235138219694
ACH-000011,0.0798809034033
ACH-000012,0.0642106115964
ACH-000013,0.273840060064
ACH-000014,0.26412476208700003
ACH-000015,0.293013423641
ACH-000017,0.22910769406800002
ACH-000018,0.284475322692
ACH-000019,0.20039321480099997
ACH-000021,0.340027376907
ACH-000022,0.22152732704
ACH-000025,0.111519212422
ACH-000028,0.29590150972
ACH-000030,0.12064892154899999
ACH-000035,0.09750954359110002
ACH-000036,0.318228955826
ACH-000037,0.135374219429
ACH-000039,0.074705795014
ACH-000040,0.32409845284
ACH-000041,0.029496253110799998
ACH-000042,0.20603775671799998
ACH-000045,0.14466345148600002
ACH-000047,0.25577297025400003
ACH-000052,0.35872388197
ACH-000053,0.17395332503199998
ACH-000054,0.183399804113
ACH-000055,0.268986059826
ACH-000060,0.041975023531300004
ACH-000067,0.34604375167199997
ACH-000070,0.389535223671
ACH-000075,0.144820677631
ACH-000078,0.0442984695016
ACH-000082,-0.288706904175
ACH-000085,0.013981390276600001
ACH-000086,0.27421449846
ACH-000087,0.44471412451000003
ACH-000092,0.17330613647
ACH-000095,0.313630873646
ACH-000097,0.137798915634
ACH-000098,0.280835462129
ACH-000099,0.300363884202
ACH-000108,0.167749003607
ACH-000113,0.13538855619999998
ACH-000115,0.235699329824
ACH-000116,0.155909488323
ACH-000118,0.168749527986
ACH-000120,0.253055041481
ACH-000123,0.216069684018
ACH-000127,0.40836105096600006
ACH-000128,0.31967779630300003
ACH-000132,0.22159953648699998
ACH-000133,0.285814292027
ACH-000137,0.167505998347
ACH-000138,0.275762744295
ACH-000142,0.27939022806499997
ACH-000143,0.145550860501
ACH-000146,0.241887136887
ACH-000148,0.187070280463
ACH-000150,0.22286070412300002
ACH-000152,0.20508752951900003
ACH-000153,0.204992755609
ACH-000159,0.19342867162799998
ACH-000160,0.320403807999
ACH-000163,0.266650058191
ACH-000167,-0.22341027011999998
ACH-000168,0.198257276839
ACH-000169,0.178308409789
ACH-000178,0.07514393844669999
ACH-000182,0.284834438621
ACH-000183,0.28348687569200004
ACH-000188,0.0824936494878
ACH-000189,0.223854060496
ACH-000190,0.293964637864
ACH-000198,0.259655298347
ACH-000204,0.148613791948
ACH-000206,0.19456085297400003
ACH-000207,0.24721882996199998
ACH-000211,0.207820415209
ACH-000215,0.21965361252300003
ACH-000221,0.368236121136
ACH-000222,0.19774201350200002
ACH-000223,0.20167830173
ACH-000226,0.36473491752899995
ACH-000227,0.13697905399000002
ACH-000228,0.195483854912
ACH-000231,0.23418281714400002
ACH-000232,0.258900577885
ACH-000233,0.342544003029
ACH-000234,0.18974574437600003
ACH-000235,0.24935309841999997
ACH-000237,0.167570961189
ACH-000238,0.102737586618
ACH-000243,0.11911466107999999
ACH-000244,0.21805839491300003
ACH-000246,0.27059872834300003
ACH-000248,0.293616170724
ACH-000250,0.0351786610563
ACH-000251,0.353208071542
ACH-000253,0.238225543952
ACH-000255,0.302873097932
ACH-000256,0.21811935965799997
ACH-000257,0.281327127029
ACH-000258,0.118105373236
ACH-000259,0.20834759318100002
ACH-000260,0.224264366451
ACH-000261,0.265553255283
ACH-000262,0.333908491333
ACH-000263,0.34291145268
ACH-000264,0.15370083996099998
ACH-000265,0.08804584413239999
ACH-000266,0.272892778992
ACH-000272,0.32604203139800003
ACH-000273,0.219664142781
ACH-000274,0.0952802803518
ACH-000277,0.190589311024
ACH-000278,0.250632818121
ACH-000279,0.308950436785
ACH-000280,0.194329833172
ACH-000281,0.36089941029600003
ACH-000288,0.348384082643
ACH-000291,0.31639647073000005
ACH-000293,0.227536032335
ACH-000294,0.22552672051199998
ACH-000295,0.269584753343
ACH-000296,0.376600549829
ACH-000302,0.27844567674000004
ACH-000304,0.357535304736
ACH-000307,0.223432926402
ACH-000308,0.166345677815
ACH-000310,0.129098835531
ACH-000311,0.08075394775389999
ACH-000312,0.177212934218
ACH-000315,0.345758736422
ACH-000316,0.269039960322
ACH-000317,0.06596027372619999
ACH-000318,0.128278067091
ACH-000319,0.365812971466
ACH-000320,0.290971949897
ACH-000322,0.159717113938
ACH-000323,0.268188631618
ACH-000324,0.230619653013
ACH-000329,0.244568364409
ACH-000330,0.179143221824
ACH-000331,0.224120394738
ACH-000332,0.169502881109
ACH-000334,0.131368796732
ACH-000335,0.244182332025
ACH-000336,0.34537395149300004
ACH-000337,0.303258328224
