,BARD1 (580)
ACH-000004,-0.584103676727
ACH-000007,-0.829129202509
ACH-000009,-0.7996089887800001
ACH-000011,-0.9935027015260001
ACH-000012,-0.555079287562
ACH-000013,-0.889045440261
ACH-000014,-0.62566166669
ACH-000015,-0.49150820013499996
ACH-000017,-0.7507866716789999
ACH-000018,-0.715934100722
ACH-000019,-0.810928955494
ACH-000021,-0.7897489417679999
ACH-000022,-0.514639302942
ACH-000025,-1.0993202250799998
ACH-000028,-1.0083676777200001
ACH-000030,-0.79931048866
ACH-000035,-0.549546070012
ACH-000036,-0.753746421097
ACH-000037,-0.559501288632
ACH-000039,-0.547041409639
ACH-000040,-0.6742970928030001
ACH-000041,-0.664022218001
ACH-000042,-0.434880081017
ACH-000045,-0.849249198271
ACH-000047,-1.0119261554999999
ACH-000052,-0.8705076554260001
ACH-000053,-0.7480245165189999
ACH-000054,-0.8326271342470001
ACH-000055,-0.489688854374
ACH-000060,-0.496349526612
ACH-000067,-0.782121358018
ACH-000070,-0.790188686152
ACH-000075,-1.03723087036
ACH-000078,-0.804410886226
ACH-000082,-0.84317522441
ACH-000085,-0.387958226936
ACH-000086,-0.715797990543
ACH-000087,-1.10560104882
ACH-000092,-0.941649835786
ACH-000095,-0.45231703577
ACH-000097,-0.8976874028799999
ACH-000098,-0.794679926425
ACH-000099,-1.24543315204
ACH-000108,-0.590785312258
ACH-000113,-0.7604506405410001
ACH-000115,-0.600045737416
ACH-000116,-1.01805569624
ACH-000118,-1.0495093099200001
ACH-000120,-1.1361600421
ACH-000123,-0.8570216551440001
ACH-000127,-0.897295736954
ACH-000128,-0.543532542753
ACH-000132,-0.211869496899
ACH-000133,-1.1525237584899999
ACH-000137,-0.807488674114
ACH-000138,-0.731972341946
ACH-000142,-0.724878957702
ACH-000143,-0.759353069727
ACH-000146,-0.508252655572
ACH-000148,-0.905997197357
ACH-000150,-0.17551174890700003
ACH-000152,-1.03859409935
ACH-000153,-0.740412933803
ACH-000159,-1.22281046551
ACH-000160,-0.606075922818
ACH-000163,-0.521349649808
ACH-000167,-1.1842697988
ACH-000168,-0.617591335354
ACH-000169,-0.624027195438
ACH-000178,-0.966610515864
ACH-000182,-0.8232646027410001
ACH-000183,-0.5026230414899999
ACH-000188,-0.82445070971
ACH-000189,-0.47140746661300004
ACH-000190,-0.812201916259
ACH-000198,-0.7556360515809999
