,CLDND1 (56650)
ACH-000004,-0.0836220213245
ACH-000007,-0.307305616158
ACH-000009,-0.317899184452
ACH-000011,-0.297207180106
ACH-000012,-0.05383608262569999
ACH-000013,-0.140721540663
ACH-000014,-0.335734832011
ACH-000015,-0.0678584071915
ACH-000017,0.017633996544400003
ACH-000018,-0.12788348231799998
ACH-000019,-0.408822652661
ACH-000021,-0.191416529281
ACH-000022,-0.175883780595
ACH-000025,-0.247271314967
ACH-000028,-0.332749965278
ACH-000030,-0.143879758206
ACH-000035,-0.30941397220899997
ACH-000036,-0.295033855688
ACH-000037,-0.060395730692499996
ACH-000039,-0.404404261151
ACH-000040,-0.17091726959800002
ACH-000041,-0.0855938846296
ACH-000042,-0.044597204604400004
ACH-000045,-0.11274721703099999
ACH-000047,-0.165024362407
ACH-000052,-0.116299226872
ACH-000053,-0.166027290616
ACH-000054,-0.217284664629
ACH-000055,-0.243020257159
ACH-000060,-0.40041248608999996
ACH-000067,-0.341805754739
ACH-000070,-0.212423746304
ACH-000075,-0.0461349255162
ACH-000078,-0.337386939626
ACH-000082,-0.20428963493400001
ACH-000085,-0.29583071614100004
ACH-000086,-0.0321191378886
ACH-000087,-0.14363987464199998
ACH-000092,-0.28197404614300003
ACH-000095,-0.118321866371
ACH-000097,-0.212197838259
ACH-000098,-0.165577982366
ACH-000099,-0.05321342319180001
ACH-000108,-0.215484646875
ACH-000113,-0.155243164397
ACH-000115,-0.15586072558800002
ACH-000116,-0.0921118330797
ACH-000118,-0.223255090839
ACH-000120,-0.164964208331
ACH-000123,-0.17491629753
ACH-000127,-0.08539659291110001
ACH-000128,-0.34364027336499997
ACH-000132,-0.46850858844099996
ACH-000133,-0.230391202559
ACH-000137,-0.383503719733
ACH-000138,-0.19645953254299997
ACH-000142,-0.0823462252621
ACH-000143,-0.159875658279
ACH-000146,-0.13088455794099998
ACH-000148,-0.140663391544
ACH-000150,-0.151573437052
ACH-000152,-0.200414923444
ACH-000153,-0.054360004940400004
ACH-000159,-0.237778708457
ACH-000160,-0.0816635777035
ACH-000163,-0.21848402723299998
ACH-000167,-0.29252316007
ACH-000168,-0.015237542181200001
ACH-000169,-0.170749130501
ACH-000178,-0.203225165581
ACH-000182,-0.108592052194
ACH-000183,-0.09503522307399999
ACH-000188,-0.150514425018
