,REXO2 (25996)
ACH-000004,-0.495553570113
ACH-000007,-0.277129886657
ACH-000009,-0.3519519138
ACH-000011,-0.40086001596799997
ACH-000012,-0.5232475301730001
ACH-000013,-0.820373373917
ACH-000014,-0.449322418921
ACH-000015,-0.8229874278329999
ACH-000017,-0.273017779031
ACH-000018,-0.363127923967
ACH-000019,-0.63319016906
ACH-000021,-0.42147963439
ACH-000022,-0.238540474459
ACH-000025,-0.46055427483000005
ACH-000028,-1.20104081628
ACH-000030,-0.281269074406
ACH-000035,-0.37926107796999997
ACH-000036,-0.441155983949
ACH-000037,-0.536102210653
ACH-000039,-0.7018962917910001
ACH-000040,-0.64009800979
ACH-000041,-0.538429285796
ACH-000042,-0.48796273633000004
ACH-000045,-0.472647647627
ACH-000047,-0.586254979209
ACH-000052,-0.7543563470669999
ACH-000053,-0.39204206119
ACH-000054,-0.335601332544
ACH-000055,-0.571253177724
ACH-000060,-0.5320397056849999
ACH-000067,-0.302594257435
ACH-000070,-0.618550504892
ACH-000075,-0.48725993506000004
ACH-000078,-0.391563219648
ACH-000082,-0.492428144001
ACH-000085,-0.184285005291
ACH-000086,-0.496916492111
ACH-000087,-0.729060955925
ACH-000092,-0.388843858013
ACH-000095,-0.486182080041
ACH-000097,-0.484156484632
ACH-000098,-0.18828754418699997
ACH-000099,-0.766747689506
ACH-000108,-0.252747224894
ACH-000113,-0.7874509584980001
ACH-000115,-0.555702040194
ACH-000116,-0.527249516188
ACH-000118,-0.809698831437
ACH-000120,-0.555822159965
ACH-000123,-0.281791774276
ACH-000127,-0.253011247371
ACH-000128,-0.936553498011
ACH-000132,-0.588045171936
ACH-000133,-0.38433661464
ACH-000137,-0.5689001731600001
ACH-000138,-0.47933448977399995
ACH-000142,-0.289414704689
ACH-000143,-0.5923963725370001
ACH-000146,-0.31972913766399996
ACH-000148,-0.667886271153
ACH-000150,-0.315351603956
ACH-000152,-0.709568726934
ACH-000153,-0.508199690587
ACH-000159,-0.47675036677599997
ACH-000160,-0.995578294048
ACH-000163,-0.44879165231000007
ACH-000167,-0.24829563704399998
ACH-000168,-0.38346729798600004
ACH-000169,-0.279896815053
ACH-000178,-0.41475466098999997
ACH-000182,-0.611601182132
