,ITGB3BP (23421)
ACH-000004,0.132933513419
ACH-000007,0.09866747010089999
ACH-000009,0.0314777405932
ACH-000011,-0.28903266516
ACH-000012,0.216683890788
ACH-000013,0.114022341668
ACH-000014,0.0625995509576
ACH-000015,0.0600322011063
ACH-000017,0.126466370191
ACH-000018,0.119529206777
ACH-000019,0.010434298869700001
ACH-000021,-0.0741802343677
ACH-000022,0.159417291154
ACH-000025,-0.12087263247999999
ACH-000028,0.0634409650226
ACH-000030,0.137984161142
ACH-000035,0.141218103097
ACH-000036,0.203051282745
ACH-000037,0.284733076833
ACH-000039,-0.030413164147299998
ACH-000040,0.23770828146099998
ACH-000041,0.0252625732253
ACH-000042,0.151676858091
ACH-000045,-0.018996442030599997
ACH-000047,0.13939952619100002
ACH-000052,0.0397735154248
ACH-000053,0.15977198117
ACH-000054,-0.086000414948
ACH-000055,-0.0230601431629
ACH-000060,0.015777784245599998
ACH-000067,0.012535273726399999
ACH-000070,0.161404570785
ACH-000075,0.34642636973499996
ACH-000078,-0.0213056005963
ACH-000082,0.0108672633005
ACH-000085,0.141682626712
ACH-000086,0.157878919652
ACH-000087,0.0589230488691
ACH-000092,-0.07455058472039999
ACH-000095,0.048159284947199996
ACH-000097,0.026825732547
ACH-000098,0.056941214416300005
ACH-000099,0.0387716880645
ACH-000108,0.07400115086560001
ACH-000113,0.0157336743447
ACH-000115,0.05505060693680001
ACH-000116,0.12481251068
ACH-000118,0.0502041262092
ACH-000120,0.17161387721700003
ACH-000123,0.08815404423380001
ACH-000127,0.19517409742
ACH-000128,-0.00868594066139
ACH-000132,0.10390665520199999
ACH-000133,0.207987217892
ACH-000137,-0.101287674978
ACH-000138,0.0834995411259
ACH-000142,0.219048218422
ACH-000143,0.152400339243
ACH-000146,0.33895302416699996
ACH-000148,0.104202167059
ACH-000150,-0.11333076465500001
ACH-000152,0.111778581527
ACH-000153,0.0971503654022
ACH-000159,0.09436824430739998
ACH-000160,0.50494676487
ACH-000163,0.201203656637
ACH-000167,0.435466291882
ACH-000168,0.15210714026900002
ACH-000169,0.14751242643200002
ACH-000178,0.19747556711300002
ACH-000182,0.20187469202199998
ACH-000183,0.029244946239900003
ACH-000188,0.185997383609
ACH-000189,0.00831310763059
ACH-000190,0.304999073844
ACH-000198,0.0288610183092
ACH-000204,0.404364100762
ACH-000206,0.24022439083299998
ACH-000207,-0.0684120631781
ACH-000211,0.123294548365
ACH-000215,0.0561166957939
ACH-000221,0.14246476746099998
ACH-000222,-0.07669942428530001
ACH-000223,0.047665097467
ACH-000226,0.091015704495
ACH-000227,0.329568814848
ACH-000228,0.131069730074
ACH-000231,0.21119998152199998
ACH-000232,0.151071532452
ACH-000233,0.17138329048099998
ACH-000234,0.19232451955899998
ACH-000235,0.0957669674329
ACH-000237,0.14517451796599998
ACH-000238,0.12109458882999999
ACH-000243,0.103038868965
ACH-000244,0.026036299117799998
ACH-000246,0.081855393971
ACH-000248,0.18019393045
ACH-000250,0.12224282881100001
ACH-000251,0.231435895509
ACH-000253,0.10682309434800001
ACH-000255,-0.056410174217
ACH-000256,0.210712657877
ACH-000257,0.151357503378
ACH-000258,0.0905200700543
ACH-000259,0.0715326771749
ACH-000260,0.024065235970900004
ACH-000261,0.110956979473
ACH-000262,0.09340754136839999
ACH-000263,0.43594695863899996
ACH-000264,0.09860331243699999
ACH-000265,-0.0498684267321
ACH-000266,0.08620864118680001
ACH-000272,0.007607266835619999
ACH-000273,0.206594233563
ACH-000274,0.13968633501900002
ACH-000277,0.22284227119600003
ACH-000278,0.192634841062
ACH-000279,0.186613233701
ACH-000280,-0.0852210480302
ACH-000281,0.235569416254
ACH-000288,0.102957639855
ACH-000291,0.0705493208989
ACH-000293,0.129990531124
ACH-000294,0.148964038115
ACH-000295,0.07420840313060001
ACH-000296,-0.26184902628199996
ACH-000302,0.044831398902599996
ACH-000304,-0.012978410061899998
ACH-000307,0.0745560193746
ACH-000308,0.156038811343
ACH-000310,0.07377867776060001
ACH-000311,-0.145430600586
ACH-000312,-0.0697195924171
ACH-000315,0.196521642039
ACH-000316,0.183952389825
ACH-000317,0.10030967909600001
ACH-000318,0.26124034421
ACH-000319,0.143920379935
ACH-000320,-0.135991207656
ACH-000322,-0.08363306325889999
ACH-000323,-0.0957261746308
ACH-000324,-0.0727549350485
ACH-000329,0.102512401617
ACH-000330,0.116860946284
ACH-000331,0.0853407694211
ACH-000332,0.010038832890000002
ACH-000334,-0.135275647374
ACH-000335,-0.044545636227900004
ACH-000336,0.0240135570444
ACH-000337,0.35249322729500004
ACH-000339,0.190051383898
ACH-000341,0.117816148529
ACH-000348,0.049904741031999995
ACH-000350,0.124802452937
ACH-000352,0.027850231882
ACH-000356,-0.203954860105
ACH-000361,0.133510672697
ACH-000362,0.0902326854031
ACH-000363,0.18960520530400002
ACH-000364,0.08310450341469999
ACH-000365,0.054837180723800005
ACH-000366,0.108473439579
ACH-000368,0.193925114007
ACH-000374,0.0840229969692
