,ZWINT (11130)
ACH-000004,-0.47052926748499996
ACH-000007,-0.281061186259
ACH-000009,-0.303013657194
ACH-000011,-0.5176706785499999
ACH-000012,-0.833434541592
ACH-000013,0.11495309521
ACH-000014,-0.95992691543
ACH-000015,-0.253495151077
ACH-000017,-0.588658466153
ACH-000018,-0.70223044811
ACH-000019,-0.8096461219869999
ACH-000021,-0.5465226810480001
ACH-000022,-0.20695138428100002
ACH-000025,-0.699296604668
ACH-000028,-0.647486690962
ACH-000030,-0.427602632851
ACH-000035,-0.995495690155
ACH-000036,-0.619804754316
ACH-000037,-0.420058313672
ACH-000039,-0.660945012655
ACH-000040,-0.563257297971
ACH-000041,-0.298049686917
ACH-000042,-0.34941026164399996
ACH-000045,-0.550446961435
ACH-000047,-0.727232408668
ACH-000052,-0.640524281026
ACH-000053,-1.27334423062
ACH-000054,-0.641472431725
ACH-000055,-0.30724112911699997
ACH-000060,-0.245391151313
ACH-000067,-0.0360865815204
ACH-000070,-0.18130114107099998
ACH-000075,-0.553223745577
ACH-000078,-0.318825064512
ACH-000082,-0.762880537236
ACH-000085,-0.740544507357
ACH-000086,-0.52748198782
ACH-000087,-0.38557502732
ACH-000092,-0.39784544352300005
ACH-000095,-0.565883730941
ACH-000097,-0.704427559842
ACH-000098,-0.232852173058
ACH-000099,-0.623056649035
ACH-000108,-0.810112829389
ACH-000113,-0.579561371276
ACH-000115,-0.6551018090590001
ACH-000116,-0.547954499585
ACH-000118,-0.788989081697
ACH-000120,-0.798637125296
ACH-000123,-0.6869622222730001
ACH-000127,-0.105342862077
ACH-000128,-0.603619704327
ACH-000132,-0.8720283122920001
ACH-000133,-0.681457742485
ACH-000137,-0.9216101324539999
ACH-000138,-0.783128613014
ACH-000142,-0.301133179414
ACH-000143,-0.782717160395
ACH-000146,-0.383229421309
ACH-000148,-0.776334377855
ACH-000150,-0.510605641491
ACH-000152,-0.602316958339
ACH-000153,-0.683447224933
ACH-000159,-0.9267491558650001
ACH-000160,-0.424464910316
ACH-000163,-1.04427647308
ACH-000167,-0.977809974348
ACH-000168,-1.01253877971
ACH-000169,-0.313771671546
ACH-000178,-0.46208011078999994
ACH-000182,-0.26663515019
ACH-000183,-0.701525949638
ACH-000188,-0.84246296251
ACH-000189,-0.898438743212
ACH-000190,-0.686178874316
ACH-000198,-0.617420942825
ACH-000204,-0.571376495966
ACH-000206,-0.657114663201
ACH-000207,-0.667295782657
ACH-000211,-0.7992591016189999
ACH-000215,-0.878757244004
ACH-000221,-0.150118020736
ACH-000222,-0.550633428023
ACH-000223,-0.615854405331
ACH-000226,-0.77737126423
ACH-000227,-0.475548405999
ACH-000228,-0.422744012525
ACH-000231,-0.307485720331
ACH-000232,-0.500914230882
ACH-000233,-0.8343474509800001
ACH-000234,-0.336841245999
ACH-000235,-0.341409788508
ACH-000237,-0.300491653629
ACH-000238,-0.42474385503600004
ACH-000243,-0.9020863536779999
ACH-000244,0.225398369871
ACH-000246,-0.453698304925
ACH-000248,-0.6919342713240001
ACH-000250,-0.24405710247499998
ACH-000251,-0.454411688143
ACH-000253,-0.933258928239
ACH-000255,-0.539630016897
ACH-000256,-0.6718905700929999
ACH-000257,-1.23088140114
ACH-000258,-0.574504897074
ACH-000259,-0.146544813179
ACH-000260,-0.642931947205
ACH-000261,-0.311965081765
ACH-000262,-0.7450870878210001
ACH-000263,-0.447988046819
ACH-000264,-0.633886214623
ACH-000265,-0.532718792799
ACH-000266,-0.37648377119599996
ACH-000272,-0.414353650315
ACH-000273,-0.865759118301
ACH-000274,-0.310365357512
ACH-000277,-0.21838802254200002
ACH-000278,-0.44947517199299997
ACH-000279,-0.601338953455
ACH-000280,-0.311921228576
ACH-000281,-0.453842736342
ACH-000288,-0.345843267618
ACH-000291,-0.676571519284
ACH-000293,-0.655462055692
ACH-000294,-0.6457297002179999
ACH-000295,-0.675568748058
ACH-000296,-0.796030868171
ACH-000302,-0.209573657852
ACH-000304,-0.938510216473
ACH-000307,-0.6187059892010001
ACH-000308,-0.18840316579799998
ACH-000310,-0.481296765905
ACH-000311,-0.689495099381
ACH-000312,-0.39074676464
ACH-000315,-0.663465952491
ACH-000316,-0.41102159528899995
ACH-000317,-0.407463675884
ACH-000318,-0.572415778968
ACH-000319,-1.08068962532
ACH-000320,-0.575476438011
ACH-000322,-0.42412637223899996
ACH-000323,-0.810260817274
ACH-000324,-0.732892889796
ACH-000329,-0.589546848963
ACH-000330,-0.67236467887
ACH-000331,-0.69328817354
ACH-000332,-0.664779861399
ACH-000334,-0.5791528860980001
ACH-000335,-0.823732349668
ACH-000336,-0.5804240755100001
ACH-000337,-0.537127161577
ACH-000339,-0.696825451258
ACH-000341,-0.87764661745
ACH-000348,-0.558284012072
ACH-000350,-0.669963026686
ACH-000352,-0.572855089587
ACH-000356,-0.538382624033
ACH-000361,-0.661657550617
ACH-000362,-0.5617621614980001
ACH-000363,-0.20920739122
ACH-000364,-0.679674063366
ACH-000365,-0.242495473165
ACH-000366,-0.33597162040399997
ACH-000368,-0.65413551304
ACH-000374,-0.12207895885600001
ACH-000375,-0.582276931797
ACH-000376,-0.7616400618989999
ACH-000381,-0.48910841887900003
ACH-000383,-0.483904366739
ACH-000387,-0.532951983233
ACH-000389,-0.669319339591
ACH-000390,-0.950338065324
ACH-000393,-0.22275498334000002
ACH-000395,-0.831158413983
ACH-000397,-0.511686616263
ACH-000401,-0.6574002041179999
ACH-000402,0.0158206874553
ACH-000403,-0.571127288278
ACH-000404,-0.7985905641240001
ACH-000406,-0.525129974202
ACH-000407,-0.787910267298
ACH-000408,-0.708641667571
ACH-000410,-0.35689167597599997
ACH-000411,-0.482509637479
ACH-000414,-0.294649225568
ACH-000415,-0.641375195481
ACH-000416,-0.684747614542
ACH-000420,-0.489194981214
ACH-000421,-0.744106556647
ACH-000424,-0.619411700706
ACH-000425,-0.581014534389
ACH-000426,-0.0337972750648
ACH-000427,-0.18613731239
ACH-000433,-0.6927048081999999
ACH-000436,-0.518834957643
ACH-000444,-0.32437985713399997
ACH-000445,-0.345544049731
ACH-000448,-0.38682149093199997
ACH-000450,-0.769018336399
ACH-000452,-0.49300381238799995
ACH-000454,-0.35138595628799996
ACH-000458,-0.423002673873
ACH-000459,-0.37140156376500005
ACH-000460,-0.681528752525
ACH-000461,-0.43336487329400003
ACH-000463,-0.387373643182
ACH-000464,-0.45618144660800003
ACH-000466,-0.139893687573
ACH-000467,-0.790659963806
ACH-000468,-0.752448223178
ACH-000469,-0.8639597861130001
ACH-000470,-0.617174980148
ACH-000471,-0.107471689015
ACH-000472,-0.8257964127230001
ACH-000473,-0.346334874943
ACH-000475,-0.7151500127410001
ACH-000476,-0.181684576796
ACH-000477,-0.451727386694
ACH-000480,-0.47961345733499994
ACH-000481,-0.8193719129989999
ACH-000483,-0.641485777206
ACH-000484,-0.35269088194799997
ACH-000485,-0.992331280656
ACH-000486,-0.530960686205
ACH-000487,-0.307743094102
ACH-000488,-0.78144697117
ACH-000490,-0.61310584249
ACH-000491,-0.690212494526
ACH-000495,-0.0775180178835
ACH-000496,-0.7047270626540001
ACH-000499,-0.567955194799
ACH-000500,-0.359281077025
ACH-000502,-0.376002684151
ACH-000503,-0.5066765815959999
ACH-000505,-0.64420538861
ACH-000507,-0.698637539973
ACH-000510,-0.176521543747
ACH-000511,-0.37466856380099994
ACH-000512,-0.491333725872
ACH-000516,-0.216276137093
ACH-000517,-0.00808491409701
ACH-000518,-0.450032857963
ACH-000520,-0.698336771108
ACH-000521,-0.217928411094
ACH-000522,-0.453817128667
ACH-000524,-0.49388711951000003
ACH-000527,-0.499295251618
ACH-000528,-0.691798058441
ACH-000537,-0.09931415030719999
ACH-000541,-0.0766239510737
ACH-000542,-0.517407941273
ACH-000544,-0.791660523036
ACH-000545,-0.432588746438
ACH-000547,-0.42405748380400005
ACH-000548,-0.8768976602580001
ACH-000549,-0.535089447703
ACH-000550,-0.326496847227
ACH-000552,-0.41117457167300003
ACH-000556,-0.31270450852299997
ACH-000557,-0.8186757517550001
ACH-000570,-0.582059155927
ACH-000571,-0.713808288505
ACH-000573,-0.485438066268
ACH-000576,-0.7459799273559999
ACH-000580,-0.8405007359800001
ACH-000584,-0.752723076592
ACH-000585,-0.283329597467
ACH-000588,-0.168248093451
ACH-000589,-0.318044754597
ACH-000591,-0.47128794973899996
ACH-000593,-0.6680482079510001
ACH-000600,-0.596173553751
ACH-000601,-0.482714994657
ACH-000604,-0.371050970113
ACH-000605,-0.8214809375450001
ACH-000606,-0.863884380984
ACH-000608,-0.7754220944140001
ACH-000614,-0.45020312108599997
ACH-000616,-0.196329962298
ACH-000618,-0.7523580880930001
ACH-000619,-0.579444974794
ACH-000620,-0.7816996707070001
ACH-000621,-0.38881857673000003
ACH-000622,-0.34318580215899996
ACH-000623,-0.509847780197
ACH-000624,-0.7723283901119999
ACH-000627,-1.01712570015
ACH-000630,-0.6791487766850001
ACH-000632,-0.841195634314
ACH-000633,-0.649665953968
ACH-000637,-0.202140451443
ACH-000638,-0.6550492730799999
ACH-000646,-0.381549862497
ACH-000647,-0.747657024665
ACH-000648,-0.46663280916100003
ACH-000649,-0.32551455572
ACH-000651,-0.463232023354
ACH-000652,-0.34126558939400004
ACH-000653,-0.402255688148
ACH-000657,-0.357845519806
ACH-000658,-0.274185867604
ACH-000661,-0.895378665108
ACH-000662,-1.23800314096
ACH-000663,-0.634424820095
ACH-000665,-0.772701924093
ACH-000671,-0.501921287334
ACH-000673,-0.676524302985
ACH-000676,-0.6053815983699999
ACH-000677,-0.345203019457
ACH-000681,-0.812871402199
ACH-000682,-0.957174914984
ACH-000683,-0.6708435879169999
ACH-000684,-0.6814979142550001
ACH-000688,-0.242237693446
ACH-000693,-0.80984599227
ACH-000694,-0.47680987986400003
ACH-000695,-0.46635087840499995
ACH-000696,-0.601368569955
ACH-000697,-0.8948841974609999
ACH-000699,-0.236237553841
ACH-000701,-0.955687251339
ACH-000706,-0.504586756483
ACH-000711,-0.419355831817
ACH-000713,-0.696163795483
ACH-000714,-0.41122018938
ACH-000718,-0.451633100787
ACH-000720,-0.9149936356049999
ACH-000721,-0.579024955705
ACH-000724,-0.859557902067
ACH-000725,-0.317134698913
ACH-000732,-0.396836765853
ACH-000734,-0.41138056560900005
ACH-000735,-0.6234538797
ACH-000736,-0.522251859258
ACH-000738,-0.6714268989229999
ACH-000746,-0.271242935623
ACH-000747,-0.550592254774
ACH-000748,-0.444756987127
ACH-000753,-0.559439384318
ACH-000756,-0.5123188558940001
ACH-000757,-0.59739181172
ACH-000758,-0.368194596607
ACH-000760,-0.8338258512450001
ACH-000763,-0.0591608578069
ACH-000764,-0.382585000128
ACH-000765,-0.386935756127
ACH-000766,-0.120228775484
ACH-000767,-0.960187921312
ACH-000768,-0.5811325976199999
ACH-000769,-0.614015841681
