,EIF5B (9669)
ACH-000004,-0.027596433219499998
ACH-000007,0.12356261605
ACH-000009,0.07525979658769999
ACH-000011,0.165783866565
ACH-000012,0.14779337156300001
ACH-000013,0.0478592463664
ACH-000014,-0.0048342023524
ACH-000015,0.127755851302
ACH-000017,0.454830397677
ACH-000018,-0.208039518556
ACH-000019,0.12164386886800001
ACH-000021,0.125315302885
ACH-000022,0.0256699036572
ACH-000025,0.11452515170600001
ACH-000028,0.11129672942399998
ACH-000030,0.0767655245791
ACH-000035,0.0399347745899
ACH-000036,0.30420489365200004
ACH-000037,0.114365290767
ACH-000039,0.501783241603
ACH-000040,-0.352425746929
ACH-000041,-0.0764574219892
ACH-000042,0.0765366916909
ACH-000045,0.0458081640371
ACH-000047,0.07148322380960001
ACH-000052,0.165656541549
ACH-000053,0.158538473195
ACH-000054,0.0618532002174
ACH-000055,-0.10651335673699999
ACH-000060,0.019048971904900003
ACH-000067,0.148198599643
ACH-000070,-0.015840736818200002
ACH-000075,-0.0644226966788
ACH-000078,0.387442210846
ACH-000082,0.188142624036
ACH-000085,0.133434297432
ACH-000086,0.06834122159
ACH-000087,0.132319363655
ACH-000092,0.103358176563
ACH-000095,-0.0232430283047
ACH-000097,0.08138348227560001
ACH-000098,0.0632012325842
ACH-000099,0.19634982257800002
ACH-000108,-0.074744318179
ACH-000113,-0.136055291193
ACH-000115,0.0638820791352
ACH-000116,0.168015301024
ACH-000118,0.0675194870543
ACH-000120,0.0733340859852
ACH-000123,-0.0945107027592
ACH-000127,0.235382845933
ACH-000128,-0.09324201454510002
ACH-000132,0.268969541407
ACH-000133,0.204264765067
ACH-000137,-0.046717043551900005
ACH-000138,0.125838133811
ACH-000142,-0.14692164953
ACH-000143,0.210235249697
ACH-000146,0.224305448909
ACH-000148,0.200839257021
ACH-000150,0.18210887056800001
ACH-000152,0.0769982920495
ACH-000153,0.34535468675
ACH-000159,0.0019515133167700002
ACH-000160,-0.05554485825669999
ACH-000163,0.057584716558
ACH-000167,-0.251466213268
ACH-000168,0.246001680784
ACH-000169,0.163773949033
ACH-000178,0.028022004352199998
ACH-000182,0.0823847565804
ACH-000183,0.118626017834
ACH-000188,0.218132125299
ACH-000189,0.0203792287539
ACH-000190,0.100652986784
ACH-000198,0.0159040195281
ACH-000204,0.0498277088004
