,BTF3 (689)
ACH-000004,-0.284885978064
ACH-000007,-0.48970492059799997
ACH-000009,-0.477951864542
ACH-000011,-0.762261231567
ACH-000012,-0.47747423086400004
ACH-000013,-0.316868064997
ACH-000014,-0.38366389150799995
ACH-000015,-0.302090021233
ACH-000017,-0.026272399439599997
ACH-000018,-0.650594905082
ACH-000019,-0.59719675773
ACH-000021,-0.23043290498000005
ACH-000022,-0.445376572959
ACH-000025,-0.480498853768
ACH-000028,-0.181443875554
ACH-000030,-0.661419797776
ACH-000035,-0.49196839656400004
ACH-000036,-0.16978948487999998
ACH-000037,-1.02117909881
ACH-000039,-0.628096948743
ACH-000040,-1.03359125035
ACH-000041,-0.592996161116
ACH-000042,-0.362494661204
ACH-000045,-0.241124713382
ACH-000047,-0.430806378948
ACH-000052,-0.149710396268
ACH-000053,-0.500036488441
ACH-000054,-0.319233618951
ACH-000055,-0.445439048842
ACH-000060,-0.528713662952
ACH-000067,-0.343969784424
ACH-000070,-0.369213496732
ACH-000075,-0.5623528654950001
ACH-000078,-0.334811229639
ACH-000082,-0.12061857322799999
ACH-000085,-0.41884743668700003
ACH-000086,-0.621943742263
ACH-000087,-0.469519346939
ACH-000092,-0.636251191925
ACH-000095,-0.529135686528
ACH-000097,-0.641857483666
ACH-000098,-0.576272751983
ACH-000099,-0.260894658029
ACH-000108,-0.38804117069
ACH-000113,-0.502174344249
ACH-000115,-0.2626464256
ACH-000116,-0.5307264054640001
ACH-000118,-0.423346109609
ACH-000120,-0.491919611804
ACH-000123,-0.379410769327
ACH-000127,-0.45715018658600004
ACH-000128,-0.36545117666599997
ACH-000132,-0.39848898055200005
ACH-000133,-0.565174890391
ACH-000137,-0.183934673233
ACH-000138,-0.31726429153499996
ACH-000142,-0.5101751210459999
ACH-000143,-0.15914411113399998
ACH-000146,-0.0408348912628
ACH-000148,-0.159335654821
ACH-000150,-0.599672300156
ACH-000152,-0.380272790754
ACH-000153,-0.7866454774959999
ACH-000159,-0.570322225062
ACH-000160,-0.526547501726
ACH-000163,-0.5358258301519999
ACH-000167,-0.668878098631
ACH-000168,-0.611360560525
ACH-000169,-0.46772181763099996
ACH-000178,-0.527708772822
ACH-000182,-0.762551272791
ACH-000183,-0.344978530165
ACH-000188,-0.7337248893680001
ACH-000189,-0.671023873011
ACH-000190,-0.340739985408
