,AREL1 (9870)
ACH-000004,-0.271654764277
ACH-000007,-0.49081623705899996
ACH-000009,-0.487871763739
ACH-000011,-0.155773531828
ACH-000012,-0.129507715527
ACH-000013,-0.13933003862600002
ACH-000014,-0.27406178238699996
ACH-000015,-0.31344989442
ACH-000017,-0.310284382417
ACH-000018,-0.24477667980999998
ACH-000019,-0.134994498334
ACH-000021,-0.24741143483199998
ACH-000022,-0.305810292879
ACH-000025,-0.299318650733
ACH-000028,-0.40606309928400003
ACH-000030,-0.12834519081700002
ACH-000035,-0.175016335784
ACH-000036,-0.191375746822
ACH-000037,-0.30245528307799996
ACH-000039,-0.0857842462068
ACH-000040,-0.165743824026
ACH-000041,-0.40051930456699997
ACH-000042,-0.40822441217699995
ACH-000045,-0.21386010058
ACH-000047,-0.251013404484
ACH-000052,-0.410954800894
ACH-000053,-0.34324157183700005
ACH-000054,-0.33986199046899995
ACH-000055,-0.418712270404
ACH-000060,-0.35526334677
ACH-000067,-0.257133505385
ACH-000070,-0.197072364512
ACH-000075,-0.571173392265
ACH-000078,-0.270653571378
ACH-000082,-0.45639687800800005
ACH-000085,-0.565163736679
ACH-000086,-0.227812638873
ACH-000087,-0.186976409313
ACH-000092,-0.279941504581
ACH-000095,-0.365188987693
ACH-000097,-0.273471211543
ACH-000098,-0.237792574909
ACH-000099,-0.268678595976
ACH-000108,-0.16766395195699998
ACH-000113,-0.227095060575
ACH-000115,-0.14206962228
ACH-000116,-0.319744624986
ACH-000118,-0.349047579572
ACH-000120,-0.318445573499
ACH-000123,-0.335413024111
ACH-000127,-0.314865481076
ACH-000128,-0.475359551298
ACH-000132,-0.142319142236
ACH-000133,-0.17208040537
ACH-000137,-0.301481216978
ACH-000138,-0.41835904833899995
ACH-000142,-0.42119558142999997
ACH-000143,-0.36307822645300003
ACH-000146,-0.112327106157
ACH-000148,-0.30632079719599997
ACH-000150,-0.211090144305
ACH-000152,-0.173659146554
ACH-000153,-0.270021185639
ACH-000159,-0.144362432061
ACH-000160,-0.491378425248
ACH-000163,-0.436378087355
ACH-000167,-0.08200914912339999
ACH-000168,-0.11833170225199999
ACH-000169,-0.206099039654
ACH-000178,-0.296638634593
ACH-000182,-0.113964449309
ACH-000183,-0.261385937513
ACH-000188,-0.214753815954
ACH-000189,-0.5180703196459999
ACH-000190,-0.150214894041
ACH-000198,-0.141244378065
ACH-000204,-0.380756499858
ACH-000206,-0.38902644478500004
ACH-000207,-0.281741132953
ACH-000211,-0.38836435503600003
ACH-000215,-0.256499724052
ACH-000221,-0.07809758257180001
ACH-000222,-0.319829238784
ACH-000223,-0.331319904171
ACH-000226,-0.210365685804
ACH-000227,-0.606585612427
ACH-000228,-0.320438346296
ACH-000231,-0.20799979208
ACH-000232,-0.40830337672899997
ACH-000233,-0.194076353329
ACH-000234,-0.190630379537
ACH-000235,-0.280495260879
ACH-000237,-0.0763483414478
ACH-000238,-0.29888246121999995
ACH-000243,-0.22304434181899999
ACH-000244,-0.0188133818436
ACH-000246,-0.176929076939
ACH-000248,-0.36149358359300005
ACH-000250,-0.224656090845
ACH-000251,-0.18460874165399999
ACH-000253,-0.41802376708800004
ACH-000255,-0.250426164978
ACH-000256,-0.299144137971
ACH-000257,-0.358685312888
ACH-000258,-0.208686455411
ACH-000259,-0.18081239233
ACH-000260,-0.315582366658
ACH-000261,-0.225565922713
ACH-000262,-0.37686797043399994
ACH-000263,-0.559307702112
ACH-000264,-0.280027122342
ACH-000265,-0.29556932826
ACH-000266,-0.18787124243
ACH-000272,-0.21759418134199998
ACH-000273,-0.26021863213199997
ACH-000274,-0.312461180849
ACH-000277,-0.161270667655
ACH-000278,-0.39878029775799995
ACH-000279,-0.33331598810199997
ACH-000280,-0.484685654995
ACH-000281,-0.210972048464
ACH-000288,-0.347215625416
ACH-000291,-0.386540175286
ACH-000293,-0.150876744532
ACH-000294,-0.43659930648999995
ACH-000295,-0.09201775088160001
ACH-000296,-0.306803957574
ACH-000302,-0.0716472394147
ACH-000304,-0.5527916595100001
ACH-000307,-0.309881250942
ACH-000308,-0.265745173331
ACH-000310,-0.166654625556
ACH-000311,-0.332799967414
ACH-000312,-0.09997168146749999
ACH-000315,-0.300533595539
ACH-000316,-0.217497715467
ACH-000317,-0.30388552760000004
ACH-000318,-0.142126851958
ACH-000319,-0.298930317614
ACH-000320,-0.35651439950999997
ACH-000322,-0.415432956867
ACH-000323,-0.309845486584
ACH-000324,-0.328202134901
ACH-000329,-0.423010874725
ACH-000330,-0.268860999102
ACH-000331,-0.09604448297189999
ACH-000332,-0.282532212494
ACH-000334,-0.434317927187
ACH-000335,-0.3583547772
ACH-000336,-0.140586972981
ACH-000337,-0.359283260318
ACH-000339,-0.35017257168300003
ACH-000341,-0.394498314067
ACH-000348,-0.187745746638
ACH-000350,-0.343432273133
ACH-000352,-0.10089850457999999
ACH-000356,-0.422177802349
ACH-000361,-0.538333560854
ACH-000362,-0.266787175492
ACH-000363,-0.286666695533
ACH-000364,-0.08590573087060001
ACH-000365,-0.244926700334
ACH-000366,-0.37865193076
ACH-000368,-0.287772297772
ACH-000374,-0.052276466587800004
ACH-000375,-0.443298717681
ACH-000376,-0.320649373694
ACH-000381,-0.499418923037
ACH-000383,-0.332137338194
ACH-000387,-0.0858731061125
ACH-000389,-0.456746424002
ACH-000390,-0.23906193205200002
ACH-000393,-0.260510058673
ACH-000395,-0.488479765851
ACH-000397,-0.42972568257
ACH-000401,-0.34601858107699995
ACH-000402,-0.288689937182
ACH-000403,-0.336106637728
ACH-000404,-0.171230780386
ACH-000406,-0.23449478848400002
ACH-000407,-0.29742509993
ACH-000408,-0.248042689378
ACH-000410,-0.197940142595
ACH-000411,-0.32967747189
ACH-000414,-0.258466126163
ACH-000415,-0.19119101675900002
ACH-000416,-0.22594342454500002
ACH-000420,-0.22732343994600002
ACH-000421,-0.28753002320300003
ACH-000424,-0.20268956230300003
ACH-000425,-0.256224176918
ACH-000426,-0.42185025593000003
ACH-000427,-0.06650225335030001
ACH-000433,-0.08409574635339999
ACH-000436,-0.335051000241
ACH-000444,-0.323584315246
ACH-000445,-0.022785632855199998
ACH-000448,-0.306291585415
ACH-000450,-0.20878888009
ACH-000452,-0.284876992477
ACH-000454,-0.232833869905
ACH-000458,-0.245987660552
ACH-000459,-0.161722337743
ACH-000460,-0.0669602323095
ACH-000461,-0.278196607971
ACH-000463,-0.3020707087
ACH-000464,-0.280173639004
ACH-000466,-0.176430941044
ACH-000467,-0.19384277404800002
ACH-000468,-0.206056984397
ACH-000469,-0.414874895432
ACH-000470,-0.37561767530999995
ACH-000471,-0.296664980515
ACH-000472,-0.347349713209
ACH-000473,-0.0714066633841
ACH-000475,-0.277050658898
ACH-000476,-0.215661163297
ACH-000477,-0.391779083591
ACH-000480,-0.328993362347
ACH-000481,-0.5203371558259999
ACH-000483,0.012538691071999999
ACH-000484,-0.269264296361
ACH-000485,-0.578688484215
ACH-000486,-0.175148124708
ACH-000487,-0.287186177258
ACH-000488,-0.250571082319
ACH-000490,-0.26451803754700004
ACH-000491,-0.291527692296
ACH-000495,-0.35650300741400004
ACH-000496,-0.415514119423
ACH-000499,-0.22932361311500002
ACH-000500,-0.5895756942729999
ACH-000502,-0.226624945594
ACH-000503,-0.269040495275
ACH-000505,-0.39003107746699994
ACH-000507,-0.33381509958
ACH-000510,-0.192281458407
ACH-000511,-0.14836091363099999
ACH-000512,-0.5776227967759999
ACH-000516,-0.510170701293
ACH-000517,-0.274533634649
ACH-000518,-0.13459165771
ACH-000520,-0.373184735789
ACH-000521,-0.238071396978
ACH-000522,-0.205892111237
ACH-000524,-0.32474286703
ACH-000527,-0.227829855605
ACH-000528,-0.33411319130999995
ACH-000537,-0.20883889326299998
ACH-000541,-0.36924868478100004
ACH-000542,-0.343373388688
ACH-000544,-0.290160581293
ACH-000545,-0.292115569599
ACH-000547,-0.391985838289
ACH-000548,-0.342998134089
