,STAM2 (10254)
ACH-000004,-0.10657137051799999
ACH-000007,0.111603804573
ACH-000009,-0.163601306213
ACH-000011,-0.10775345758199999
ACH-000012,-0.192809422544
ACH-000013,-0.0298170840894
ACH-000014,0.0710255246583
ACH-000015,-0.125349088072
ACH-000017,-0.237887841127
ACH-000018,-0.142956805745
ACH-000019,-0.0404177128801
ACH-000021,-0.202460192924
ACH-000022,-0.06380611543930001
ACH-000025,-0.163176358952
ACH-000028,-0.111203460932
ACH-000030,-0.181512120295
ACH-000035,-0.23936985874299999
ACH-000036,-0.249400884645
ACH-000037,-0.077315338349
ACH-000039,-0.259361849972
ACH-000040,-0.103389497452
ACH-000041,-0.05636059070780001
ACH-000042,-0.176815706939
ACH-000045,-0.0148715612206
ACH-000047,-0.144574444608
ACH-000052,-0.28571397160900003
ACH-000053,-0.21051792337900002
ACH-000054,-0.0377394503811
ACH-000055,-0.24271857964000002
ACH-000060,-0.0487301179287
ACH-000067,-0.115878706356
ACH-000070,-0.090017822796
ACH-000075,0.00136075566008
ACH-000078,-0.105986641348
ACH-000082,-0.059252381638
ACH-000085,-0.0628943616941
ACH-000086,-0.24685922741
ACH-000087,0.004821215737439999
ACH-000092,-0.320668588936
ACH-000095,-0.264129967964
ACH-000097,-0.131199855039
ACH-000098,-0.139038540465
ACH-000099,-0.18065710693300002
ACH-000108,-0.109731311987
ACH-000113,-0.34641523297
ACH-000115,0.021276662650599996
ACH-000116,-0.0826270611192
ACH-000118,-0.27320271745
ACH-000120,-0.21040549935699998
ACH-000123,-0.21203928727000002
ACH-000127,-0.29347789029800003
ACH-000128,-0.045565970641
ACH-000132,-0.23335858388099998
ACH-000133,-0.11210315896600001
ACH-000137,-0.138442257708
ACH-000138,-0.0824801491301
ACH-000142,-0.293833725617
ACH-000143,0.0953958219593
ACH-000146,-0.154612743725
ACH-000148,-0.221125328576
ACH-000150,0.047050082531
ACH-000152,-0.285366681123
ACH-000153,-0.08944099367630001
ACH-000159,-0.232310294508
ACH-000160,-0.104929979643
ACH-000163,-0.188761355145
ACH-000167,-0.22398789780499997
ACH-000168,-0.0074176050508899995
ACH-000169,-0.172776582821
ACH-000178,-0.275384656792
ACH-000182,-0.183686034844
ACH-000183,-0.103984643946
ACH-000188,-0.164244906719
ACH-000189,-0.12394784784299999
ACH-000190,-0.408285651171
ACH-000198,-0.44494786021099997
ACH-000204,-0.155967908078
ACH-000206,-0.0203160460886
ACH-000207,-0.0333200509608
ACH-000211,-0.213335845751
ACH-000215,-0.152123007224
ACH-000221,-0.0960092951477
ACH-000222,-0.298673362111
ACH-000223,-0.445989607298
ACH-000226,-0.247880396683
ACH-000227,0.00751537310682
ACH-000228,-0.258695701284
ACH-000231,-0.155704520635
ACH-000232,-0.176490486668
ACH-000233,-0.0466215120622
ACH-000234,-0.096949763664
ACH-000235,-0.139531185912
ACH-000237,-0.216076662177
ACH-000238,-0.186613211525
ACH-000243,-0.2385050275
ACH-000244,-0.00734819762243
ACH-000246,-0.0402899043373
ACH-000248,-0.20234193760400002
ACH-000250,-0.13536422958900002
ACH-000251,-0.163474179384
ACH-000253,-0.109563485898
ACH-000255,-0.19294914633299998
ACH-000256,-0.0411809360037
ACH-000257,0.0475093288342
ACH-000258,-0.0069303559890699995
ACH-000259,-0.09937373092280001
ACH-000260,-0.173813783197
ACH-000261,-0.147446831725
ACH-000262,-0.24155025112300002
ACH-000263,-0.0228207949303
ACH-000264,-0.052200691687400005
ACH-000265,-0.259103547653
ACH-000266,-0.253256039115
ACH-000272,-0.10423115769300001
ACH-000273,-0.333002883021
ACH-000274,-0.18388911352200002
ACH-000277,-0.208964196404
ACH-000278,-0.33916463658699997
ACH-000279,-0.161703464816
ACH-000280,-0.198611151772
ACH-000281,-0.32523871166499996
ACH-000288,-0.10147741190500001
ACH-000291,-0.21141306950999997
ACH-000293,0.00963377569932
ACH-000294,-0.39184012959200004
ACH-000295,0.07403462464480001
ACH-000296,-0.433715712307
ACH-000302,-0.18731057531800002
ACH-000304,-0.490183890484
ACH-000307,-0.20381233557599998
ACH-000308,-0.321651506864
ACH-000310,-0.286545947826
ACH-000311,-0.350176684891
ACH-000312,-0.133691755207
ACH-000315,-0.104574915362
ACH-000316,-0.16068405478599998
ACH-000317,-0.29657192735800003
ACH-000318,-0.006628975402920001
ACH-000319,-0.0478140999283
ACH-000320,-0.355431141634
ACH-000322,-0.09920086386980001
ACH-000323,-0.105869646968
ACH-000324,-0.21082495832800002
ACH-000329,-0.0850992942688
ACH-000330,-0.025631949737299996
ACH-000331,-0.165584508918
ACH-000332,-0.203856778482
ACH-000334,0.041298592956599996
ACH-000335,-0.54117145426
ACH-000336,-0.20576464666799998
ACH-000337,-0.102822653646
ACH-000339,-0.207504635604
ACH-000341,-0.24402820165800002
ACH-000348,-0.136948080636
ACH-000350,0.0287777049766
ACH-000352,-0.0318390592618
ACH-000356,-0.377127419231
ACH-000361,-0.160286960057
ACH-000362,-0.274855499452
ACH-000363,-0.0719531748415
ACH-000364,-0.12401517557399999
ACH-000365,-0.19424371695099998
ACH-000366,-0.122226284933
ACH-000368,-0.19984767933800002
ACH-000374,-0.24292313176199998
ACH-000375,-0.10616754444399999
ACH-000376,-0.210378455923
ACH-000381,-0.21395651158
ACH-000383,-0.211779024901
ACH-000387,-0.218175563783
ACH-000389,-0.221895604938
ACH-000390,-0.127065122551
ACH-000393,-0.26401969944200004
ACH-000395,-0.019502564144700002
ACH-000397,-0.21286485917800002
ACH-000401,-0.258587842059
ACH-000402,-0.34145670974299996
ACH-000403,0.0321821010307
ACH-000404,-0.131985003334
ACH-000406,-0.182432878444
ACH-000407,-0.137763411512
ACH-000408,-0.157466597467
ACH-000410,-0.043583651105500006
ACH-000411,-0.0107202774582
ACH-000414,-0.317558363439
ACH-000415,-0.127864189433
ACH-000416,-0.0759052419417
ACH-000420,-0.12442263022500001
ACH-000421,-0.08502730684630001
ACH-000424,0.0392142574025
ACH-000425,-0.106424602547
ACH-000426,0.152733157782
ACH-000427,0.146933450533
ACH-000433,-0.0529724467849
ACH-000436,-0.0981967233176
ACH-000444,-0.038770868991600003
ACH-000445,-0.093923464804
ACH-000448,-0.052376583399099993
ACH-000450,0.18386909539299998
ACH-000452,-0.08446549812239999
ACH-000454,-0.333892025082
ACH-000458,-0.199668777353
ACH-000459,-0.007908437123879999
ACH-000460,-0.34641530153399996
ACH-000461,-0.026451983243400003
ACH-000463,-0.211204318319
ACH-000464,-0.0281283260515
ACH-000466,-0.195621275685
ACH-000467,-0.131805276359
ACH-000468,-0.36845147925899996
ACH-000469,-0.20821704256700002
ACH-000470,-0.0708645657288
ACH-000471,-0.0771493365984
ACH-000472,-0.0746555850664
ACH-000473,-0.166318763241
ACH-000475,-0.0837567830102
ACH-000476,-0.0953895753446
ACH-000477,-0.127505653308
ACH-000480,-0.231239480397
ACH-000481,-0.194218723838
ACH-000483,-0.262808371675
ACH-000484,-0.0740732764006
ACH-000485,-0.234649796965
ACH-000486,-0.114537726244
ACH-000487,-0.093018883866
ACH-000488,-0.0758565485599
ACH-000490,-0.128371930186
ACH-000491,0.0171816290023
ACH-000495,-0.310154527723
ACH-000496,-0.27809059195999997
ACH-000499,-0.0471183455014
ACH-000500,-0.6072925502709999
ACH-000502,-0.122559259716
ACH-000503,-0.468684857339
ACH-000505,-0.138101433074
ACH-000507,-0.169785553271
ACH-000510,-0.305726399237
ACH-000511,-0.145034353732
ACH-000512,-0.238725961724
ACH-000516,-0.180616454091
ACH-000517,-0.0864019753812
ACH-000518,-0.10368881432499999
ACH-000520,0.00650742285149
ACH-000521,-0.45437727630400004
ACH-000522,-0.0872601537179
ACH-000524,-0.13472099404000001
ACH-000527,-0.149144558212
ACH-000528,0.027892358300099996
ACH-000537,-0.032198630033999996
ACH-000541,-0.22650451653499998
ACH-000542,-0.14501251146299998
ACH-000544,-0.0872155470927
ACH-000545,-0.400368464274
ACH-000547,0.123154296392
ACH-000548,-0.723527511215
ACH-000549,-0.390985170556
ACH-000550,-0.16303024264000002
ACH-000552,0.0986373143269
ACH-000556,-0.138843667455
ACH-000557,0.00240553776751
ACH-000570,0.034286534201
ACH-000571,-0.039171326638800005
ACH-000573,-0.236646942033
ACH-000576,0.0856603266127
ACH-000580,-0.206616500606
ACH-000584,-0.20745851482299998
ACH-000585,-0.15289791222100002
ACH-000588,0.040453861039800004
ACH-000589,-0.128122118575
ACH-000591,-0.24964366043400002
ACH-000593,-0.24915708874899997
ACH-000600,-0.102136832468
ACH-000601,-0.20494478680599998
ACH-000604,-0.18446295216800002
ACH-000605,-0.243455595957
ACH-000606,-0.207916829101
ACH-000608,-0.145015168997
ACH-000614,0.141826657779
ACH-000616,-0.279704358437
ACH-000618,-0.107344058346
ACH-000619,-0.15023763238500001
ACH-000620,-0.0730565034248
ACH-000621,-0.140133184008
ACH-000622,-0.360851557451
ACH-000623,-0.298343699136
ACH-000624,-0.201196265269
ACH-000627,-0.159583788883
ACH-000630,-0.224547000174
ACH-000632,-0.196375411201
ACH-000633,-0.0665079525022
ACH-000637,-0.0348622298896
ACH-000638,-0.420464128208
ACH-000646,-0.386176175627
ACH-000647,-0.157835554561
ACH-000648,-0.287254880014
ACH-000649,-0.199479062086
ACH-000651,-0.146881169268
ACH-000652,-0.309117195222
ACH-000653,-0.15416951962300002
ACH-000657,-0.20697620528000002
ACH-000658,-0.10571481678
ACH-000661,-0.15387160765799998
ACH-000662,-0.0803288340092
ACH-000663,-0.344581837997
ACH-000665,-0.103257624599
ACH-000671,-0.139526292727
ACH-000673,-0.37829128203400003
ACH-000676,-0.102248803397
ACH-000677,-0.212663993972
ACH-000681,-0.142202900116
ACH-000682,-0.23186984136500002
ACH-000683,-0.27613450669399997
ACH-000684,-0.145421582959
ACH-000688,-0.196456772415
ACH-000693,-0.12535691831700002
ACH-000694,-0.0786910741987
ACH-000695,-0.44525156631499996
ACH-000696,-0.077095992165
ACH-000697,-0.24221997850000002
ACH-000699,-0.226008423179
ACH-000701,-0.193918420383
ACH-000706,-0.011722021277600001
ACH-000711,-0.186632517757
ACH-000713,-0.21264784447299998
ACH-000714,-0.17348912815499998
ACH-000718,-0.151546652669
ACH-000720,-0.20228996668
ACH-000721,-0.37496917534
ACH-000724,0.271564083656
ACH-000725,-0.167429316725
ACH-000732,-0.093552437733
ACH-000734,-0.21263923522599998
ACH-000735,-0.186769711486
ACH-000736,-0.0207057769905
ACH-000738,-0.0848396162413
ACH-000746,-0.130068924397
ACH-000747,-0.27633661504
ACH-000748,-0.0601439179161
ACH-000753,-0.126792542924
ACH-000756,-0.08935119433319999
ACH-000757,-0.222671267594
ACH-000758,-0.249347729899
ACH-000760,-0.0439175714635
ACH-000763,0.13454325551
ACH-000764,-0.179872242919
ACH-000765,-0.14229226774
ACH-000766,-0.256058816031
ACH-000767,-0.0982882869737
ACH-000768,-0.32979261387
ACH-000769,-0.308923817627
ACH-000770,-0.0675905758942
ACH-000771,-0.106222008288
ACH-000773,-0.19830592796
ACH-000776,-0.312835848786
ACH-000777,-0.12269685911599999
ACH-000778,-0.21672446241700002
ACH-000781,-0.147217017012
ACH-000782,-0.0297116285814
ACH-000783,-0.130956186752
ACH-000784,-0.092601876553
ACH-000785,-0.193157428563
ACH-000787,-0.23774176268000002
ACH-000788,-0.155905041287
ACH-000791,-0.29807575703600003
ACH-000792,-0.0818103923347
ACH-000794,-0.0348427071385
ACH-000796,-0.163698080229
