,CD37 (951)
ACH-000004,-0.158004290013
ACH-000007,-0.260193730039
ACH-000009,-0.091767846382
ACH-000011,0.07899830401610002
ACH-000012,-0.136104718218
ACH-000013,-0.33495303334800003
ACH-000014,-0.212801508107
ACH-000015,-0.253599677674
ACH-000017,-0.16679217828600001
ACH-000018,-0.171783656322
ACH-000019,-0.169920734052
ACH-000021,-0.0903679572592
ACH-000022,-0.275125280202
ACH-000025,-0.0235929627962
ACH-000028,-0.23127623453200002
ACH-000030,-0.10722578897
ACH-000035,-0.146617037319
ACH-000036,-0.124687698184
ACH-000037,-0.28036347372
ACH-000039,-0.339375006544
ACH-000040,-0.0749983779362
ACH-000041,-0.06351275783390001
ACH-000042,-0.18704484274799998
ACH-000045,-0.223857913578
ACH-000047,-0.184853689248
ACH-000052,-0.266167705142
ACH-000053,-0.0471916377768
ACH-000054,-0.137099666289
ACH-000055,-0.16749638924000002
ACH-000060,-0.0859284131216
ACH-000067,-0.140313867102
ACH-000070,0.18050478093699998
ACH-000075,-0.226524991838
ACH-000078,-0.432875939497
ACH-000082,-0.09130497373759999
ACH-000085,-0.14167098471
ACH-000086,-0.331821032141
ACH-000087,-0.184018123108
ACH-000092,-0.170333463013
ACH-000095,-0.125163587587
ACH-000097,-0.301272842907
ACH-000098,-0.22815164248000003
ACH-000099,-0.202842068049
ACH-000108,-0.20281244692400002
ACH-000113,-0.162351198776
ACH-000115,-0.045419784162300005
ACH-000116,-0.205493937269
ACH-000118,-0.196859325055
ACH-000120,-0.231665190348
ACH-000123,-0.173425475197
ACH-000127,-0.136574920559
ACH-000128,-0.0661716877532
ACH-000132,-0.08726506343620001
ACH-000133,-0.11484826486199999
ACH-000137,-0.17648971284899997
ACH-000138,-0.13810807618100002
ACH-000142,-0.21328888510400001
ACH-000143,-0.10288119991800002
ACH-000146,-0.0393196312583
ACH-000148,-0.15622053892899998
ACH-000150,-0.0628526960289
ACH-000152,-0.275179589166
ACH-000153,-0.555588459712
ACH-000159,-0.250609458182
ACH-000160,-0.291285813902
ACH-000163,-0.248198994334
ACH-000167,-0.0891155439205
ACH-000168,0.06315875288
ACH-000169,-0.168904909467
ACH-000178,-0.145571711538
ACH-000182,-0.195170438955
ACH-000183,-0.18802810028
ACH-000188,-0.125021670737
ACH-000189,-0.126876921418
ACH-000190,-0.135726736554
ACH-000198,-0.101921152861
ACH-000204,-0.186401322176
ACH-000206,-0.120240841568
ACH-000207,-0.113041690282
ACH-000211,-0.198590439264
ACH-000215,-0.0996241450787
ACH-000221,-0.273328156799
ACH-000222,-0.08522090618010002
ACH-000223,-0.07843614454860001
ACH-000226,-0.28880511547800003
ACH-000227,0.10941684905099999
ACH-000228,0.0131904063011
ACH-000231,-0.144112869386
ACH-000232,-0.10965491675000001
ACH-000233,-0.131094093006
ACH-000234,-0.0412093928845
ACH-000235,-0.20622741951200002
ACH-000237,-0.323842052541
ACH-000238,0.0856561515149
