,STAT5B (6777)
ACH-000004,-0.35176162605300004
ACH-000007,-0.11389597819599999
ACH-000009,-0.278210521238
ACH-000011,-0.0607849044185
ACH-000012,-0.293910721232
ACH-000013,-0.153192719116
ACH-000014,-0.21193844663
ACH-000015,-0.124605636277
ACH-000017,-0.38121534663199996
ACH-000018,-0.237807038075
ACH-000019,0.00903814282129
ACH-000021,-0.21244804277600002
ACH-000022,-0.220603156743
ACH-000025,-0.226632875319
ACH-000028,-0.112008234487
ACH-000030,-0.262655396528
ACH-000035,-0.274150151977
ACH-000036,-0.186051389465
ACH-000037,-0.0629136477709
ACH-000039,-0.415351788357
ACH-000040,-0.200402916736
ACH-000041,-0.38840811928999996
ACH-000042,-0.19186450916499997
ACH-000045,-0.869332815072
ACH-000047,-0.119476250365
ACH-000052,-0.07619793018450001
ACH-000053,-0.19680545338
ACH-000054,-0.0708495270272
ACH-000055,-0.25830077636
ACH-000060,-0.102869882108
ACH-000067,-0.307680494993
ACH-000070,-0.0352187040614
ACH-000075,0.013850676499900001
ACH-000078,-0.26807429965999996
ACH-000082,-0.215673200709
ACH-000085,-0.22698631659600002
ACH-000086,-0.280687353403
ACH-000087,-0.279960950925
ACH-000092,-0.205527585174
ACH-000095,-0.321061835111
ACH-000097,-0.197834349751
ACH-000098,-0.244891453741
ACH-000099,-0.136592377427
ACH-000108,-0.328084898013
ACH-000113,-0.324241579926
ACH-000115,-0.42951610952299996
ACH-000116,-0.218444557754
ACH-000118,-0.234097365253
ACH-000120,-0.5020386903890001
ACH-000123,-0.226564088686
ACH-000127,-0.0919757913762
ACH-000128,-0.110280993322
ACH-000132,-0.288911059722
ACH-000133,-0.0827240592443
ACH-000137,-0.163273841469
ACH-000138,-0.382484946382
ACH-000142,-0.28001028814
ACH-000143,-0.0372929346627
ACH-000146,-0.247436124929
ACH-000148,-0.21861641393800002
ACH-000150,-0.237445170742
ACH-000152,-0.220193832503
ACH-000153,-0.51021467128
ACH-000159,-0.10711993030400001
ACH-000160,0.184442748956
ACH-000163,-0.197114872731
ACH-000167,0.424070905733
ACH-000168,-0.256430021394
ACH-000169,-0.10162002426899999
ACH-000178,-0.141945574441
ACH-000182,0.019471422569200002
ACH-000183,-0.0127885271095
ACH-000188,-0.256661289728
ACH-000189,-0.155645937875
ACH-000190,0.142883028642
ACH-000198,-1.2398181498
ACH-000204,-0.10385196449999999
ACH-000206,0.00966999056592
ACH-000207,-0.216470971248
ACH-000211,-0.37601255389700006
ACH-000215,-0.27880210199
ACH-000221,-0.18739356264899998
ACH-000222,0.018705979923900003
ACH-000223,-0.182085851977
ACH-000226,-0.285691071581
ACH-000227,-0.269645203611
ACH-000228,-0.311887369445
ACH-000231,-0.160761158377
ACH-000232,-0.243425526279
ACH-000233,-0.019436324178099998
ACH-000234,-0.19982567106600002
ACH-000235,-0.31114817838799996
ACH-000237,-0.0845765187191
ACH-000238,-0.34462110969000004
ACH-000243,-0.36879573822899997
ACH-000244,-0.135677965864
ACH-000246,-0.0326061387914
ACH-000248,-0.26134527789900003
ACH-000250,-0.18671956932999997
ACH-000251,-0.34651886024800005
ACH-000253,-0.179127967984
ACH-000255,-0.273529712864
ACH-000256,-0.24240599243500002
ACH-000257,-0.346149599903
ACH-000258,-0.42177886012800003
ACH-000259,-0.238536451325
ACH-000260,-0.21360336446800002
ACH-000261,-0.22991485353
ACH-000262,-0.151507659894
ACH-000263,-0.271737956009
ACH-000264,-0.29782466502599997
ACH-000265,-0.311646050333
ACH-000266,-0.177825898827
ACH-000272,-0.241443275357
ACH-000273,-0.170593556795
ACH-000274,-0.235536786869
ACH-000277,-0.118585150036
ACH-000278,-0.159089575782
ACH-000279,-0.283455869415
ACH-000280,-0.155535786408
ACH-000281,-0.383495055787
ACH-000288,-0.20308204745900002
ACH-000291,-0.264426089299
ACH-000293,-0.05686756075590001
ACH-000294,-0.289912890743
ACH-000295,-0.818900292096
ACH-000296,-0.14426289302
ACH-000302,-0.136127967433
ACH-000304,-0.24570804133000002
ACH-000307,-0.05388456373790001
ACH-000308,-0.11859476007099999
ACH-000310,-0.299249215962
ACH-000311,-0.360242851023
