,NSMCE4A (54780)
ACH-000004,-0.289587136221
ACH-000007,-0.648863756155
ACH-000009,-0.2498863403
ACH-000011,-0.20602521121599998
ACH-000012,-0.386986275043
ACH-000013,-0.308853305208
ACH-000014,-0.49174439141500004
ACH-000015,-0.43970026358099995
ACH-000017,-0.40651058921899996
ACH-000018,-0.352727108293
ACH-000019,-0.405808696507
ACH-000021,-0.683283843868
ACH-000022,-0.38709288639
ACH-000025,-0.39716101838699996
ACH-000028,-0.417331056819
ACH-000030,-0.15558517571799999
ACH-000035,-0.385662287082
ACH-000036,-0.565879569518
ACH-000037,-0.377803737353
ACH-000039,-0.377041890775
ACH-000040,-0.31308477211999997
ACH-000041,-0.31588928389800003
ACH-000042,-0.6907207648289999
ACH-000045,-0.5994621576020001
ACH-000047,-0.5752946166089999
ACH-000052,-0.81337679952
ACH-000053,-0.724667292017
ACH-000054,-0.24984136586
ACH-000055,-0.6999865662870001
ACH-000060,-0.39884643864200003
ACH-000067,-0.8574421373350001
ACH-000070,-0.359615607599
ACH-000075,-0.6192369230479999
ACH-000078,-0.314527117591
ACH-000082,-0.206410131681
ACH-000085,-0.542533288642
ACH-000086,-0.33556105542
ACH-000087,-0.374888563596
ACH-000092,-0.488154263833
ACH-000095,-0.55391149912
ACH-000097,-0.5270097611919999
ACH-000098,-0.42653493723
ACH-000099,-0.377396461037
ACH-000108,-0.282399211113
ACH-000113,-0.5400744038440001
ACH-000115,-0.141753209196
ACH-000116,-0.475304862202
ACH-000118,-0.722000983532
ACH-000120,-0.330816033794
ACH-000123,-0.440823817685
ACH-000127,-0.29882307068799996
ACH-000128,-0.527470466642
ACH-000132,-0.182116436538
ACH-000133,-0.535273546806
ACH-000137,-0.7542311135780001
ACH-000138,-0.271883197183
ACH-000142,-0.350174495578
ACH-000143,-0.769420205031
ACH-000146,-0.413951101565
ACH-000148,-0.5629540021689999
ACH-000150,-0.397579983315
ACH-000152,-0.502592039722
ACH-000153,0.005840592488300001
ACH-000159,-0.227294933142
ACH-000160,-0.329384983771
ACH-000163,-0.825808198495
ACH-000167,-0.6092237308389999
ACH-000168,-0.390688387674
ACH-000169,-0.37188976765299997
ACH-000178,-0.543839960471
ACH-000182,-0.43328527873899997
ACH-000183,-0.36885773350900003
ACH-000188,-0.461431764114
ACH-000189,-0.667462049433
ACH-000190,-0.22292235069699998
ACH-000198,-0.401145910503
ACH-000204,-0.26152162576
ACH-000206,-0.547272066544
ACH-000207,-0.6098155022899999
ACH-000211,-0.45071186000600005
ACH-000215,-0.534695344573
ACH-000221,-0.268211158003
ACH-000222,-0.048372004136699995
ACH-000223,-0.276545853303
ACH-000226,-0.549163602301
ACH-000227,-0.300962597154
ACH-000228,-0.719540159517
ACH-000231,-0.454392834652
ACH-000232,-0.372375964406
ACH-000233,-0.6081617444990001
ACH-000234,-0.233174273382
ACH-000235,-0.451062864659
ACH-000237,-0.563686890023
ACH-000238,-0.49110527416599997
ACH-000243,-0.469289395872
ACH-000244,-0.437878869996
ACH-000246,-0.582354957016
ACH-000248,-0.540272744644
ACH-000250,-0.224538752638
ACH-000251,-0.36752936672200004
ACH-000253,-0.484054424794
ACH-000255,-0.5763663748260001
ACH-000256,-0.64159501824
ACH-000257,-1.0831154723799998
ACH-000258,-0.706397570412
ACH-000259,-0.35105544635700003
ACH-000260,-0.41596280277500003
ACH-000261,-0.305525173119
ACH-000262,-0.580696565696
ACH-000263,-0.136441909892
ACH-000264,-0.20069735437800001
ACH-000265,-0.274054003015
ACH-000266,-0.8177893258140001
ACH-000272,-0.522208527042
ACH-000273,-0.513123450738
ACH-000274,-0.237784628059
ACH-000277,-0.510806977208
ACH-000278,-0.925795927949
ACH-000279,-0.625718941056
ACH-000280,-0.602147922553
ACH-000281,-0.603255506633
ACH-000288,-0.66644194166
ACH-000291,-0.47853779492700005
ACH-000293,-0.206633577229
ACH-000294,-0.010796040608
ACH-000295,-0.489617446895
ACH-000296,-0.31083307497900003
ACH-000302,-0.380739074568
ACH-000304,-0.331031318404
ACH-000307,-0.675010217949
ACH-000308,-0.515346545053
ACH-000310,-0.182369855673
ACH-000311,-0.459720100736
ACH-000312,-0.148341002638
ACH-000315,-0.667240619382
ACH-000316,-0.734281518245
ACH-000317,-0.357601546672
ACH-000318,-0.386164185067
ACH-000319,-0.29104315039
ACH-000320,-0.12045451942600001
ACH-000322,-0.719823262952
ACH-000323,-0.6009951781189999
ACH-000324,-0.352469924873
ACH-000329,-0.362510162636
ACH-000330,-0.50810816044
ACH-000331,-0.758500866525
ACH-000332,-0.20604654336800002
ACH-000334,-0.270373844779
ACH-000335,-0.43735627162699997
ACH-000336,-1.07312704092
ACH-000337,-0.770765212093
ACH-000339,-0.620425090925
ACH-000341,-0.287701656668
