,CDKN2A (1029)
ACH-000004,-0.239616357955
ACH-000007,0.0641796874559
ACH-000009,-0.112887675703
ACH-000011,-0.323314450185
ACH-000012,0.00390501665981
ACH-000013,-0.037140613994900006
ACH-000014,-0.032454056513299995
ACH-000015,-0.08493933943649999
ACH-000017,0.0608812394087
ACH-000018,0.0184602810533
ACH-000019,-0.160942409858
ACH-000021,0.07699298872310001
ACH-000022,-0.145115454301
ACH-000025,-0.25202160239300003
ACH-000028,-0.25866015373
ACH-000030,-0.017789205148900002
ACH-000035,-0.27268554539
ACH-000036,-0.20961659767299998
ACH-000037,-0.0462573540981
ACH-000039,-0.09525411739499999
ACH-000040,-0.224180150747
ACH-000041,-0.08272256127880001
ACH-000042,0.0313726281936
ACH-000045,0.49567160629600004
ACH-000047,0.0644820707338
ACH-000052,-0.049592111200599996
ACH-000053,-0.18551228217399998
ACH-000054,-0.19845099343800002
ACH-000055,-0.32158704920200004
ACH-000060,-0.09277469779030001
ACH-000067,-0.279423573375
ACH-000070,0.16686791585400002
ACH-000075,-0.43590319416100004
ACH-000078,-0.262382382711
ACH-000082,-0.23634254308299998
ACH-000085,-0.0935772994334
ACH-000086,-0.209405648075
ACH-000087,-0.405045054309
ACH-000092,-0.186170331725
ACH-000095,-0.324918827616
ACH-000097,0.072358006431
ACH-000098,-0.192683351565
ACH-000099,-0.0801118618768
ACH-000108,0.0385091137054
ACH-000113,0.386161590227
ACH-000115,-0.387787452849
ACH-000116,-0.179839905282
ACH-000118,0.0036814316745900004
ACH-000120,0.0032279419337300002
ACH-000123,0.275916747261
ACH-000127,-0.086181298938
ACH-000128,0.0395449664998
ACH-000132,-0.27508786006999997
ACH-000133,0.20416981319299998
ACH-000137,-0.0253320930859
ACH-000138,0.0601150189544
ACH-000142,-0.09336253010639999
ACH-000143,-0.233582221107
ACH-000146,-0.182250545955
ACH-000148,-0.177007090185
ACH-000150,-0.0887459651045
ACH-000152,0.329166085853
ACH-000153,-0.225373209813
ACH-000159,-0.126648338548
ACH-000160,0.0789692053311
ACH-000163,-0.160498393062
ACH-000167,0.335208742391
ACH-000168,-0.17610538318799998
ACH-000169,-0.153831611255
ACH-000178,0.155578363753
ACH-000182,0.07969883726560001
ACH-000183,-0.0831957267045
ACH-000188,-0.06140134191340001
ACH-000189,-0.111576866195
ACH-000190,0.030612198492
ACH-000198,-0.374437265959
ACH-000204,-0.278124827492
ACH-000206,-0.17539078784499998
ACH-000207,-0.19228602835499997
ACH-000211,-0.17980927546199998
ACH-000215,-0.011166363799799999
ACH-000221,-0.113416729517
ACH-000222,0.318986815304
ACH-000223,-0.0715467521529
ACH-000226,0.12129250789000001
ACH-000227,-0.240970270476
ACH-000228,-0.0460208006663
ACH-000231,0.08675932393380001
ACH-000232,-0.20201150204999999
ACH-000233,-0.18175923675099998
ACH-000234,-0.035998922405199994
ACH-000235,0.0393298859794
ACH-000237,-0.0971440114559
