,RMND1 (55005)
ACH-000004,-0.322874367329
ACH-000007,-0.39570440251500005
ACH-000009,-0.319363189998
ACH-000011,0.00731175784088
ACH-000012,-0.370297825571
ACH-000013,-0.540919618301
ACH-000014,-0.241135530115
ACH-000015,-0.22287358726
ACH-000017,-0.18422374135400002
ACH-000018,-0.0087352490368
ACH-000019,-0.429681126537
ACH-000021,-0.579101215193
ACH-000022,-0.30682316998000003
ACH-000025,-0.241544844036
ACH-000028,-0.650891732942
ACH-000030,-0.191391936421
ACH-000035,-0.7451228494059999
ACH-000036,-0.0924202776598
ACH-000037,-0.17642308517400002
ACH-000039,-0.351549864782
ACH-000040,-0.385180119631
ACH-000041,-0.194285260972
ACH-000042,-0.25737058425299997
ACH-000045,-0.273238884512
ACH-000047,-0.594045217239
ACH-000052,-0.235651147491
ACH-000053,-0.18607059336399998
ACH-000054,-0.18943060374899998
ACH-000055,-0.275234502679
ACH-000060,-0.48175693764
ACH-000067,-0.363169599837
ACH-000070,0.0486841231369
ACH-000075,-0.272790043262
ACH-000078,-0.212734651642
ACH-000082,-0.231183701244
ACH-000085,-0.282523745029
ACH-000086,-0.20098952799400002
ACH-000087,-0.490606830375
ACH-000092,-0.217252717524
ACH-000095,-0.19783041438
ACH-000097,-0.45316238627800004
ACH-000098,-0.258006538667
ACH-000099,-0.360424826557
ACH-000108,-0.404955627793
ACH-000113,-0.555370967056
ACH-000115,-0.34754799414800003
ACH-000116,-0.489150627055
ACH-000118,-0.606611729222
ACH-000120,-0.370594463169
ACH-000123,-0.283450453888
ACH-000127,-0.09674458713379999
ACH-000128,-0.601929691718
ACH-000132,-0.339297896682
ACH-000133,-0.152006655025
ACH-000137,-0.052176146215000004
ACH-000138,-0.375020600041
ACH-000142,-0.101361355509
ACH-000143,-0.276657673558
ACH-000146,-0.158772933854
ACH-000148,-0.34546721784699996
ACH-000150,-0.436273264884
ACH-000152,-0.13968557327199999
ACH-000153,-0.46430635956
ACH-000159,-0.28405448636799996
ACH-000160,-0.459410092037
ACH-000163,-0.09929304672059999
ACH-000167,-0.23110421887200003
ACH-000168,-0.20530031603100002
ACH-000169,-0.223185377764
ACH-000178,0.00991792107447
ACH-000182,-0.320127288539
ACH-000183,-0.0918881510025
ACH-000188,-0.0792879860555
ACH-000189,-0.36008067698799995
ACH-000190,-0.671666896214
ACH-000198,-0.36903455820500003
ACH-000204,-0.479683766161
ACH-000206,-0.27547304006900003
ACH-000207,-0.23670177643399998
ACH-000211,-0.312406746373
ACH-000215,-0.30833091199
ACH-000221,-0.41802964199299997
ACH-000222,-0.133771295422
ACH-000223,-0.594298885512
ACH-000226,-0.248128900435
ACH-000227,-0.45522197909199996
ACH-000228,-0.246207361904
ACH-000231,-0.184852494848
ACH-000232,-0.356355507497
ACH-000233,-0.32434763501999997
ACH-000234,-0.276514892211
ACH-000235,-0.21455017842399998
ACH-000237,-0.18983842869800002
ACH-000238,-0.249886965863
ACH-000243,-0.274558094797
ACH-000244,-0.279214457359
ACH-000246,-0.41943010119400004
ACH-000248,-0.494313703355
ACH-000250,-0.187694384333
ACH-000251,-0.231379410096
ACH-000253,-0.182026693558
ACH-000255,-0.223094264569
ACH-000256,-0.196552356468
ACH-000257,-0.30793891325
ACH-000258,-0.18363342888
ACH-000259,-0.610749052347
ACH-000260,-0.208305135699
ACH-000261,-0.257190742884
ACH-000262,-0.251426095557
