,CIAO1 (9391)
ACH-000004,-1.5450795697600002
ACH-000007,-1.4871657409399999
ACH-000009,-1.26721715486
ACH-000011,-1.54007810908
ACH-000012,-1.08405240259
ACH-000013,-1.3359741083499999
ACH-000014,-1.59384799989
ACH-000015,-1.20276521926
ACH-000017,-1.5296486273899998
ACH-000018,-1.74672600966
ACH-000019,-0.764365219007
ACH-000021,-1.39090120658
ACH-000022,-1.0
ACH-000025,-1.4189467883899998
ACH-000028,-1.33500117895
ACH-000030,-1.34825522261
ACH-000035,-1.61393629714
ACH-000036,-1.3983007882
ACH-000037,-0.694045184317
ACH-000039,-1.35812159065
ACH-000040,-1.3757553834799998
ACH-000041,-1.6235795345
ACH-000042,-1.4145831271899998
ACH-000045,-1.48776980614
ACH-000047,-1.56146665002
ACH-000052,-1.30405204794
ACH-000053,-1.13631766106
ACH-000054,-1.4645215527700002
ACH-000055,-1.5620827761000002
ACH-000060,-1.4205487372799999
ACH-000067,-1.6179658468399998
ACH-000070,-1.5422656038999998
ACH-000075,-1.2849585147700002
ACH-000078,-1.2735934936700002
ACH-000082,-1.5525551428400002
ACH-000085,-1.61168072477
ACH-000086,-1.54531378943
ACH-000087,-1.47448884005
ACH-000092,-1.67306647372
ACH-000095,-1.1042091688700002
ACH-000097,-1.15125076746
ACH-000098,-1.8160887279299998
ACH-000099,-1.21150284669
ACH-000108,-1.05213046174
ACH-000113,-1.41444293841
ACH-000115,-1.29115069502
ACH-000116,-1.51710194178
ACH-000118,-1.27533991733
ACH-000120,-1.37681706385
ACH-000123,-1.1668076677600001
ACH-000127,-1.4917760469799999
ACH-000128,-1.72015107406
ACH-000132,-1.70465672016
ACH-000133,-1.4174347131600002
ACH-000137,-1.6046171575400001
ACH-000138,-1.37869388939
ACH-000142,-1.5639710627
ACH-000143,-1.58877659997
ACH-000146,-1.2057499912799998
ACH-000148,-1.87284993719
ACH-000150,-1.61005293372
ACH-000152,-1.3899098503999998
ACH-000153,-1.12553677769
ACH-000159,-1.25416483921
ACH-000160,-1.55296462914
ACH-000163,-1.6511856633000002
ACH-000167,-2.05349362434
ACH-000168,-1.6034908753600001
ACH-000169,-1.4384286600799998
ACH-000178,-1.44070396996
ACH-000182,-0.9028376156479999
ACH-000183,-1.4402682824700002
ACH-000188,-1.51264731736
ACH-000189,-1.45861919977
ACH-000190,-1.3779923669299998
ACH-000198,-1.27039379517
ACH-000204,-1.28858822799
ACH-000206,-1.7137658894499999
ACH-000207,-1.3229711993000002
ACH-000211,-1.55376366443
ACH-000215,-1.7629605757
ACH-000221,-1.6243080974200002
ACH-000222,-1.33527641257
