,ACAP3 (116983)
ACH-000004,-0.113196589365
ACH-000007,-0.194240706992
ACH-000009,-0.21270551892700001
ACH-000011,-0.21924523321699999
ACH-000012,-0.16644489685900002
ACH-000013,-0.101170847522
ACH-000014,-0.23500317383699998
ACH-000015,-0.209656908975
ACH-000017,-0.203820750493
ACH-000018,-0.287539717892
ACH-000019,-0.386984587411
ACH-000021,-0.134174624888
ACH-000022,-0.261759907394
ACH-000025,-0.319475478051
ACH-000028,-0.272629694475
ACH-000030,-0.142907913882
ACH-000035,-0.10182323383
ACH-000036,-0.332099752665
ACH-000037,-0.513714404272
ACH-000039,-0.23275192801199998
ACH-000040,-0.209754232603
ACH-000041,-0.273121795363
ACH-000042,-0.15448936503799998
ACH-000045,-0.313913984403
ACH-000047,-0.265085511183
ACH-000052,-0.485294993918
ACH-000053,-0.11835154884600001
ACH-000054,-0.193198876527
ACH-000055,-0.290072031566
ACH-000060,-0.158640096996
ACH-000067,-0.0971222708378
ACH-000070,-0.271915932194
ACH-000075,-0.049147374446199994
ACH-000078,-0.174949836592
ACH-000082,-0.18951757816300002
ACH-000085,-0.180577955337
ACH-000086,-0.350139892623
ACH-000087,-0.23845820684099997
ACH-000092,-0.23897274543299998
ACH-000095,-0.333866879906
ACH-000097,-0.143283048952
ACH-000098,-0.146754963774
ACH-000099,-0.224024831699
ACH-000108,-0.361639310956
ACH-000113,-0.178999823032
ACH-000115,-0.23633747342300002
ACH-000116,-0.17170673552299998
ACH-000118,-0.09197761368249999
ACH-000120,-0.113930917917
ACH-000123,-0.25612039001
ACH-000127,-0.154150238672
ACH-000128,-0.48239076449600005
ACH-000132,-0.195093548799
ACH-000133,-0.12714836960999998
ACH-000137,-0.043578944086699996
ACH-000138,-0.249798147704
ACH-000142,-0.27712464741799997
ACH-000143,-0.41613559388899996
ACH-000146,-0.0175608615903
ACH-000148,-0.22884224685199997
ACH-000150,-0.582146534201
ACH-000152,-0.276140491873
ACH-000153,-0.17516056480300002
ACH-000159,-0.218664680966
ACH-000160,-0.161327438609
ACH-000163,-0.242546458633
ACH-000167,-0.229054045979
ACH-000168,-0.061232349301500004
ACH-000169,-0.206085306353
ACH-000178,-0.20440220010200003
ACH-000182,-0.23014387301199998
ACH-000183,-0.371580335827
ACH-000188,-0.244947889981
ACH-000189,-0.495518384975
ACH-000190,-0.327486061396
ACH-000198,-0.0988210904521
ACH-000204,-0.266357603851
ACH-000206,-0.066602844547
ACH-000207,-0.187480521945
ACH-000211,-0.20317103803199998
ACH-000215,-0.31584007774399997
ACH-000221,-0.130243521589
ACH-000222,-0.296922112136
ACH-000223,-0.09403696804770001
ACH-000226,-0.021927763239599996
ACH-000227,-0.177170225662
ACH-000228,-0.0861929763301
ACH-000231,-0.22599971156100002
ACH-000232,-0.102943101194
ACH-000233,-0.264747524442
ACH-000234,-0.310956854391
ACH-000235,-0.19332811697500002
ACH-000237,-0.20555655474
ACH-000238,-0.254347106406
ACH-000243,-0.0588071049134
ACH-000244,0.026635932435699998
ACH-000246,-0.273115157563
ACH-000248,-0.306694336484
ACH-000250,-0.17727932945500002
ACH-000251,0.194574692953
ACH-000253,-0.34352584364
ACH-000255,-0.164126939576
ACH-000256,-0.403479932384
ACH-000257,-0.435611469385
ACH-000258,-0.168101693497
ACH-000259,-0.258469208512
ACH-000260,-0.25868695760899996
ACH-000261,-0.186057999634
ACH-000262,-0.366490461334
ACH-000263,-0.060022019824900005
ACH-000264,-0.198508921079
ACH-000265,-0.12085068024599999
ACH-000266,-0.214448644942
ACH-000272,-0.224249742406
ACH-000273,-0.0999808569758
ACH-000274,-0.264930662035
ACH-000277,-0.239747608624
ACH-000278,-0.243561049864
ACH-000279,-0.19685395440200001
ACH-000280,-0.239020899738
ACH-000281,-0.255414234525
ACH-000288,-0.427975312547
ACH-000291,-0.151605472611
ACH-000293,-0.278882031637
ACH-000294,-0.24125517128600002
ACH-000295,-0.235839269105
ACH-000296,-0.289904927803
ACH-000302,-0.23175738509100002
ACH-000304,-0.05942121313080001
ACH-000307,-0.12034602997600001
ACH-000308,-0.265953007309
ACH-000310,-0.056440627739699996
ACH-000311,-0.110942731303
ACH-000312,-0.261909130135
ACH-000315,-0.299346643351
ACH-000316,-0.135843949587
ACH-000317,-0.0905445688993
ACH-000318,-0.18753369308600001
ACH-000319,-0.208034611617
ACH-000320,-0.170006182775
ACH-000322,-0.36474208308399997
ACH-000323,-0.112776834126
ACH-000324,-0.19177595604800002
ACH-000329,-0.332526194414
ACH-000330,0.0206118960778
ACH-000331,-0.04800738917669999
ACH-000332,-0.135860503741
ACH-000334,-0.0929189840941
ACH-000335,-0.20643923853799998
ACH-000336,-0.36955629215700003
ACH-000337,-0.379846742679
ACH-000339,-0.200548285225
ACH-000341,-0.036234493582
ACH-000348,-0.293668248676
ACH-000350,-0.226397617262
ACH-000352,-0.228138872327
ACH-000356,-0.158494214229
ACH-000361,-0.05790733932350001
ACH-000362,-0.138988459563
ACH-000363,-0.0994054010578
ACH-000364,-0.253847155079
ACH-000365,-0.254365001556
ACH-000366,-0.184336678191
ACH-000368,-0.168894954346
ACH-000374,-0.20933811612999997
ACH-000375,-0.31934420509
ACH-000376,-0.287797472651
ACH-000381,-0.274619575545
ACH-000383,-0.184719482332
ACH-000387,-0.149081405772
ACH-000389,-0.260441981594
ACH-000390,-0.20715156875
ACH-000393,-0.343787352111
ACH-000395,-0.450378446361
ACH-000397,-0.24676052172
ACH-000401,-0.333898254768
ACH-000402,-0.0888103165392
ACH-000403,-0.153951117099
ACH-000404,-0.0590152007967
ACH-000406,-0.122600945021
ACH-000407,-0.08644659921499999
ACH-000408,-0.0699976996455
ACH-000410,-0.187749244969
ACH-000411,-0.311500972644
ACH-000414,-0.054355806285199995
ACH-000415,-0.0516865280151
ACH-000416,-0.23574165025600002
ACH-000420,-0.34027051372
ACH-000421,-0.24709142667599998
ACH-000424,-0.39010335022500003
ACH-000425,-0.16228169014799998
ACH-000426,0.16859808560400003
ACH-000427,-0.35615726086599997
ACH-000433,-0.33644084500699994
ACH-000436,-0.189744079225
ACH-000444,-0.152890700347
ACH-000445,-0.385932701688
ACH-000448,-0.172387910514
ACH-000450,-0.172987381991
ACH-000452,-0.306942977738
ACH-000454,-0.290922224371
ACH-000458,-0.21601589633
ACH-000459,0.0012689883123900001
ACH-000460,-0.28822713017900004
ACH-000461,-0.175579166421
ACH-000463,-0.323098036139
ACH-000464,-0.311574583495
ACH-000466,-0.36475178875
ACH-000467,-0.230166911317
ACH-000468,-0.390055644705
ACH-000469,-0.211556677099
ACH-000470,-0.336166377749
ACH-000471,-0.20173773481600002
ACH-000472,-0.16624200636800002
ACH-000473,-0.20036901927200002
ACH-000475,-0.229183451733
ACH-000476,-0.219525417477
ACH-000477,-0.139272677787
ACH-000480,0.00933043217875
ACH-000481,-0.330982397049
ACH-000483,-0.250861171446
ACH-000484,-0.23454617434500002
ACH-000485,-0.188661903162
ACH-000486,-0.21159679335099998
ACH-000487,-0.18011110426100002
ACH-000488,-0.220986522106
ACH-000490,-0.115049968371
ACH-000491,-0.335402500757
ACH-000495,-0.164670934091
ACH-000496,-0.191912160852
ACH-000499,-0.154782229963
ACH-000500,-0.521938857875
ACH-000502,-0.288518564887
ACH-000503,-0.07422961528810001
ACH-000505,-0.116069098694
ACH-000507,-0.08374352350839999
ACH-000510,-0.169341843473
ACH-000511,-0.210585185991
ACH-000512,-0.27364060982
ACH-000516,-0.177049268988
ACH-000517,-0.240237099878
ACH-000518,-0.291209190181
ACH-000520,-0.150783946909
ACH-000521,-0.254150186274
ACH-000522,-0.207367110618
ACH-000524,-0.28179942675299996
ACH-000527,-0.283380640729
ACH-000528,-0.14689481746
ACH-000537,-0.205359255512
ACH-000541,-0.17493736862700002
ACH-000542,-0.25615223337799997
ACH-000544,-0.154234923629
ACH-000545,-0.134171820272
ACH-000547,-0.253670676776
ACH-000548,-0.23546019717500002
ACH-000549,-0.297221312191
ACH-000550,-0.314675729724
ACH-000552,-0.333216472335
ACH-000556,-0.0345361251645
ACH-000557,-0.174053855136
ACH-000570,-0.295355381315
ACH-000571,-0.327613411987
ACH-000573,-0.184364329498
ACH-000576,-0.144390326904
ACH-000580,-0.162184877669
ACH-000584,-0.153062988101
ACH-000585,-0.289548702407
ACH-000588,-0.19866576371800002
ACH-000589,-0.141189456128
ACH-000591,-0.41415133487499994
ACH-000593,-0.275562503846
ACH-000600,-0.31864828863600003
ACH-000601,-0.300846438539
ACH-000604,-0.0715948381751
ACH-000605,-0.181795685823
ACH-000606,-0.0837946169063
ACH-000608,-0.37188102123499994
ACH-000614,-0.0738694014716
ACH-000616,-0.0982193490545
ACH-000618,-0.1235513769
ACH-000619,-0.209357700018
ACH-000620,-0.228718545369
ACH-000621,-0.251525783687
ACH-000622,-0.192727490358
ACH-000623,-0.24785384184300002
ACH-000624,-0.216201126667
ACH-000627,-0.160110799175
ACH-000630,-0.14962024911900002
ACH-000632,-0.202042417832
ACH-000633,-0.256466728877
ACH-000637,-0.0836574735299
ACH-000638,-0.0116975400641
ACH-000646,-0.324597115727
ACH-000647,-0.18769420486299998
ACH-000648,-0.180179850964
ACH-000649,-0.334459029166
ACH-000651,-0.159700682113
ACH-000652,-0.177239388306
