,NAPG (8774)
ACH-000004,-0.792302787236
ACH-000007,-0.7692677019059999
ACH-000009,-0.979117659713
ACH-000011,-0.9401357155519999
ACH-000012,-0.921756725405
ACH-000013,-1.23916153383
ACH-000014,-0.596328768271
ACH-000015,-0.485237271972
ACH-000017,-0.946251616802
ACH-000018,-0.528486563025
ACH-000019,-0.486629740816
ACH-000021,-1.34547833166
ACH-000022,-0.456391702706
ACH-000025,-0.48709240546899996
ACH-000028,-0.625508436847
ACH-000030,-1.0
ACH-000035,-0.583884950987
ACH-000036,-1.36268098028
ACH-000037,-0.741097103856
ACH-000039,-0.755675090335
ACH-000040,-0.792408052209
ACH-000041,-0.7767724969650001
ACH-000042,-1.06360683735
ACH-000045,-0.30173020882
ACH-000047,-0.293177835013
ACH-000052,-1.13338420654
ACH-000053,-0.244393035691
ACH-000054,-0.5481201085849999
ACH-000055,-0.449156142641
ACH-000060,-0.995722143536
ACH-000067,-0.557183831413
ACH-000070,-0.519774799633
ACH-000075,-0.730131558195
ACH-000078,-0.534706069874
ACH-000082,-0.34012297321900004
ACH-000085,-0.7546454935269999
ACH-000086,-1.07663202167
ACH-000087,-1.02520317219
ACH-000092,-0.269480419038
ACH-000095,-0.259505743191
ACH-000097,-0.41148481621
ACH-000098,-0.838845296489
ACH-000099,-0.45414386746200003
ACH-000108,-1.63530381222
ACH-000113,-0.556784653899
ACH-000115,-0.48545000101999997
ACH-000116,-1.1700747149500001
ACH-000118,-1.24046851482
ACH-000120,-0.6325086522
ACH-000123,-0.589170319233
ACH-000127,-1.01044623644
ACH-000128,-0.603617800426
ACH-000132,-1.55920033051
ACH-000133,-0.484906212135
ACH-000137,-0.450918309909
ACH-000138,-1.1393889697600001
ACH-000142,-0.394303100819
ACH-000143,-0.671094803178
ACH-000146,-0.237158429679
ACH-000148,-0.774905606571
ACH-000150,-1.1229563589700002
ACH-000152,-0.38320808477799995
ACH-000153,-1.2777637299299998
ACH-000159,-0.580033239342
ACH-000160,-1.18256347465
ACH-000163,-0.657296008532
ACH-000167,-1.3062873572799998
ACH-000168,-0.5599862795180001
ACH-000169,-0.654234136753
ACH-000178,-1.2120658286700001
ACH-000182,-0.642277079894
ACH-000183,-0.899585625017
ACH-000188,-0.91054993536
ACH-000189,-1.21897805075
ACH-000190,-1.35157872162
