,EVA1C (59271)
ACH-000004,0.05571118209969999
ACH-000007,0.0127421053368
ACH-000009,-0.38697370242299994
ACH-000011,-0.352786434665
ACH-000012,-0.215092901725
ACH-000013,-0.148032829915
ACH-000014,-0.142383253543
ACH-000015,-0.26837948456
ACH-000017,-0.249458031528
ACH-000018,-0.231272394175
ACH-000019,-0.531173369291
ACH-000021,-0.164941467862
ACH-000022,-0.370800726039
ACH-000025,-0.295876911349
ACH-000028,-0.133214400835
ACH-000030,-0.29234117724500003
ACH-000035,-0.15645516219900002
ACH-000036,-0.046195967137400006
ACH-000037,-0.286331004053
ACH-000039,-0.394035394793
ACH-000040,-0.26050737353799996
ACH-000041,-0.247892802067
ACH-000042,-0.321661318229
ACH-000045,-0.354411949643
ACH-000047,-0.316206449228
ACH-000052,-0.206013396148
ACH-000053,-0.0892260065651
ACH-000054,-0.439083495039
ACH-000055,-0.286478573207
ACH-000060,-0.300619875404
ACH-000067,-0.297454907064
ACH-000070,-0.106279394204
ACH-000075,-0.32944214717099995
ACH-000078,-0.115163236788
ACH-000082,-0.0358570331548
ACH-000085,-0.0358703094837
ACH-000086,-0.27857272392099997
ACH-000087,-0.22166314564800002
ACH-000092,-0.0781068149408
ACH-000095,-0.0793652081126
ACH-000097,-0.465110544752
ACH-000098,-0.242515810811
ACH-000099,-0.191824039363
ACH-000108,-0.186307474817
ACH-000113,-0.23026173679499998
ACH-000115,-0.162970401773
ACH-000116,-0.488614456854
ACH-000118,-0.187295352127
ACH-000120,-0.256344942059
ACH-000123,-0.066060558756
ACH-000127,-0.18023669154
ACH-000128,-0.372135863178
ACH-000132,-0.306095889686
ACH-000133,-0.242685472481
ACH-000137,-0.16260701463500002
ACH-000138,-0.24527334971
ACH-000142,-0.380354646884
ACH-000143,-0.30206706728599997
ACH-000146,-0.0325200535302
ACH-000148,-0.140915281213
ACH-000150,-0.292606800785
ACH-000152,-0.373231487828
ACH-000153,-0.43099475061000003
ACH-000159,-0.294397215773
ACH-000160,-0.37922343386999996
ACH-000163,-0.11386083270300001
ACH-000167,-0.381328789932
ACH-000168,-0.5103536225909999
ACH-000169,-0.30166237768599996
ACH-000178,-0.31653106152800004
ACH-000182,-0.10308813602700001
ACH-000183,-0.193906551819
ACH-000188,-0.373942125712
ACH-000189,-0.5637529682810001
ACH-000190,-0.24579656464000002
ACH-000198,-0.264811483427
ACH-000204,-0.33330916058800003
ACH-000206,-0.0884370227531
ACH-000207,-0.33651083308799995
ACH-000211,-0.303033882955
ACH-000215,-0.054102786262099994
ACH-000221,-0.30473942390000003
ACH-000222,-0.23803531055500002
ACH-000223,-0.263974595778
ACH-000226,-0.22791354119600002
ACH-000227,-0.25145536866
ACH-000228,-0.200999693592
ACH-000231,-0.30902117166299997
ACH-000232,-0.172894125845
ACH-000233,-0.19804227929999998
ACH-000234,-0.206580005876
ACH-000235,-0.12352912615100001
ACH-000237,-0.306318600112
ACH-000238,-0.377917840377
ACH-000243,-0.16138211875
ACH-000244,-0.38771048979999995
ACH-000246,-0.26991156618
ACH-000248,-0.0897439134159
ACH-000250,-0.310117143167
ACH-000251,-0.11441715297
ACH-000253,-0.18148556840799998
ACH-000255,-0.35201082422200003
ACH-000256,-0.0277269823653
ACH-000257,-0.37858361934100004
ACH-000258,0.0541061465432
ACH-000259,-0.19721689500700001
ACH-000260,-0.222779015722
ACH-000261,-0.219888359071
ACH-000262,-0.108601477634
ACH-000263,-0.289887563984
ACH-000264,-0.2632107834
ACH-000265,-0.246983898884
ACH-000266,-0.32856934032900004
ACH-000272,-0.218107116955
ACH-000273,-0.22610095253600002
ACH-000274,-0.435987454322
ACH-000277,-0.300304780609
ACH-000278,-0.11394540612199999
ACH-000279,-0.24551722079100002
ACH-000280,-0.20727886151799998
ACH-000281,-0.332707172702
ACH-000288,-0.385449754233
ACH-000291,-0.239132581442
ACH-000293,-0.147638843366
ACH-000294,-0.0576385779908
ACH-000295,-0.360307976886
ACH-000296,-0.21354881142999999
ACH-000302,-0.37920001218500005
ACH-000304,-0.309406748287
ACH-000307,-0.393722717934
ACH-000308,-0.296594729228
ACH-000310,-0.139487996149
ACH-000311,-0.195127735311
ACH-000312,-0.41432375507299996
ACH-000315,-0.48489786401900004
ACH-000316,-0.193155328609
ACH-000317,-0.311361634961
ACH-000318,-0.31469555519000003
ACH-000319,-0.349151711301
ACH-000320,0.0644366143021
ACH-000322,-0.236494152821
ACH-000323,-0.0451611906984
ACH-000324,-0.30895067568000006
ACH-000329,-0.22160954579599998
ACH-000330,-0.0538984405607
ACH-000331,-0.21360124049600002
ACH-000332,-0.34345262397200005
ACH-000334,-0.435667039134
ACH-000335,-0.18273185601599998
ACH-000336,-0.184799392655
ACH-000337,-0.345208772861
ACH-000339,-0.166416296046
ACH-000341,-0.196165393551
ACH-000348,-0.26506812020799997
ACH-000350,-0.078955769802
ACH-000352,-0.245982736003
ACH-000356,-0.259282624081
ACH-000361,-0.0799432723525
ACH-000362,-0.109933785208
ACH-000363,-0.397544450849
ACH-000364,-0.35153345119999996
ACH-000365,-0.36953098039300003
ACH-000366,-0.483890641518
ACH-000368,-0.126337521176
ACH-000374,-0.270983655662
ACH-000375,-0.5465300089490001
ACH-000376,-0.385829059944
ACH-000381,-0.34965004898100005
ACH-000383,-0.0584118285517
ACH-000387,-0.278290846119
ACH-000389,-0.299381822136
ACH-000390,-0.232383778642
ACH-000393,-0.310069898814
ACH-000395,-0.239398300148
ACH-000397,-0.32268210668499997
ACH-000401,-0.0225525340968
ACH-000402,0.0464825671502
ACH-000403,-0.284955429895
ACH-000404,-0.1907706728
ACH-000406,-0.153328409667
ACH-000407,-0.11509348517899999
ACH-000408,-0.22988411806200001
ACH-000410,-0.21127478936500002
ACH-000411,-0.14422840433599998
ACH-000414,-0.111896284462
ACH-000415,-0.481640314883
ACH-000416,-0.17490269840599998
ACH-000420,-0.54710578762
ACH-000421,-0.11438735771299999
ACH-000424,-0.276492863943
ACH-000425,-0.177190886407
ACH-000426,0.106135503189
ACH-000427,-0.48496214035400004
ACH-000433,-0.276255920545
ACH-000436,-0.322185369424
ACH-000444,-0.264468120667
ACH-000445,-0.0210961786743
ACH-000448,-0.183440350044
ACH-000450,-0.016742433935100002
ACH-000452,-0.307377336877
ACH-000454,-0.16810282265700002
ACH-000458,-0.0119968675006
ACH-000459,-0.0259752795255
ACH-000460,-0.388690322499
ACH-000461,-0.357074067308
ACH-000463,-0.262329579565
ACH-000464,-0.31956135857900003
ACH-000466,-0.29728612899900003
ACH-000467,-0.23708600039299998
ACH-000468,-0.28250448008400003
ACH-000469,-0.0384952209474
ACH-000470,-0.27193582132
ACH-000471,-0.407014425282
ACH-000472,-0.153458969181
ACH-000473,-0.381267991253
ACH-000475,-0.246710184535
ACH-000476,-0.339166466558
ACH-000477,-0.114345544329
ACH-000480,-0.312525470462
ACH-000481,-0.452801192829
ACH-000483,-0.266426147404
ACH-000484,-0.35946264436700004
ACH-000485,0.0155750972431
ACH-000486,-0.35612089895099996
ACH-000487,-0.33697252365900005
ACH-000488,-0.380457897338
ACH-000490,-0.17435063362300002
ACH-000491,-0.252494488147
ACH-000495,-0.18238287934500003
ACH-000496,-0.282075384065
ACH-000499,-0.270243306285
ACH-000500,-0.43908796303099995
ACH-000502,-0.222859008945
ACH-000503,-0.36684499151699995
ACH-000505,-0.29213299959600003
ACH-000507,-0.324802805201
ACH-000510,-0.116792365545
ACH-000511,-0.248086240467
ACH-000512,-0.2924703883
ACH-000516,-0.200436505304
ACH-000517,-0.160607186361
ACH-000518,-0.10111318997999999
ACH-000520,-0.394328882148
ACH-000521,-0.100047028037
ACH-000522,-0.343957378091
ACH-000524,-0.257994817666
ACH-000527,-0.20619874494000004
ACH-000528,-0.238927481375
ACH-000537,-0.426344889732
ACH-000541,-0.304654433317
ACH-000542,-0.29687396691
ACH-000544,-0.266731575346
ACH-000545,-0.07891325066339999
ACH-000547,-0.532931736686
ACH-000548,-0.414990958864
ACH-000549,-0.18665208990499998
ACH-000550,-0.289168967715
ACH-000552,-0.41352512648
ACH-000556,-0.17464544679699998
ACH-000557,-0.275907841783
ACH-000570,-0.352741854162
ACH-000571,-0.237712459716
ACH-000573,-0.245041973935
ACH-000576,-0.22865441431800002
ACH-000580,-0.277256142923
ACH-000584,-0.370860492385
ACH-000585,-0.20267223950399998
ACH-000588,-0.149410308345
ACH-000589,-0.47220307517399995
ACH-000591,-0.215173884595
ACH-000593,-0.262780654898
ACH-000600,-0.172849732751
ACH-000601,-0.19859133527199999
ACH-000604,-0.253311571488
ACH-000605,-0.446688082593
ACH-000606,-0.259516539903
ACH-000608,-0.210518954568
ACH-000614,-0.28265168314800004
ACH-000616,-0.390990605669
ACH-000618,-0.165044278509
ACH-000619,-0.224942189831
ACH-000620,-0.329355010117
ACH-000621,-0.334822828003
ACH-000622,-0.29428162960099996
ACH-000623,-0.151910095256
ACH-000624,-0.18184786243599999
ACH-000627,-0.127467369242
ACH-000630,-0.402753802125
ACH-000632,-0.25023447415100003
ACH-000633,-0.278579974103
ACH-000637,-0.168945283363
ACH-000638,-0.38801808001500004
ACH-000646,-0.09541279177510001
ACH-000647,-0.192315592777
ACH-000648,-0.1260452266
ACH-000649,-0.206461051249
ACH-000651,-0.274649967449
ACH-000652,-0.265432049195
ACH-000653,-0.389802209581
ACH-000657,-0.367271580616
ACH-000658,-0.382509173477
ACH-000661,-0.296814416783
ACH-000662,-0.462231853631
ACH-000663,-0.369769242376
ACH-000665,-0.241866340079
ACH-000671,-0.123244860129
ACH-000673,-0.284423682753
ACH-000676,-0.12206386352399999
ACH-000677,-0.126990414441
ACH-000681,-0.0142595158535
ACH-000682,-0.37895671036300005
ACH-000683,-0.329509509067
ACH-000684,-0.107034603764
ACH-000688,-0.217973974531
ACH-000693,-0.27567146851
ACH-000694,-0.317186243809
ACH-000695,-0.438377729722
ACH-000696,-0.210205949901
ACH-000697,-0.141416278157
ACH-000699,-0.166488695907
ACH-000701,-0.17396663104200003
ACH-000706,-0.19319862323800002
ACH-000711,-0.09737198803710001
ACH-000713,-0.317872769579
ACH-000714,-0.340158037952
ACH-000718,-0.278060613513
ACH-000720,-0.252379394417
ACH-000721,-0.26409406405
ACH-000724,-0.340203702324
ACH-000725,-0.121598802155
ACH-000732,-0.3867081362
ACH-000734,-0.380288945048
ACH-000735,-0.383470294371
ACH-000736,-0.201909651666
ACH-000738,-0.25767245685
ACH-000746,-0.46105171314099996
ACH-000747,-0.24716420669
ACH-000748,-0.467549760453
ACH-000753,-0.12146843054000002
ACH-000756,-0.497365836065
ACH-000757,-0.25986101472199996
ACH-000758,-0.302968248175
ACH-000760,-0.148315611029
ACH-000763,0.0551454102941
ACH-000764,-0.5652550432360001
ACH-000765,0.129176511403
ACH-000766,-0.228928156376
ACH-000767,-0.15159471998
ACH-000768,-0.101287533847
ACH-000769,-0.305788546561
ACH-000770,-0.327078026457
ACH-000771,-0.263167759984
ACH-000773,-0.308783351167
ACH-000776,-0.45951348974100004
ACH-000777,-0.284724064234
ACH-000778,-0.18721994236499997
ACH-000781,-0.274786196627
ACH-000782,-0.11513544045999999
ACH-000783,-0.37184922906199996
ACH-000784,-0.218240164253
ACH-000785,-0.395756734724
ACH-000787,-0.34096737070600003
ACH-000788,-0.304746110365
ACH-000791,-0.27781848916499996
ACH-000792,-0.161241949811
ACH-000794,-0.369067887488
ACH-000796,-0.37219788481700006
ACH-000799,-0.25422388105099997
ACH-000800,-0.315215000654
ACH-000802,-0.463597738197
ACH-000804,-0.05885451854590001
ACH-000805,0.176990052658
ACH-000809,-0.390087500365
ACH-000810,-0.554428302751
ACH-000811,-0.16383354154100002
ACH-000817,-0.18087408021600002
ACH-000819,-0.226766460529
ACH-000820,-0.465311607232
ACH-000821,-0.101789221376
ACH-000822,-0.473529153035
ACH-000823,-0.319012952652
ACH-000824,-0.228749052495
ACH-000827,-0.272325570405
ACH-000829,-0.252797297446
ACH-000831,-0.360303038275
ACH-000832,-0.118329660209
ACH-000833,-0.470986625868
ACH-000834,-0.135879964139
ACH-000835,-0.264914113442
ACH-000836,-0.169305861913
ACH-000837,-0.25887084349100004
ACH-000838,-0.06630979688699999
ACH-000839,-0.309901983548
ACH-000840,-0.179252205779
ACH-000841,0.104927157113
ACH-000843,-0.3310293716
ACH-000846,-0.0674768371376
ACH-000847,-0.39076031908799996
ACH-000848,-0.257446872746
ACH-000849,-0.302906852035
ACH-000851,-0.0700780772901
ACH-000855,-0.472282466559
ACH-000856,-0.157027002369
ACH-000858,-0.158297010721
ACH-000859,-0.19538190074700001
ACH-000861,-0.15114253831399999
ACH-000862,-0.23979559541499998
ACH-000865,-0.346800992101
ACH-000866,-0.251814312344
ACH-000867,-0.134747896195
ACH-000869,-0.282609355834
ACH-000872,-0.172450499969
ACH-000873,-0.327237103431
ACH-000876,-0.201132282346
ACH-000878,-0.267465538703
ACH-000880,-0.47774276995399995
ACH-000881,-0.0946976676348
ACH-000882,-0.099755559291
ACH-000884,-0.428485997756
ACH-000885,-0.143552316288
ACH-000887,-0.363930112395
ACH-000888,-0.22711472045000003
ACH-000889,-0.5099563452920001
ACH-000890,-0.156960427102
ACH-000896,-0.160704100821
ACH-000898,-0.164770907259
ACH-000900,-0.264019867817
ACH-000901,-0.250546524702
ACH-000905,-0.322705879144
ACH-000906,-0.330649664231
ACH-000907,-0.180991534552
ACH-000910,-0.322480502583
ACH-000911,-0.288446741334
ACH-000912,-0.149538458731
ACH-000913,-0.144092571322
ACH-000915,-0.157675412123
ACH-000916,-0.552110882102
ACH-000917,-0.18740403675
ACH-000921,-0.465316874072
ACH-000924,-0.388677966108
ACH-000926,-0.329958451213
ACH-000928,0.0236372409393
ACH-000929,-0.449575733096
ACH-000932,-0.24683211031
ACH-000935,-0.145918713059
ACH-000936,-0.24409666055999998
ACH-000937,-0.315557358046
ACH-000938,-0.23016574178000004
ACH-000939,-0.169798333838
ACH-000941,-0.254121035274
ACH-000943,-0.09879684832939999
ACH-000946,-0.285788159614
ACH-000947,-0.40265132034400003
ACH-000948,-0.251016194077
ACH-000950,-0.375008819761
ACH-000953,-0.20967482443500002
ACH-000957,-0.10227312194499999
ACH-000958,-0.41668158953
ACH-000960,-0.0813324493949
ACH-000963,-0.42572640786
ACH-000968,-0.19697235482099998
ACH-000969,-0.0981442408429
ACH-000973,-0.0659693585575
ACH-000974,-0.266975754745
ACH-000975,-0.347201365968
ACH-000976,-0.44085965682800005
ACH-000978,-0.377712991717
ACH-000980,-0.21815059163000003
ACH-000984,-0.336883150572
ACH-000986,-0.419848968055
ACH-000988,-0.190258776519
ACH-000993,-0.318545058331
ACH-000994,-0.137088059735
ACH-000996,-0.418940923311
ACH-001001,-0.353793433476
ACH-001020,-0.497885873212
ACH-001028,-0.28659190142700003
ACH-001031,-0.131509256086
ACH-001038,-0.19776248401299998
ACH-001048,-0.27891632351
ACH-001050,-0.0832472032373
ACH-001053,-0.24100396209600003
ACH-001054,-0.395865851153
ACH-001061,-0.364155598289
ACH-001067,-0.163414387283
ACH-001075,-0.26558852506499997
ACH-001096,-0.38187966619900005
ACH-001128,-0.575565543213
ACH-001134,-0.187716868686
ACH-001151,-0.262047345471
ACH-001163,-0.288956026942
ACH-001164,-0.0497585430873
ACH-001173,-0.233445746272
ACH-001183,-0.397681807835
ACH-001184,-0.259554948791
ACH-001190,-0.113376650562
ACH-001192,-0.181383754897
ACH-001193,-0.0925461274791
ACH-001196,-0.292280746221
ACH-001197,-0.504851689497
ACH-001205,-0.253588540085
ACH-001211,-0.109021948567
ACH-001212,-0.17215079584000004
ACH-001228,-0.350919126935
ACH-001232,-0.167168801645
ACH-001239,-0.12222086496300001
ACH-001274,-0.245506087659
ACH-001275,-0.178048322869
ACH-001277,-0.162633365629
ACH-001278,-0.192027214001
ACH-001280,-0.21468611335700002
ACH-001283,-0.214095831979
ACH-001289,-0.318080879694
ACH-001295,-0.128354584637
ACH-001300,-0.48326925167499996
ACH-001301,-0.343909395975
ACH-001302,-0.687770602689
ACH-001303,-0.170981682646
ACH-001306,-0.44713771668799995
ACH-001318,-0.03919198813
ACH-001322,-0.344274612931
ACH-001328,-0.0678887992088
ACH-001332,-0.478024382666
ACH-001333,-0.536584087358
ACH-001336,-0.374759998992
ACH-001340,-0.047990785892599995
ACH-001346,-0.164170958251
ACH-001353,-0.335149519103
ACH-001354,-0.459551744438
ACH-001367,-0.162229279225
ACH-001368,-0.12256125237500001
ACH-001374,-0.36611332314000006
ACH-001375,-0.329851096397
ACH-001377,-0.31865836891399996
ACH-001380,-0.35175511255
ACH-001391,-0.48412019701700004
ACH-001407,-0.249287548579
ACH-001408,-0.10573985595
ACH-001413,-0.28909862442699996
ACH-001430,-0.244263487223
ACH-001431,-0.115192174285
ACH-001450,0.021414510832700004
ACH-001496,-0.22178414618700001
ACH-001500,-0.21509069148899998
ACH-001521,-0.5090435846119999
ACH-001523,-0.40068204844899996
ACH-001532,-0.114400748872
ACH-001536,-0.197809081615
