,WIZ (58525)
ACH-000004,-0.19809689520100002
ACH-000007,-0.142529014045
ACH-000009,0.126240785749
ACH-000011,-0.10144614386600001
ACH-000012,0.247050799302
ACH-000013,-0.13309961330199999
ACH-000014,-0.283435320444
ACH-000015,-0.246362485374
ACH-000017,-0.111082126174
ACH-000018,-0.283622012011
ACH-000019,-0.22894108243099998
ACH-000021,-0.226922037233
ACH-000022,0.0975963869596
ACH-000025,-0.0940961973655
ACH-000028,-0.0627765426992
ACH-000030,-0.224310245841
ACH-000035,-0.138582429136
ACH-000036,0.10465062332999998
ACH-000037,0.152848863146
ACH-000039,0.171764475123
ACH-000040,0.010964992801700001
ACH-000041,-0.486593407005
ACH-000042,-0.320360943683
ACH-000045,-0.11056002037000001
ACH-000047,-0.0290742186424
ACH-000052,-0.265423844987
ACH-000053,-0.152992199872
ACH-000054,-0.0536772306869
ACH-000055,0.448493886188
ACH-000060,-0.0927584961078
ACH-000067,0.018552966351299997
ACH-000070,-0.128868815405
ACH-000075,0.00690658353735
ACH-000078,0.072714785591
ACH-000082,-0.0116893197665
ACH-000085,-0.028349737569800002
ACH-000086,0.00319775881844
ACH-000087,-0.393230784258
ACH-000092,-0.06201941804819999
ACH-000095,0.09302742041639998
ACH-000097,0.232320098383
ACH-000098,0.107121730623
ACH-000099,0.236230943823
ACH-000108,0.00394783508512
ACH-000113,-0.292555514513
ACH-000115,-0.740953576577
ACH-000116,-0.10436996591499999
ACH-000118,-0.124233060736
ACH-000120,-0.348173874456
ACH-000123,-0.37507933501400004
ACH-000127,-0.08966139717910002
ACH-000128,-0.254262419851
ACH-000132,-0.104131095117
ACH-000133,0.135654544534
ACH-000137,0.280838344367
ACH-000138,-0.263023162202
ACH-000142,-0.07435607528030001
ACH-000143,-0.291469252324
ACH-000146,0.105531674305
ACH-000148,0.287681199668
ACH-000150,0.258160498544
ACH-000152,-0.0683800771278
ACH-000153,0.0213428635748
ACH-000159,-0.154533588262
ACH-000160,0.0654961409508
ACH-000163,-0.142883547215
ACH-000167,-0.457189717302
ACH-000168,-0.17886291136799998
ACH-000169,-0.21495035047400002
ACH-000178,-0.362325864878
ACH-000182,-0.10030362173900001
ACH-000183,-0.00515564662517
ACH-000188,-0.152154554409
ACH-000189,0.115879005458
ACH-000190,0.00564568859985
ACH-000198,-0.11519022834499999
ACH-000204,0.08103510991780001
ACH-000206,0.0150997252179
ACH-000207,-0.237147071477
ACH-000211,-0.013809992121600001
ACH-000215,0.0657839726029
ACH-000221,0.0800488326617
ACH-000222,-0.210865056321
ACH-000223,-0.184107814062
ACH-000226,-0.15730055939200002
ACH-000227,-0.0339662411385
ACH-000228,-0.0247486850557
