,NPIPA1 (9284)
ACH-000004,-0.894621704084
ACH-000007,-0.8950093272390001
ACH-000009,-0.8603534823829999
ACH-000011,-0.995430520416
ACH-000012,-0.849719150879
ACH-000013,-0.9273554542460001
ACH-000014,-1.00355949135
ACH-000015,-0.8860798136700001
ACH-000017,-0.676654675995
ACH-000018,-0.7512285846510001
ACH-000019,-0.601074905301
ACH-000021,-0.972140679843
ACH-000022,-0.8637755514030001
ACH-000025,-0.9655686959909999
ACH-000028,-0.79293546265
ACH-000030,-0.684942639196
ACH-000035,-0.807331621037
ACH-000036,-0.8621575267530001
ACH-000037,-0.914080661959
ACH-000039,-0.862664035215
ACH-000040,-0.637207274897
ACH-000041,-0.760517434093
ACH-000042,-0.9802605646100001
ACH-000045,-0.964585500557
ACH-000047,-0.7994029541159999
ACH-000052,-0.600338607024
ACH-000053,-0.703370828469
ACH-000054,-0.758494039059
ACH-000055,-0.996033428247
ACH-000060,-0.652112006436
ACH-000067,-0.68002905052
ACH-000070,-0.757805016122
ACH-000075,-0.7758255711740001
ACH-000078,-0.834399523707
ACH-000082,-0.804811747648
ACH-000085,-0.803844091963
ACH-000086,-0.868094070098
ACH-000087,-0.979986129891
ACH-000092,-0.594491684692
ACH-000095,-0.863024482899
ACH-000097,-0.737845516107
ACH-000098,-0.9135326535700001
ACH-000099,-0.751791506376
ACH-000108,-0.7334701928820001
ACH-000113,-0.860730627853
ACH-000115,-0.821468422109
ACH-000116,-0.7809118153460001
ACH-000118,-0.816573041827
ACH-000120,-0.791560980751
ACH-000123,-0.841025880588
ACH-000127,-0.945017563991
ACH-000128,-0.967981592916
ACH-000132,-0.911117659848
ACH-000133,-0.828116691511
ACH-000137,-0.804203417091
ACH-000138,-0.810497572938
ACH-000142,-0.9890079492
ACH-000143,-0.7807480838699999
ACH-000146,-0.9184128787010001
ACH-000148,-0.9108430005779999
ACH-000150,-1.13360401634
ACH-000152,-0.613176137768
ACH-000153,-1.09646832694
ACH-000159,-0.795724690531
ACH-000160,-0.822475044225
ACH-000163,-0.998683244529
ACH-000167,-1.08566435187
ACH-000168,-0.8869138079459999
ACH-000169,-0.7198412475329999
ACH-000178,-0.847371687251
ACH-000182,-0.88447696844
ACH-000183,-0.954795951834
ACH-000188,-0.806668998932
ACH-000189,-0.805004740137
ACH-000190,-0.64315962776
ACH-000198,-0.864218276584
ACH-000204,-0.920163546182
ACH-000206,-0.757044578618
ACH-000207,-0.7984762253450001
ACH-000211,-0.602596052048
ACH-000215,-0.759234258519
ACH-000221,-1.11627841413
ACH-000222,-0.85238890765
ACH-000223,-0.559435819901
ACH-000226,-0.816265410915
ACH-000227,-0.971563785457
ACH-000228,-0.97951595236
ACH-000231,-0.907689555282
ACH-000232,-0.716486163167
ACH-000233,-0.930866115571
ACH-000234,-0.621231539201
ACH-000235,-0.9029269971349999
ACH-000237,-0.8822313814280001
ACH-000238,-0.539318201917
ACH-000243,-0.8661148897550001
ACH-000244,-0.885576400698
ACH-000246,-0.715284915386
ACH-000248,-0.6307436585399999
ACH-000250,-0.708354682077
ACH-000251,-0.986530771629
