,TCFL5 (10732)
ACH-000004,-0.127094106697
ACH-000007,-0.40151729033600003
ACH-000009,-0.42115569808
ACH-000011,-0.39870213313
ACH-000012,-0.27890135406
ACH-000013,-0.203466402032
ACH-000014,-0.18498802631499997
ACH-000015,-0.15797966414200001
ACH-000017,-0.0671812445285
ACH-000018,-0.199892911926
ACH-000019,-0.201936324767
ACH-000021,-0.225757636057
ACH-000022,-0.112331128632
ACH-000025,-0.153432886064
ACH-000028,-0.178991221316
ACH-000030,-0.135333424637
ACH-000035,-0.31311760455800003
ACH-000036,-0.381456240027
ACH-000037,0.214545590265
ACH-000039,-0.282048431048
ACH-000040,-0.220839078098
ACH-000041,0.08272211037430001
ACH-000042,-0.429941918259
ACH-000045,-0.14657189281400002
ACH-000047,-0.13920726372199999
ACH-000052,-0.204595161149
ACH-000053,-0.266511562414
ACH-000054,-0.195351941376
ACH-000055,-0.171454344824
ACH-000060,-0.29607447454999997
ACH-000067,-0.27805208215
ACH-000070,-0.232408509677
ACH-000075,-0.504323571215
ACH-000078,-0.227398876623
ACH-000082,-0.257573763509
ACH-000085,-0.394131674432
ACH-000086,-0.200888144329
ACH-000087,-0.27199462694800003
ACH-000092,-0.194318673231
ACH-000095,-0.326127362707
ACH-000097,-0.344651608815
ACH-000098,-0.0973798919338
ACH-000099,-0.326255721306
ACH-000108,-0.08504522019189999
ACH-000113,-0.198337814447
ACH-000115,-0.273769259421
ACH-000116,-0.25079454765000003
ACH-000118,-0.24181160536200003
ACH-000120,-0.14534418360600002
ACH-000123,-0.0821741541152
ACH-000127,-0.21161610371
ACH-000128,-0.351229591483
ACH-000132,-0.44954116496200003
ACH-000133,-0.289644556179
ACH-000137,-0.0168008975203
ACH-000138,-0.22325829495000002
ACH-000142,-0.30780857679900003
ACH-000143,-0.218701261023
ACH-000146,-0.16176873024
ACH-000148,-0.123667808778
ACH-000150,-0.126001644405
ACH-000152,-0.220734996336
ACH-000153,0.0976014607277
ACH-000159,-0.339802177203
ACH-000160,-0.293448099003
ACH-000163,-0.0426047291601
ACH-000167,-0.38728033853200006
ACH-000168,-0.07161213116660001
ACH-000169,-0.559569108052
ACH-000178,-0.425378062834
ACH-000182,-0.281028135486
ACH-000183,-0.18285825375700002
ACH-000188,-0.239624067183
ACH-000189,-0.32815574864
ACH-000190,-0.100549001292
ACH-000198,-0.0962914899296
ACH-000204,-0.32988086866300004
ACH-000206,-0.640548374048
ACH-000207,-0.271310827418
ACH-000211,-0.28023271495200003
ACH-000215,-0.216045032751
ACH-000221,-0.11768541007899999
ACH-000222,-0.226696085839
ACH-000223,-0.39164066776699996
ACH-000226,-0.0629416372881
ACH-000227,-0.142638677795
ACH-000228,-0.30781492889600004
ACH-000231,-0.253467447283
ACH-000232,-0.327200223453
ACH-000233,-0.0487008198706
ACH-000234,-0.614202282179
ACH-000235,-0.224404985212
ACH-000237,-0.270936398765
ACH-000238,-0.055791788537300005
ACH-000243,-0.25702642647199997
ACH-000244,0.144921801489
ACH-000246,-0.373953771469
ACH-000248,-0.215467447436
ACH-000250,-0.466570520543
ACH-000251,-0.249995733405
ACH-000253,-0.25453072618
ACH-000255,-0.107007709251
ACH-000256,-0.224365155856
ACH-000257,-0.210991314229
ACH-000258,0.0550083512812
ACH-000259,-0.344607137089
ACH-000260,-0.220687332084
ACH-000261,-0.204809163806
ACH-000262,-0.202346740214
ACH-000263,-0.34686523205700004
ACH-000264,-0.43967609971999994
ACH-000265,-0.164487166778
ACH-000266,-0.253680624181
ACH-000272,-0.17472471456500002
ACH-000273,-0.322122837557
ACH-000274,-0.39466663655100004
ACH-000277,-0.278533921895
ACH-000278,-0.0535014796395
ACH-000279,-0.220003155299
ACH-000280,-0.177299096907
ACH-000281,-0.274840914915
ACH-000288,-0.23699546594
ACH-000291,-0.05258990830159999
ACH-000293,0.114425544605
ACH-000294,-0.19026497669700002
ACH-000295,0.004580747107859999
ACH-000296,-0.351022062158
ACH-000302,-0.088823170683
ACH-000304,-0.0639271348613
ACH-000307,-0.167863744862
ACH-000308,-0.265993331384
ACH-000310,-0.46966783537
ACH-000311,-0.37819932025700004
ACH-000312,-0.24978245704
ACH-000315,0.0294139394645
ACH-000316,-0.113886698891
ACH-000317,-0.007158032984149999
ACH-000318,-0.157363564358
ACH-000319,-0.216420503526
ACH-000320,-0.650401025311
ACH-000322,-0.510559835975
ACH-000323,-0.235656695206
ACH-000324,-0.290651880013
ACH-000329,-0.484098816856
ACH-000330,-0.20931055312199998
ACH-000331,-0.316257271912
ACH-000332,-0.302333810262
ACH-000334,0.0019114541614300002
ACH-000335,-0.16804637941599998
ACH-000336,-0.657153850441
ACH-000337,0.121783878946
ACH-000339,-0.269906136859
ACH-000341,-0.315992830214
ACH-000348,-0.148585371785
ACH-000350,-0.328025857665
ACH-000352,-0.230429651183
ACH-000356,-0.23632083999499998
ACH-000361,-0.07426783137460001
ACH-000362,-0.17182504984400002
ACH-000363,-0.237524432563
ACH-000364,0.0164820421613
ACH-000365,-0.21394640015799998
ACH-000366,-0.298125160176
ACH-000368,-0.35248396321900005
ACH-000374,-0.101682304748
ACH-000375,-0.0266641577991
ACH-000376,-0.317293135386
ACH-000381,-0.187186458827
ACH-000383,-0.300047635854
ACH-000387,-0.228091606069
ACH-000389,-0.17710971671700002
ACH-000390,-0.163837500832
ACH-000393,-0.28128179763
ACH-000395,-0.423406129809
ACH-000397,-0.36424319797399995
ACH-000401,-0.023824805819900003
ACH-000402,-0.115237762259
ACH-000403,-0.344739049512
ACH-000404,-0.198579061069
ACH-000406,-0.18217643639699999
ACH-000407,-0.328796930116
ACH-000408,-0.273052109287
ACH-000410,-0.204093734892
ACH-000411,-0.110545356674
ACH-000414,-0.225961094558
ACH-000415,0.0105376466531
ACH-000416,-0.29359119128100003
ACH-000420,-0.008958796208120002
ACH-000421,-0.22272128535100003
ACH-000424,-0.20530745388
ACH-000425,-0.227515587166
ACH-000426,-0.0732928037352
ACH-000427,-0.284032119619
ACH-000433,-0.45639221715000006
ACH-000436,-0.384407322133
ACH-000444,0.047920280758600005
ACH-000445,-0.09630008228489999
ACH-000448,-0.246416224223
ACH-000450,-0.113117951556
ACH-000452,-0.40096209456799997
ACH-000454,-0.312108555249
ACH-000458,-0.148431726165
ACH-000459,-0.0679895101534
ACH-000460,-0.244534774401
ACH-000461,-0.148246611435
ACH-000463,-0.286853644688
ACH-000464,-0.335517198639
ACH-000466,-0.35469420914899996
ACH-000467,-0.371088664375
ACH-000468,-0.242242740755
ACH-000469,-0.312545976026
ACH-000470,-0.175652564055
ACH-000471,-0.277223750239
ACH-000472,-0.223093816648
