,NCAPH (23397)
ACH-000004,-0.657279186284
ACH-000007,-0.7500014097390001
ACH-000009,-0.781996617235
ACH-000011,-0.7187128704100001
ACH-000012,-0.8608577239090001
ACH-000013,-0.78642591979
ACH-000014,-0.62458650454
ACH-000015,-0.782140393301
ACH-000017,-0.878600795482
ACH-000018,-0.9009278998200001
ACH-000019,-0.7450470510070001
ACH-000021,-0.667189748175
ACH-000022,-0.6713047728899999
ACH-000025,-0.735328263398
ACH-000028,-0.906406771391
ACH-000030,-0.669823968386
ACH-000035,-0.848414868281
ACH-000036,-0.584266499149
ACH-000037,-0.961629622676
ACH-000039,-0.7366666198
ACH-000040,-0.592766337543
ACH-000041,-0.776548837483
ACH-000042,-0.722603955973
ACH-000045,-0.958126072526
ACH-000047,-1.04878422658
ACH-000052,-0.7965086857610001
ACH-000053,-1.06058546107
ACH-000054,-1.14075503138
ACH-000055,-0.6969690779690001
ACH-000060,-0.7126060478020001
ACH-000067,-0.7105061301890001
ACH-000070,-0.815026743447
ACH-000075,-0.8911863522419999
ACH-000078,-0.889995075562
ACH-000082,-0.591122187835
ACH-000085,-0.885625643612
ACH-000086,-1.00940810965
ACH-000087,-0.938206718509
ACH-000092,-0.8937450296349999
ACH-000095,-0.81285989615
ACH-000097,-1.0093837401899999
ACH-000098,-0.939028967656
ACH-000099,-0.9250114399799999
ACH-000108,-0.9089736594210001
ACH-000113,-0.809340273199
ACH-000115,-0.93686849126
ACH-000116,-0.838608522317
ACH-000118,-0.752033250106
ACH-000120,-0.833651040353
ACH-000123,-0.819536619369
ACH-000127,-0.631977706212
ACH-000128,-0.928984708365
ACH-000132,-0.985483516006
ACH-000133,-0.8590437340629999
ACH-000137,-0.998744803157
ACH-000138,-0.765513306095
ACH-000142,-0.752968771031
ACH-000143,-0.817605711235
ACH-000146,-0.672911191339
ACH-000148,-0.720587453494
ACH-000150,-0.569657441229
ACH-000152,-0.83355014862
ACH-000153,-0.717926878835
ACH-000159,-0.910466338891
ACH-000160,-0.28748678598099997
ACH-000163,-0.959274365987
ACH-000167,-0.386897502309
ACH-000168,-0.883815912727
ACH-000169,-0.8592433730619999
ACH-000178,-0.739338195967
ACH-000182,-0.8968201944349999
ACH-000183,-1.22264680331
ACH-000188,-0.6648317256849999
ACH-000189,-1.08276068362
ACH-000190,-0.384158687883
ACH-000198,-0.805337694104
ACH-000204,-0.927037910164
ACH-000206,-0.953905296838
ACH-000207,-1.05228281929
ACH-000211,-0.726837773475
ACH-000215,-0.7034729109899999
ACH-000221,-0.632101137352
ACH-000222,-0.782085048916
ACH-000223,-0.709882492989
ACH-000226,-0.905115026665
ACH-000227,-0.997101145147
ACH-000228,-0.7861900595119999
ACH-000231,-1.06890325525
ACH-000232,-0.6822172595489999
ACH-000233,-1.13943775066
ACH-000234,-0.866430012246
ACH-000235,-0.733340261396
ACH-000237,-0.7221637594879999
ACH-000238,-0.738090288749
ACH-000243,-0.687967462076
ACH-000244,-0.94283189623
ACH-000246,-0.8944197964120001
ACH-000248,-0.64074529267
ACH-000250,-1.1354602256200002
ACH-000251,-0.42997254843800004
ACH-000253,-1.03064761747
ACH-000255,-0.807464880497
ACH-000256,-0.7747122674529999
ACH-000257,-0.937884808076
ACH-000258,-1.0890725578799998
ACH-000259,-1.14438695876
ACH-000260,-0.801556152715
ACH-000261,-0.7009786095300001
ACH-000262,-0.600613057478
ACH-000263,-1.07931231528
ACH-000264,-1.1838747190999999
ACH-000265,-0.800459120271
ACH-000266,-1.02620887903
ACH-000272,-0.7775395411630001
ACH-000273,-0.986993492178
ACH-000274,-0.878591050826
ACH-000277,-0.7559371998540001
ACH-000278,-0.799301721902
ACH-000279,-0.732743702067
ACH-000280,-0.697804480767
ACH-000281,-0.785399137785
ACH-000288,-0.780257759035
ACH-000291,-1.05060127141
ACH-000293,-0.761790736564
ACH-000294,-0.424376712267
ACH-000295,-0.816301515173
ACH-000296,-0.919765252576
ACH-000302,-0.820246410393
ACH-000304,-0.7357666425030001
ACH-000307,-0.7617904550210001
ACH-000308,-0.6172665630259999
ACH-000310,-0.834062547599
ACH-000311,-0.774796718389
ACH-000312,-0.789258682963
ACH-000315,-0.82321942907
ACH-000316,-0.968832884457
ACH-000317,-0.637778350575
ACH-000318,-0.88261424545
ACH-000319,-0.562509469798
ACH-000320,-0.739037526761
ACH-000322,-0.768988460878
ACH-000323,-0.633589129134
ACH-000324,-0.690839985378
ACH-000329,-0.947852149023
ACH-000330,-0.99972509059
ACH-000331,-0.927543610986
ACH-000332,-0.8463992981890001
ACH-000334,-0.7157905992
ACH-000335,-0.825844268171
ACH-000336,-0.616761639913
ACH-000337,-0.799200621641
ACH-000339,-0.829710975591
ACH-000341,-0.913375452618
ACH-000348,-0.757187300712
ACH-000350,-0.878504355691
ACH-000352,-0.6876127200579999
ACH-000356,-0.7867249545399999
ACH-000361,-0.994601825369
ACH-000362,-0.8992326386489999
ACH-000363,-0.7522091676029999
ACH-000364,-0.702794447774
ACH-000365,-0.894082487458
ACH-000366,-1.0173216106799998
ACH-000368,-0.7127749312710001
ACH-000374,-0.811044712618
ACH-000375,-0.478410751948
ACH-000376,-0.7555996909280001
ACH-000381,-0.997922815474
ACH-000383,-0.489526092566
ACH-000387,-0.746255466527
ACH-000389,-0.674679101475
ACH-000390,-0.518335632979
ACH-000393,-1.00806878236
ACH-000395,-0.9888132121009999
ACH-000397,-0.6866376437010001
ACH-000401,-0.723396462308
ACH-000402,-0.686889734768
ACH-000403,-0.764125324552
ACH-000404,-0.702096739296
ACH-000406,-0.785423037783
ACH-000407,-0.83114384979
ACH-000408,-0.858436499708
ACH-000410,-0.837977668855
ACH-000411,-0.944410661726
