,PLA2G2D (26279)
ACH-000004,-0.039240583052
ACH-000007,0.06046096147999999
ACH-000009,0.00303206315512
ACH-000011,-0.16783248680399998
ACH-000012,0.0613683548519
ACH-000013,-0.108339467879
ACH-000014,0.0624059390073
ACH-000015,0.011293743011
ACH-000017,-0.0142863937577
ACH-000018,-0.289790689298
ACH-000019,-0.15268428977499998
ACH-000021,0.10373455267300001
ACH-000022,-0.0798307887443
ACH-000025,0.014788115838600001
ACH-000028,0.0773456157612
ACH-000030,0.026795102010599998
ACH-000035,-0.309267299658
ACH-000036,0.04369361521290001
ACH-000037,-0.10853474240999998
ACH-000039,-0.034963046122
ACH-000040,-0.0195365153528
ACH-000041,-0.248083893553
ACH-000042,-0.108892702838
ACH-000045,0.010861328108700002
ACH-000047,-0.120778245767
ACH-000052,-0.10727942569700001
ACH-000053,-0.00360107223684
ACH-000054,-0.082255754007
ACH-000055,-0.056804322247500004
ACH-000060,-0.0619099505276
ACH-000067,-0.142333267024
ACH-000070,0.100719918774
ACH-000075,-0.141847623351
ACH-000078,0.10112312254000001
ACH-000082,-0.185863316993
ACH-000085,-0.511151056476
ACH-000086,0.0803347577321
ACH-000087,0.016276808054799998
ACH-000092,-0.0278747356728
ACH-000095,-0.008680572261309999
ACH-000097,-0.00869767894686
ACH-000098,-0.06537606296130001
ACH-000099,-0.0879831559237
ACH-000108,-0.24101065785999998
ACH-000113,0.0103627019236
ACH-000115,-0.16881639782900001
ACH-000116,-0.0286905336038
ACH-000118,0.043166357607500004
ACH-000120,-0.10094102471100001
ACH-000123,-0.040829036696
ACH-000127,-0.07542877064180001
ACH-000128,-0.102335856106
ACH-000132,0.0343916961884
ACH-000133,-0.215857014032
ACH-000137,0.0753575520679
ACH-000138,0.0201965816762
ACH-000142,-0.1263870992
ACH-000143,-0.09360414725630001
ACH-000146,0.0556574434301
ACH-000148,-0.09699824665269999
ACH-000150,-0.225505944577
ACH-000152,-0.0236476720968
ACH-000153,-0.244815463135
ACH-000159,-0.0023264295291300003
ACH-000160,-0.0543800963368
ACH-000163,0.037439749897599996
ACH-000167,-0.29853910069899997
ACH-000168,0.025061218821299996
ACH-000169,0.154595260144
ACH-000178,-0.07133168476599999
ACH-000182,-0.0714807486532
ACH-000183,-0.0243416315532
ACH-000188,-0.129668814237
ACH-000189,-0.00492874830486
ACH-000190,0.23139700991
ACH-000198,0.111116109068
ACH-000204,-0.276703066881
ACH-000206,-0.39205316317
ACH-000207,0.13150368957800002
ACH-000211,0.024056464461699997
ACH-000215,-0.0339494783284
ACH-000221,0.039645651952999995
ACH-000222,0.030441608144900004
ACH-000223,-0.0568668235924
ACH-000226,0.034393635783599996
ACH-000227,-0.0338155225979
