,KNCN (148930)
ACH-000004,0.11032091441700001
ACH-000007,0.11490021570499999
ACH-000009,-0.114250668048
ACH-000011,0.00850497133396
ACH-000012,-0.23641159504999998
ACH-000013,-0.198083757299
ACH-000014,0.04642766284969999
ACH-000015,-0.121058098223
ACH-000017,-0.126706259964
ACH-000018,-0.187237462465
ACH-000019,0.0255987243333
ACH-000021,0.14703439740399998
ACH-000022,0.07941477123980001
ACH-000025,-0.0676681952118
ACH-000028,-0.161421709093
ACH-000030,-0.15902336775999998
ACH-000035,-0.0713254455315
ACH-000036,-0.13285107954199998
ACH-000037,-0.00886678920909
ACH-000039,0.0212340408168
ACH-000040,-0.083228034496
ACH-000041,-0.0224223543555
ACH-000042,0.12048547294199999
ACH-000045,-0.135639725482
ACH-000047,-0.127809321565
ACH-000052,-0.0571536049187
ACH-000053,-0.111216537672
ACH-000054,-0.028640925568499998
ACH-000055,-0.058604996826999996
ACH-000060,-0.045309073180400006
ACH-000067,-0.109353483246
ACH-000070,0.0228222118697
ACH-000075,-0.022992772718099998
ACH-000078,-0.0416320777663
ACH-000082,-0.19842811403000002
ACH-000085,0.0736826210355
ACH-000086,-0.118184540947
ACH-000087,-0.0135126285436
ACH-000092,-0.361253262235
ACH-000095,-0.0459339804565
ACH-000097,-0.021136678294
ACH-000098,0.0345883026126
ACH-000099,-0.0910121669922
ACH-000108,-0.138969028145
ACH-000113,-0.0006145663062719999
ACH-000115,0.023140062128300002
ACH-000116,-0.0925657936256
ACH-000118,-0.149975651262
ACH-000120,0.0847013168517
ACH-000123,-0.11117333096899999
ACH-000127,0.0189177956042
ACH-000128,-0.23565603715300001
ACH-000132,-0.0287958129804
ACH-000133,-0.24926312454
ACH-000137,-0.033441185923700004
ACH-000138,-0.0459006281105
ACH-000142,-0.12064389375999998
ACH-000143,-0.0932058990919
ACH-000146,-0.0646303358223
ACH-000148,-0.0423460735366
ACH-000150,-0.333834546931
ACH-000152,-0.051299443883499996
ACH-000153,-0.0766714626742
ACH-000159,-0.04300728835519999
ACH-000160,-0.17406861979200003
ACH-000163,0.108158655023
ACH-000167,0.08322279274410001
ACH-000168,0.0682060129819
ACH-000169,-0.126644805483
ACH-000178,-0.0893768274695
ACH-000182,-0.00718517521994
ACH-000183,0.080060409614
ACH-000188,-0.252232865026
ACH-000189,0.1417310868
ACH-000190,-0.137263340094
ACH-000198,0.0872220668838
ACH-000204,0.044119014621400006
ACH-000206,0.051489362474300006
ACH-000207,-0.184832771632
ACH-000211,0.0951417750063
ACH-000215,-0.08812753775010002
ACH-000221,-0.0801540837494
ACH-000222,-0.0489575942535
ACH-000223,0.0341272502769
ACH-000226,-0.116943102644
ACH-000227,0.015339908719600002
ACH-000228,0.0036391380280300003
ACH-000231,-0.07712212313649999
ACH-000232,0.013870384309399998
ACH-000233,0.0835946216583
ACH-000234,0.009902936467440001
ACH-000235,0.0114384092618
