,SLFN12L (100506736)
ACH-000004,-0.360050497624
ACH-000007,0.118639253663
ACH-000009,-0.0653120921009
ACH-000011,-0.0307144932377
ACH-000012,0.010203460525399999
ACH-000013,-0.10674290297
ACH-000014,0.12288640737999999
ACH-000015,-0.0172417198734
ACH-000017,-0.024561300600999997
ACH-000018,0.290438836523
ACH-000019,0.0437212150756
ACH-000021,-0.138633950495
ACH-000022,-0.0296265785671
ACH-000025,0.179909948277
ACH-000028,-0.202029311519
ACH-000030,-0.0314015816652
ACH-000035,-0.00472997847668
ACH-000036,-0.14510218703400002
ACH-000037,-0.192293836129
ACH-000039,-0.117296523452
ACH-000040,-0.214614743347
ACH-000041,-0.0635600426009
ACH-000042,0.0518081901654
ACH-000045,-0.214481146576
ACH-000047,-0.0606584415163
ACH-000052,0.162267000827
ACH-000053,-0.0600188974561
ACH-000054,-0.155475648361
ACH-000055,-0.112309485934
ACH-000060,0.165267120332
ACH-000067,0.058542501366
ACH-000070,0.07718190576780001
ACH-000075,-0.0212505026571
ACH-000078,0.00036332903370400006
ACH-000082,-0.0979354140956
ACH-000085,-0.023700314164299997
ACH-000086,-0.0532629381436
ACH-000087,-0.346671913239
ACH-000092,-0.0443254938562
ACH-000095,-0.229272123288
ACH-000097,-0.105651919037
ACH-000098,0.019393739555099997
ACH-000099,0.0795070906626
ACH-000108,0.000992297739082
ACH-000113,0.082969103202
ACH-000115,-0.313191066694
ACH-000116,-0.073122378768
ACH-000118,0.00449364383621
ACH-000120,0.170035029651
ACH-000123,0.044223665165300005
ACH-000127,-0.0632157037473
ACH-000128,0.0257082550324
ACH-000132,-0.110184922041
ACH-000133,-0.0603556255405
ACH-000137,-0.0559705122393
ACH-000138,0.0772122845699
ACH-000142,0.0457605690554
ACH-000143,-0.0361707982652
ACH-000146,-0.10979365396600001
ACH-000148,-0.119299763728
ACH-000150,0.0710418733318
ACH-000152,-0.0665576814413
ACH-000153,-0.14470628459
ACH-000159,-0.130188315282
ACH-000160,0.0830212156294
ACH-000163,0.050913758245199996
ACH-000167,-0.303051419559
ACH-000168,-0.0393879895696
ACH-000169,0.0703435414985
ACH-000178,-0.0314797414816
ACH-000182,-0.19947453009799998
ACH-000183,-0.029640726084099997
ACH-000188,0.0691436235998
ACH-000189,0.09985958304839998
ACH-000190,-0.37022377181500005
ACH-000198,0.16411723847999998
ACH-000204,-0.0102383524742
ACH-000206,-0.169330387656
ACH-000207,0.0499151779832
ACH-000211,-0.0756577792155
ACH-000215,-0.0619427106113
ACH-000221,-0.0914846989818
ACH-000222,-0.018359638238
