,SGIP1 (84251)
ACH-000004,0.018826202614099997
ACH-000007,-0.0879667977742
ACH-000009,-0.09590919015869999
ACH-000011,-0.0249942577262
ACH-000012,-0.097122355868
ACH-000013,-0.0395417881547
ACH-000014,-0.0746434401332
ACH-000015,-0.0288165039574
ACH-000017,0.23730480591699998
ACH-000018,0.243367814405
ACH-000019,0.07522652277919999
ACH-000021,-0.27204584279800004
ACH-000022,0.061950029960099996
ACH-000025,-0.118575964507
ACH-000028,-0.139490678795
ACH-000030,0.0113690752905
ACH-000035,-0.0741586677642
ACH-000036,0.0163420483037
ACH-000037,0.144743666066
ACH-000039,-0.130919080642
ACH-000040,-0.114627910011
ACH-000041,-0.24829816829
ACH-000042,0.0932686391681
ACH-000045,0.185308255081
ACH-000047,-0.044208191322599996
ACH-000052,-0.210215476482
ACH-000053,-0.11602701742
ACH-000054,-0.0939721408949
ACH-000055,-0.264547920153
ACH-000060,0.0882096573632
ACH-000067,-0.0462292885329
ACH-000070,0.0221721011779
ACH-000075,0.09656447248639999
ACH-000078,-0.19896262978
ACH-000082,0.0014461187484599998
ACH-000085,-0.136105912903
ACH-000086,-0.0575725339584
ACH-000087,0.0117739457126
ACH-000092,-0.284783727386
ACH-000095,-0.0359793696028
ACH-000097,-0.0199184894773
ACH-000098,0.145520157354
ACH-000099,0.015169576007799999
ACH-000108,0.0312504573746
ACH-000113,-0.030871871292300002
ACH-000115,-0.0767931719933
ACH-000116,0.0311163044222
ACH-000118,-0.0920243419427
ACH-000120,-0.0565433500244
ACH-000123,-0.0789452815375
ACH-000127,-0.0142131721887
ACH-000128,-0.0438802990606
ACH-000132,-0.09995909403039999
ACH-000133,-0.10439866918400001
ACH-000137,-0.251740119461
ACH-000138,0.00500989215927
ACH-000142,-0.302636930905
ACH-000143,-0.000855592849011
ACH-000146,-0.0520074949653
ACH-000148,-0.08346877889939999
ACH-000150,-0.240825278588
ACH-000152,-0.0663649265158
ACH-000153,-0.0588215352885
ACH-000159,0.0934835909296
ACH-000160,-0.0169377534372
ACH-000163,0.026501045864499997
