,MRI1 (84245)
ACH-000004,-0.0628928240591
ACH-000007,0.0432705571299
ACH-000009,-0.124462896097
ACH-000011,-0.030767312384
ACH-000012,-0.140763680453
ACH-000013,-0.18445171585200001
ACH-000014,-0.06074888311980001
ACH-000015,-0.167887518029
ACH-000017,-0.23621080473
ACH-000018,-0.10104443240800001
ACH-000019,-0.363363563772
ACH-000021,-0.0913312615345
ACH-000022,-0.0600377225224
ACH-000025,-0.118185158412
ACH-000028,-0.342366935171
ACH-000030,-0.1049842774
ACH-000035,-0.37105353307300004
ACH-000036,-0.224633510376
ACH-000037,0.042283149423900004
ACH-000039,-0.168219796939
ACH-000040,-0.265089141769
ACH-000041,-0.181582864201
ACH-000042,-0.149172532835
ACH-000045,-0.340649362623
ACH-000047,-0.21572418098299997
ACH-000052,-0.243212243105
ACH-000053,-0.0024876094280100003
ACH-000054,-0.129862371569
ACH-000055,-0.06896972697819999
ACH-000060,-0.158843944653
ACH-000067,-0.277561094254
ACH-000070,-0.18343075070099998
ACH-000075,-0.217305451657
ACH-000078,-0.303187164317
ACH-000082,-0.164613620196
ACH-000085,-0.270046829605
ACH-000086,-0.150558613502
ACH-000087,-0.217570034802
ACH-000092,-0.0901753587142
ACH-000095,-0.16606388292500002
ACH-000097,-0.140418149418
ACH-000098,-0.304588452906
ACH-000099,-0.140889054152
ACH-000108,-0.0328578820932
ACH-000113,-0.011303775340499998
ACH-000115,-0.436063401322
ACH-000116,-0.16705783042300001
ACH-000118,-0.352055454058
ACH-000120,-0.227391635896
ACH-000123,-0.31588131226
ACH-000127,-0.162094185123
ACH-000128,-0.33676838297399997
ACH-000132,-0.20815651073
ACH-000133,-0.21884562769699997
ACH-000137,-0.227455296496
ACH-000138,-0.156667791239
ACH-000142,-0.12576798633199998
ACH-000143,-0.24906609702
ACH-000146,-0.17660707603599998
ACH-000148,-0.0323593772183
ACH-000150,-0.420261126898
ACH-000152,-0.157801866367
ACH-000153,-0.062057225601
ACH-000159,-0.216701248191
ACH-000160,-0.00301718249429
ACH-000163,-0.282416014155
ACH-000167,-0.249845231841
ACH-000168,0.0784509182023
ACH-000169,-0.306211978617
ACH-000178,-0.177173485954
ACH-000182,0.020636652315
ACH-000183,-0.266690432315
ACH-000188,-0.220792697081
ACH-000189,-0.260924544058
ACH-000190,0.17356295236699998
ACH-000198,-0.13145034938300001
ACH-000204,-0.104072109364
ACH-000206,-0.0710894769983
ACH-000207,-0.161521896834
ACH-000211,-0.254002016609
ACH-000215,-0.220736455087
ACH-000221,-0.127528076691
ACH-000222,-0.137111820278
ACH-000223,-0.17515960286600002
ACH-000226,-0.24808072661
ACH-000227,-0.0834561231219
ACH-000228,-0.281453235446
ACH-000231,-0.22887651319400001
ACH-000232,-0.131614634769
ACH-000233,-0.11462956989499999
ACH-000234,-0.29425810516
ACH-000235,-0.161044271244
ACH-000237,-0.339489092519
ACH-000238,0.259003422165
ACH-000243,-0.152989894243
ACH-000244,-0.138957604831
ACH-000246,-0.0864737027165
ACH-000248,-0.48266441040700003
ACH-000250,-0.164686735108
ACH-000251,-0.505689704373
ACH-000253,-0.034775557764699996
ACH-000255,-0.191489030179
ACH-000256,-0.06343965989490001
ACH-000257,-0.412167367262
ACH-000258,0.0532290275425
ACH-000259,-0.177702050464
ACH-000260,-0.155686028057
ACH-000261,-0.122143698035
ACH-000262,-0.0633141405289
ACH-000263,0.087153618991
ACH-000264,-0.188426983026
ACH-000265,-0.139492281203
ACH-000266,-0.129905997567
ACH-000272,-0.0607609505241
ACH-000273,-0.319547506522
ACH-000274,-0.124311255819
ACH-000277,-0.26271383841699997
ACH-000278,-0.314008817527
ACH-000279,-0.0498947683651
ACH-000280,-0.048157610515
ACH-000281,-0.00618510848962
ACH-000288,-0.037383065257800004
ACH-000291,-0.156777079096
ACH-000293,-0.248458958262
ACH-000294,-0.31419785313799997
ACH-000295,0.20582573449299998
ACH-000296,-0.152722179167
ACH-000302,-0.18614669915399998
ACH-000304,-0.233217025704
ACH-000307,-0.07950499616880001
ACH-000308,-0.00752964814043
ACH-000310,-0.297714405545
ACH-000311,0.0642781178457
ACH-000312,-0.146917043101
ACH-000315,-0.301759086549
ACH-000316,0.072951972623
ACH-000317,0.08790275070730001
ACH-000318,-0.131867066559
ACH-000319,-0.261106836574
ACH-000320,-0.20928117275199998
ACH-000322,0.010457876424100001
ACH-000323,-0.16970032254
ACH-000324,-0.160691836604
ACH-000329,-0.150119009356
ACH-000330,0.0378615590446
ACH-000331,-0.159097912125
ACH-000332,-0.109249782796
ACH-000334,-0.425496903719
ACH-000335,-0.0737338443993
