,BRD2 (6046)
ACH-000004,-0.637410215089
ACH-000007,-0.392754457391
ACH-000009,0.027922311721
ACH-000011,-0.484134635357
ACH-000012,-0.165940768895
ACH-000013,-0.785118779457
ACH-000014,-0.581047821903
ACH-000015,-0.17309587824099998
ACH-000017,0.014359152735600001
ACH-000018,-0.752509364447
ACH-000019,-0.7162801355580001
ACH-000021,-0.435079565535
ACH-000022,-0.031265520468
ACH-000025,-0.7196675156260001
ACH-000028,-0.827578634797
ACH-000030,-0.48489452578599995
ACH-000035,-0.8210026339899998
ACH-000036,-0.323100568758
ACH-000037,-0.9167400855490001
ACH-000039,-0.8365605647869999
ACH-000040,-0.5240206860409999
ACH-000041,-0.24399541745
ACH-000042,-0.39775583334700004
ACH-000045,-0.23915215730300002
ACH-000047,-0.456520124477
ACH-000052,-0.392259439503
ACH-000053,-1.00793492156
ACH-000054,-0.258822530338
ACH-000055,-0.476199678107
ACH-000060,-0.594718511101
ACH-000067,-0.761526321659
ACH-000070,-0.546714149066
ACH-000075,-0.696470330122
ACH-000078,-0.45807781475299997
ACH-000082,0.165248837895
ACH-000085,-0.76855123127
ACH-000086,-0.333814372687
ACH-000087,-0.359988883091
ACH-000092,-0.903971422137
ACH-000095,-0.639579299455
ACH-000097,-0.0539261134581
ACH-000098,-0.750247301987
ACH-000099,-0.153745668936
ACH-000108,-0.915318457617
ACH-000113,-0.776195873896
ACH-000115,0.0656618566816
ACH-000116,-0.34097078029600003
ACH-000118,-0.5842881278109999
ACH-000120,0.032220317127
ACH-000123,-0.312268993573
ACH-000127,-0.319347969434
ACH-000128,-0.360774201758
ACH-000132,-0.254947341747
ACH-000133,-0.533253294506
ACH-000137,-0.464310550321
ACH-000138,-0.26494791749200003
ACH-000142,-0.299700548798
ACH-000143,-0.826228136413
ACH-000146,-0.0899871657457
ACH-000148,-0.515223359473
ACH-000150,-0.851518772445
ACH-000152,-0.628844765986
ACH-000153,-0.220266033455
ACH-000159,-0.533565944711
ACH-000160,0.08058576873939999
ACH-000163,-0.0105441874763
ACH-000167,-0.025841603099700003
ACH-000168,-0.58587533855
ACH-000169,-0.260915198605
ACH-000178,-0.160607847208
ACH-000182,-0.948898493952
ACH-000183,-0.6814694396709999
ACH-000188,-0.449230868824
ACH-000189,-1.21039943544
ACH-000190,-0.34913898590400005
ACH-000198,-0.580280343135
ACH-000204,-0.7199540365579999
ACH-000206,-0.750603747846
ACH-000207,0.034452480745
ACH-000211,-0.704904659431
ACH-000215,-0.8196221438760001
ACH-000221,-0.22482031325
ACH-000222,-0.420739617644
ACH-000223,-0.486605438829
ACH-000226,-0.884866052347
ACH-000227,-0.29481747386
ACH-000228,-0.25819398812100003
ACH-000231,-0.52719872845
ACH-000232,-0.669442250432
ACH-000233,-1.24285653093
ACH-000234,-0.0892500726458
ACH-000235,-0.581284320672
ACH-000237,-1.00917678989
ACH-000238,-0.241483756937
ACH-000243,-0.091561466492
ACH-000244,-0.522000989313
ACH-000246,-1.08470423155
ACH-000248,-0.788727153064
ACH-000250,-0.572134042507
ACH-000251,-0.6892123851549999
ACH-000253,-0.0782544009616
ACH-000255,-0.8027195258390001
ACH-000256,-0.5639643746949999
ACH-000257,-0.182271551062
ACH-000258,-1.1399646468
ACH-000259,-0.10698852172000001
ACH-000260,0.055561531121800005
ACH-000261,-0.391036149681
ACH-000262,-0.31935533263
ACH-000263,-0.646668166466
ACH-000264,-0.34463291054300005
ACH-000265,-0.514783984667
ACH-000266,-0.366913197421
ACH-000272,-0.41714890531599996
ACH-000273,-0.6963443382439999
ACH-000274,-0.513293370642
ACH-000277,-0.343759575561
ACH-000278,-0.372613505253
ACH-000279,-0.491762272664
ACH-000280,-0.525306681043
ACH-000281,-0.6434235192600001
ACH-000288,-0.44983604708700003
ACH-000291,-0.778822505095
ACH-000293,-1.16378801609
ACH-000294,-0.44690110618699996
ACH-000295,-0.828376673437
ACH-000296,-0.06710203318710001
ACH-000302,-0.652374634336
ACH-000304,-0.640324994771
ACH-000307,-0.201467640808
ACH-000308,-0.9535056394879999
ACH-000310,-0.359344741322
ACH-000311,-0.569346091825
ACH-000312,-0.311023818231
ACH-000315,-0.965456460801
ACH-000316,-0.8767256105779999
ACH-000317,-0.698136170054
ACH-000318,-0.517223699882
ACH-000319,-0.240121222362
ACH-000320,0.08200047235230001
ACH-000322,-0.254700772829
ACH-000323,-0.381797174667
ACH-000324,-0.470387986889
ACH-000329,-0.290896182283
ACH-000330,0.068768286974
ACH-000331,-0.39882579439300003
ACH-000332,-0.046328690925000006
ACH-000334,-0.515962966352
ACH-000335,-0.6972251152660001
ACH-000336,0.052329077131599996
ACH-000337,-0.111020192574
ACH-000339,-0.994253439323
ACH-000341,-0.0356185087089
ACH-000348,-0.7607034959540001
