,CHCHD3 (54927)
ACH-000004,-0.414440365359
ACH-000007,-0.3539161512
ACH-000009,-0.181574769254
ACH-000011,-0.151527678565
ACH-000012,-0.0707793273672
ACH-000013,-0.149382276812
ACH-000014,-0.649745020386
ACH-000015,-0.15380212699999998
ACH-000017,-0.233481863024
ACH-000018,-0.13304855851199998
ACH-000019,-0.0785614614291
ACH-000021,-0.45011683211900005
ACH-000022,-0.270034712008
ACH-000025,-0.44564345800599997
ACH-000028,-0.280588832955
ACH-000030,-0.0138281649936
ACH-000035,-0.39819070551299995
ACH-000036,-0.055310750831000004
ACH-000037,-0.42629161982
ACH-000039,-0.10715085926899999
ACH-000040,-0.258114132802
ACH-000041,-0.29222107892
ACH-000042,-0.354510476694
ACH-000045,-0.37396697946400004
ACH-000047,-0.0608364521836
ACH-000052,-0.459192998287
ACH-000053,-0.227254868023
ACH-000054,-0.633212285288
ACH-000055,-0.280610810638
ACH-000060,-0.24826517353100003
ACH-000067,-0.386290164256
ACH-000070,-0.10114344269400001
ACH-000075,-0.287255966744
ACH-000078,-0.131280365157
ACH-000082,-0.08295827877430001
ACH-000085,-0.18218682695099997
ACH-000086,-0.198703381825
ACH-000087,-0.122765937008
ACH-000092,-0.278858806215
ACH-000095,-0.186414232501
ACH-000097,-0.27494968917199997
ACH-000098,-0.12282465474099999
ACH-000099,-0.195726806983
ACH-000108,-0.256148832908
ACH-000113,-0.5668273523189999
ACH-000115,-0.450375365789
ACH-000116,-0.317053561296
ACH-000118,-0.0284314016603
ACH-000120,0.0728068970807
ACH-000123,-0.369027702444
ACH-000127,-0.0720580170754
ACH-000128,-0.38368616565200003
ACH-000132,-0.325666459079
ACH-000133,-0.393651276007
ACH-000137,-0.164099305005
ACH-000138,-0.170946643107
ACH-000142,-0.009234669648049998
ACH-000143,-0.29527486146299997
ACH-000146,-0.340472621097
ACH-000148,-0.377429550681
ACH-000150,-0.194904810918
ACH-000152,-0.499425368781
ACH-000153,-0.138111913574
ACH-000159,-0.28308874425299996
ACH-000160,-0.529716158984
ACH-000163,-0.5146867727059999
ACH-000167,-0.693989603225
ACH-000168,-0.144559322531
ACH-000169,-0.441086929596
ACH-000178,-0.30523527606600004
ACH-000182,-0.12588370712000002
ACH-000183,-0.363974551397
ACH-000188,-0.315817360067
ACH-000189,-0.213546178385
ACH-000190,-0.47768369684900003
ACH-000198,-0.490821387152
ACH-000204,-0.158704679418
ACH-000206,-0.29454243600499996
ACH-000207,-0.318947297541
ACH-000211,-0.21869580279399997
ACH-000215,-0.266780657002
ACH-000221,-0.366043381624
ACH-000222,-0.09553145939850001
ACH-000223,-0.396089718919
ACH-000226,-0.422834535502
ACH-000227,-0.19797403133400002
ACH-000228,-0.312339428585
ACH-000231,-0.115738850556
ACH-000232,-0.351021728001
ACH-000233,-0.35103223932300004
ACH-000234,-0.293685119551
ACH-000235,-0.17614972280900001
ACH-000237,-0.256948591586
ACH-000238,-0.37321518216399996
ACH-000243,0.0006993966450930001
ACH-000244,-0.42882479860100003
ACH-000246,-0.15382605222200002
ACH-000248,-0.40968194506800004
ACH-000250,-0.25545974055799997
ACH-000251,-0.318419760086
ACH-000253,-0.20712753974
ACH-000255,-0.257262940957
ACH-000256,-0.263628554439
ACH-000257,-0.342145963684
ACH-000258,-0.230139003875
ACH-000259,-0.0744003298346
ACH-000260,-0.341564110074
ACH-000261,-0.204504821815
ACH-000262,-0.140547278642
ACH-000263,-0.406351452879
ACH-000264,-0.261321863042
ACH-000265,-0.455684311684
ACH-000266,-0.25355806582
ACH-000272,-0.33574909190200003
ACH-000273,-0.25249103920000004
ACH-000274,-0.331676802518
ACH-000277,-0.159320876621
ACH-000278,-0.27963595627099996
ACH-000279,-0.335499513907
ACH-000280,-0.111465417412
ACH-000281,-0.0017373636818599997
ACH-000288,-0.28322453659499996
ACH-000291,-0.29497671918
ACH-000293,-0.268262282491
ACH-000294,0.029903589401199998
ACH-000295,-0.06818463970409999
ACH-000296,-0.48132939531400004
ACH-000302,-0.292836479626
ACH-000304,-0.057078175641099994
ACH-000307,-0.325063836774
ACH-000308,-0.143154199937
ACH-000310,-0.311497194757
ACH-000311,-0.27011194768
ACH-000312,-0.05545362406359999
ACH-000315,-0.744900290311
ACH-000316,-0.382431252334
ACH-000317,-0.150886610183
ACH-000318,-0.36353755893600004
ACH-000319,-0.0704214187126
ACH-000320,-0.15813260004000002
ACH-000322,-0.350568746825
ACH-000323,-0.172037644767
ACH-000324,-0.410618956905
ACH-000329,-0.309504815667
ACH-000330,-0.145777506419
ACH-000331,-0.41327019138800003
ACH-000332,-0.106197140838
ACH-000334,-0.325348420265
ACH-000335,-0.11977984923599999
ACH-000336,-0.46497675058700005
ACH-000337,-0.25347682522799997
ACH-000339,-0.34116529902599996
ACH-000341,-0.31477139063299997
ACH-000348,-0.285268824888
ACH-000350,-0.257832156639
ACH-000352,-0.110656121044
ACH-000356,-0.144592580097
ACH-000361,-0.059024323940699994
ACH-000362,-0.563643935199
ACH-000363,-0.41059674745499997
ACH-000364,-0.196621256046
ACH-000365,-0.402485402582
ACH-000366,-0.23406741987500002
ACH-000368,-0.38449521721600005
ACH-000374,-0.701503587003
ACH-000375,-0.191054070654
ACH-000376,-0.262623543132
ACH-000381,-0.129156075275
ACH-000383,-0.128188513695
ACH-000387,-0.5433841972160001
ACH-000389,-0.07277376181039999
ACH-000390,-0.137342706382
ACH-000393,-0.292119632993
ACH-000395,-0.289734857168
ACH-000397,-0.262877968214
ACH-000401,-0.580295906939
ACH-000402,-0.39950367125200004
ACH-000403,-0.17549225189399997
ACH-000404,-0.00494014081735
ACH-000406,-0.49824613413999996
ACH-000407,-0.40481352658799996
ACH-000408,-0.390438924279
ACH-000410,-0.29405071982299996
ACH-000411,-0.215819709832
ACH-000414,-0.531208148911
ACH-000415,-0.363327451485
ACH-000416,-0.271243571041
ACH-000420,-0.324549716667
ACH-000421,-0.144567579187
ACH-000424,-0.46004237406099996
ACH-000425,-0.187693673753
ACH-000426,-0.253133000986
ACH-000427,-0.0909491901152
ACH-000433,-0.48640244883999995
ACH-000436,-0.789177952333
ACH-000444,-0.06908785488869999
ACH-000445,-0.232873224316
ACH-000448,-0.224975139104
ACH-000450,-0.49066460145499996
ACH-000452,-0.25328725360300003
ACH-000454,-0.212936037997
ACH-000458,-0.218428398858
ACH-000459,-0.753980268252
ACH-000460,-0.043566041420800006
ACH-000461,-0.292722851896
ACH-000463,-0.39454025616899996
ACH-000464,-0.26480799012899997
ACH-000466,-0.156024813101
ACH-000467,-0.14981081431
ACH-000468,-0.22794509806899999
ACH-000469,-0.251672195834
ACH-000470,-0.0443523377288
ACH-000471,-0.279117578383
ACH-000472,-0.268815868955
ACH-000473,-0.19628733544500002
ACH-000475,-0.272643962821
ACH-000476,-0.205930697784
