,TEF (7008)
ACH-000004,-0.39575614120999997
ACH-000007,-0.254451348341
ACH-000009,-0.391111543624
ACH-000011,-0.369168055045
ACH-000012,-0.41645298153399996
ACH-000013,-0.439046812421
ACH-000014,-0.369195103083
ACH-000015,-0.30044558273899996
ACH-000017,-0.690502205262
ACH-000018,-0.43136518233599996
ACH-000019,-0.544074781277
ACH-000021,-0.442284240446
ACH-000022,-0.299049812137
ACH-000025,-0.519132096939
ACH-000028,-0.398936840425
ACH-000030,-0.42476986975599995
ACH-000035,-0.3039650063
ACH-000036,-0.433861893987
ACH-000037,-0.385667748296
ACH-000039,-0.235593167414
ACH-000040,-0.46316833074600006
ACH-000041,-0.40363446923600005
ACH-000042,-0.7274474582520001
ACH-000045,-0.459391867431
ACH-000047,-0.3166094114
ACH-000052,-0.35787771802599994
ACH-000053,-0.36937648627999997
ACH-000054,-0.210841140062
ACH-000055,-0.270175362867
ACH-000060,-0.609238244466
ACH-000067,-0.262088688297
ACH-000070,-0.330370269278
ACH-000075,-0.323404858776
ACH-000078,-0.39447860915700006
ACH-000082,-0.39417114815
ACH-000085,-0.87179809707
ACH-000086,-0.43806881199500003
ACH-000087,-0.34716892881899997
ACH-000092,-0.321101992993
ACH-000095,-0.264866654904
ACH-000097,-0.382754071439
ACH-000098,-0.28818529292100004
ACH-000099,-0.355137397662
ACH-000108,-0.338451683865
ACH-000113,-0.333940047
ACH-000115,-0.35254394524800003
ACH-000116,-0.420890278787
ACH-000118,-0.25910597555
ACH-000120,-0.395506907577
ACH-000123,-0.31174398887
ACH-000127,-0.271565717331
ACH-000128,-0.293830765108
ACH-000132,-0.456512572231
ACH-000133,-0.522312898152
ACH-000137,-0.18916510122400002
ACH-000138,-0.0954168189142
ACH-000142,-0.164545712053
ACH-000143,-0.630636603918
ACH-000146,-0.2737398456
ACH-000148,-0.21151995946
ACH-000150,-0.410521053742
ACH-000152,-0.288134259787
ACH-000153,-0.160742328657
ACH-000159,-0.312009172124
ACH-000160,-0.559671517563
ACH-000163,-0.306748898719
ACH-000167,-0.208692696624
ACH-000168,-0.430207116586
ACH-000169,-0.479269061057
ACH-000178,-0.42106572301600004
ACH-000182,-0.401145857697
ACH-000183,-0.595396624052
ACH-000188,-0.305914992524
ACH-000189,-0.24317109956
ACH-000190,-0.25072234118000003
ACH-000198,-0.316601737769
ACH-000204,-0.281338593299
ACH-000206,-0.20285648166499998
ACH-000207,-0.5052435811289999
ACH-000211,-0.36826071693400003
ACH-000215,-0.299847379491
ACH-000221,-0.34249659929700005
ACH-000222,-0.413879111152
ACH-000223,-0.460142960164
ACH-000226,-0.427397858362
ACH-000227,-0.798222972196
ACH-000228,-0.266264322489
ACH-000231,-0.488563956056
ACH-000232,-0.485412719383
ACH-000233,-0.407874718587
ACH-000234,-0.320729307021
ACH-000235,-0.307221546399
ACH-000237,-0.39653577482
ACH-000238,-0.458817911648
ACH-000243,-0.387585115797
ACH-000244,-0.760064748854
ACH-000246,-0.365749676713
ACH-000248,-0.48354572444300004
ACH-000250,-0.355056924193
ACH-000251,-0.139466246588
ACH-000253,-0.444072422018
ACH-000255,-0.292313860097
ACH-000256,-0.453823346115
ACH-000257,-0.220273204659
ACH-000258,-0.516494754316
ACH-000259,-0.319788426996
ACH-000260,-0.335571857949
ACH-000261,-0.359088741185
ACH-000262,-0.23427059697299998
ACH-000263,-0.251774875236
ACH-000264,-0.39362737846199997
ACH-000265,-0.37787416877400004
ACH-000266,-0.331582131801
ACH-000272,-0.33594812971
ACH-000273,-0.38400375707900003
ACH-000274,-0.556058531022
ACH-000277,-0.12574231821100001
ACH-000278,-0.502410130427
ACH-000279,-0.279550470187
ACH-000280,-0.423243261857
ACH-000281,-0.09168741253789998
ACH-000288,-0.378489762721
ACH-000291,-0.348661480255
ACH-000293,-0.28644486746
ACH-000294,-0.00157162058731
ACH-000295,-0.380358321413
ACH-000296,-0.48111118574699996
ACH-000302,-0.46328615771700005
ACH-000304,-0.362094044265
ACH-000307,-0.353026459674
ACH-000308,-0.450894991174
ACH-000310,-0.46089155633100004
ACH-000311,-0.32490809385499997
ACH-000312,-0.395352198707
ACH-000315,-0.450292629779
ACH-000316,-0.33187529224
ACH-000317,-0.237703752234
ACH-000318,-0.3921306879
ACH-000319,-0.229336545372
ACH-000320,-0.445286027861
ACH-000322,-0.517331614094
ACH-000323,-0.43129351083800005
ACH-000324,-0.36943089322899997
ACH-000329,-0.35400464745399995
ACH-000330,-0.378000338657
ACH-000331,-0.30435787180999996
ACH-000332,-0.411199187957
ACH-000334,-0.533390485294
ACH-000335,-0.176195269001
ACH-000336,-0.256876167656
ACH-000337,-0.576130128133
ACH-000339,-0.401088865576
ACH-000341,-0.0960045740398
ACH-000348,-0.330663956362
ACH-000350,-0.21466336994600002
ACH-000352,-0.227200261608
ACH-000356,-0.25258871761199997
ACH-000361,0.1349938872
ACH-000362,-0.348915757181
ACH-000363,-0.404992755735
ACH-000364,-0.369309555299
ACH-000365,-0.40280431665399996
ACH-000366,-0.181231526161
ACH-000368,-0.36060790474200005
ACH-000374,-0.241858281855
ACH-000375,-0.605301899165
ACH-000376,-0.302553800379
ACH-000381,-0.32575561048
ACH-000383,-0.38721661452399997
ACH-000387,-0.3523357875
ACH-000389,-0.385894674649
ACH-000390,-0.294959212818
ACH-000393,-0.453393042468
ACH-000395,-0.307417528531
ACH-000397,-0.570239567571
ACH-000401,-0.18871352706300001
ACH-000402,-0.164076609427
