,LPO (4025)
ACH-000004,-0.13281751916600001
ACH-000007,-0.046333182310000005
ACH-000009,-0.19534103327
ACH-000011,-0.23367448469799998
ACH-000012,-0.33260532961100003
ACH-000013,-0.0804566390384
ACH-000014,-0.152733488804
ACH-000015,-0.090174032556
ACH-000017,-0.0661542980632
ACH-000018,0.013142399399600001
ACH-000019,-0.46903952071500005
ACH-000021,-0.062089899023900004
ACH-000022,-0.147199749938
ACH-000025,-0.104135242852
ACH-000028,-0.292623478554
ACH-000030,-0.163112530749
ACH-000035,-0.21737548645500002
ACH-000036,-0.136920480391
ACH-000037,-0.0233252525386
ACH-000039,-0.3807910837
ACH-000040,-0.158266515818
ACH-000041,-0.164441026117
ACH-000042,-0.140323447273
ACH-000045,-0.234789671303
ACH-000047,-0.23843157015500002
ACH-000052,0.183129908831
ACH-000053,-0.192240200229
ACH-000054,-0.177134454802
ACH-000055,0.121127278613
ACH-000060,-0.334728914087
ACH-000067,-0.306291576387
ACH-000070,-0.11233510585899999
ACH-000075,0.166398047692
ACH-000078,-0.302076095905
ACH-000082,-0.19288649421
ACH-000085,-0.0285478702489
ACH-000086,-0.100709631811
ACH-000087,-0.06328306530450001
ACH-000092,-0.0209659924733
ACH-000095,-0.06069359826230001
ACH-000097,-0.0491289003876
ACH-000098,-0.129811802082
ACH-000099,-0.159816896539
ACH-000108,-0.22518077673599998
ACH-000113,-0.189552252911
ACH-000115,0.0005757693500540001
ACH-000116,-0.273051131864
ACH-000118,-0.13220210986
ACH-000120,-0.27775241212499996
ACH-000123,-0.10985647184800001
ACH-000127,-0.200542601545
ACH-000128,-0.102468569544
ACH-000132,-0.27171681705899997
ACH-000133,-0.0707522422358
ACH-000137,0.113188974385
ACH-000138,-0.323324257887
ACH-000142,-0.293318120339
ACH-000143,0.0767135884768
ACH-000146,-0.211902816808
ACH-000148,-0.332212700881
ACH-000150,-0.19679300836
ACH-000152,-0.28047641649099997
ACH-000153,-0.0423683363435
ACH-000159,-0.176745050213
ACH-000160,-0.110608657663
ACH-000163,-0.12005133827600001
ACH-000167,-0.288514157319
ACH-000168,-0.09964876973430001
ACH-000169,-0.11777014939899999
ACH-000178,-0.20239964300500002
ACH-000182,-0.0145387105238
ACH-000183,-0.13501759873400002
ACH-000188,-0.360667508763
ACH-000189,-0.179829790065
ACH-000190,-0.078054913003
ACH-000198,-0.09029422451670001
ACH-000204,-0.21412550280499998
ACH-000206,-0.253107781387
ACH-000207,-0.244708626589
ACH-000211,-0.130419000517
ACH-000215,-0.277842185939
ACH-000221,-0.117261590808
ACH-000222,-0.21563944175299998
ACH-000223,-0.0306697604864
ACH-000226,-0.270449437571
ACH-000227,-0.0239132498765
ACH-000228,-0.286941931484
ACH-000231,-0.284430295272
ACH-000232,-0.09953346881539998
ACH-000233,-0.0335149078414
ACH-000234,-0.170133627654
ACH-000235,-0.18386303632800002
ACH-000237,-0.00403120857943
ACH-000238,-0.44462823829099996
ACH-000243,-0.24212538041200002
ACH-000244,-0.0205698472682
ACH-000246,-0.0592642061538
ACH-000248,-0.23788862110599998
ACH-000250,-0.212169454569
ACH-000251,-0.1294713213
ACH-000253,-0.37572526252800004
ACH-000255,-0.270362871321
ACH-000256,-0.286475492941
ACH-000257,0.041290437325
ACH-000258,-0.13978167199799998
ACH-000259,-0.143305980355
ACH-000260,-0.258770914217
ACH-000261,-0.118235628617
ACH-000262,-0.183887911795
ACH-000263,-0.14840627022800001
ACH-000264,-0.16758135658
