,MARCH6 (10299)
ACH-000004,-0.120642414726
ACH-000007,-0.21764580284899998
ACH-000009,-0.18109321753
ACH-000011,-0.0744702219243
ACH-000012,-0.69567579633
ACH-000013,0.19966015212000002
ACH-000014,-0.471160912605
ACH-000015,-0.41623216639300004
ACH-000017,-0.24985629599800002
ACH-000018,-0.222683797315
ACH-000019,-0.147269001653
ACH-000021,-0.109407580877
ACH-000022,0.039992972121
ACH-000025,-0.255917903911
ACH-000028,-0.158722191578
ACH-000030,-0.257012884279
ACH-000035,-0.166649882478
ACH-000036,-0.202876785713
ACH-000037,-0.064208849678
ACH-000039,-0.278896789087
ACH-000040,-0.194520101078
ACH-000041,-0.140524145204
ACH-000042,-0.329911976245
ACH-000045,-0.6420371848399999
ACH-000047,-0.612516806153
ACH-000052,-0.322123648846
ACH-000053,-0.0316537713017
ACH-000054,-0.108577134366
ACH-000055,-0.47118901122100004
ACH-000060,-0.111395579519
ACH-000067,-0.155588366196
ACH-000070,-0.282240562764
ACH-000075,-0.088315730564
ACH-000078,-0.133592152441
ACH-000082,-0.330816773873
ACH-000085,-0.10150631472100001
ACH-000086,-0.209140991125
ACH-000087,-0.267050077738
ACH-000092,-0.314150126062
ACH-000095,-0.161143862935
ACH-000097,-0.13351469316
ACH-000098,-0.438606271629
ACH-000099,-0.197235343592
ACH-000108,-0.121020655874
ACH-000113,-0.416156889783
ACH-000115,-0.278114881117
ACH-000116,-0.055962451245999995
ACH-000118,0.135258676904
ACH-000120,-0.12739885654400002
ACH-000123,-0.015566748886299999
ACH-000127,-0.168691607099
ACH-000128,-0.0638200297568
ACH-000132,-0.262700579778
ACH-000133,-0.463701270665
ACH-000137,-0.129924111387
ACH-000138,-0.037785820217
ACH-000142,0.0110446972856
ACH-000143,-0.201176889487
ACH-000146,-0.735326322317
ACH-000148,-0.09461433495510001
ACH-000150,-0.20865476397399998
ACH-000152,-0.379337237541
ACH-000153,-0.5844705809340001
ACH-000159,-0.06665421772130001
ACH-000160,-0.387592278885
ACH-000163,-0.17104567503899998
ACH-000167,-0.082310594483
ACH-000168,-0.706489495521
ACH-000169,-0.267448356022
ACH-000178,-0.140124215669
ACH-000182,-0.495347613447
ACH-000183,-0.309564798214
ACH-000188,-0.11935722668500001
ACH-000189,-0.0847284707739
ACH-000190,-0.10068908319299999
ACH-000198,-0.334752546453
ACH-000204,-0.372627206255
ACH-000206,-0.45323018299400003
ACH-000207,-0.28708559168299996
ACH-000211,-0.583707659115
ACH-000215,-0.378442449261
ACH-000221,-0.202200123114
ACH-000222,-0.0135233130978
ACH-000223,-0.281696038245
ACH-000226,-0.252340375229
ACH-000227,-0.046762410580900006
ACH-000228,-0.189888671655
ACH-000231,-0.0756854131553
ACH-000232,-0.27740848959000003
ACH-000233,-0.09364022820380001
ACH-000234,-0.0503077898621
ACH-000235,-0.14001398769600001
ACH-000237,-0.11033050923800002
ACH-000238,-0.26940561767099996
ACH-000243,-0.0040282281834
ACH-000244,-0.272555627683
ACH-000246,-0.29766074519200003
ACH-000248,-0.45375768782799997
ACH-000250,-0.202818333483
ACH-000251,-0.534657264037
ACH-000253,-0.0187589611478
ACH-000255,0.00289145079012
ACH-000256,-0.08369756485669999
ACH-000257,-0.36455109774000005
ACH-000258,-0.15745454312999999
ACH-000259,-0.372307112004
ACH-000260,-0.014517008098200002
ACH-000261,-0.135829560264
ACH-000262,0.00450777002325
ACH-000263,-0.616982257301
ACH-000264,-0.0971668517852
ACH-000265,-0.0746056557521
ACH-000266,-0.34736354359300003
ACH-000272,-0.19745149218400002
ACH-000273,-0.270247393197
ACH-000274,-0.38848148069899996
ACH-000277,-0.07700748123989999
ACH-000278,-0.09028880725670001
