,MEF2B (100271849)
ACH-000004,-0.12459367941999999
ACH-000007,0.023144344554
ACH-000009,-0.0909480863449
ACH-000011,-0.0334665271087
ACH-000012,-0.169887713013
ACH-000013,-0.161739205868
ACH-000014,-0.09211224109089998
ACH-000015,-0.35690393583200003
ACH-000017,-0.144228072692
ACH-000018,-0.236796583242
ACH-000019,-0.332720264754
ACH-000021,-0.25006163138
ACH-000022,-0.282252607778
ACH-000025,-0.243086749771
ACH-000028,-0.424860546802
ACH-000030,-0.23335923871800002
ACH-000035,-0.21111920341499998
ACH-000036,-0.225912308631
ACH-000037,-0.0717647210963
ACH-000039,-0.188473937136
ACH-000040,-0.19139975374600002
ACH-000041,-0.014506461637399999
ACH-000042,-0.286118943187
ACH-000045,-0.15109447070499998
ACH-000047,-0.0844288866223
ACH-000052,-0.168650464838
ACH-000053,-0.287547734121
ACH-000054,-0.18772718488600001
ACH-000055,-0.0187635529613
ACH-000060,0.021911266400099997
ACH-000067,-0.10713420343800001
ACH-000070,-0.0977114578692
ACH-000075,-0.16469262051300002
ACH-000078,-0.061121400686099996
ACH-000082,-0.145976507655
ACH-000085,-0.130443847892
ACH-000086,-0.321908630407
ACH-000087,-0.023178580512799998
ACH-000092,-0.165270548826
ACH-000095,-0.187634729967
ACH-000097,-0.263756365614
ACH-000098,-0.338814614469
ACH-000099,-0.112674392197
ACH-000108,-0.20212229445500002
ACH-000113,-0.07056392860010001
ACH-000115,-0.19798354445099997
ACH-000116,-0.246460236698
ACH-000118,-0.193450177676
ACH-000120,-0.0292958302544
ACH-000123,-0.24061812754
ACH-000127,-0.18716390428399998
ACH-000128,-0.0994480443492
ACH-000132,-0.13235394755899998
ACH-000133,0.0111316404734
ACH-000137,-0.310678447986
ACH-000138,-0.31700843633299997
ACH-000142,-0.19662500019200002
ACH-000143,-0.058235096416800004
ACH-000146,-0.12253467548000001
ACH-000148,-0.07362807675750001
ACH-000150,-0.296276686316
ACH-000152,-0.152938800614
ACH-000153,-0.07384225477800001
ACH-000159,-0.207973473657
ACH-000160,-0.254290403788
ACH-000163,-0.277645908836
ACH-000167,-0.0910081195815
ACH-000168,-0.220159797671
ACH-000169,-0.100507342045
ACH-000178,-0.09329910072830001
ACH-000182,-0.158112646887
ACH-000183,-0.16933963349800002
ACH-000188,-0.35640762496
ACH-000189,-0.332253798571
ACH-000190,-0.0257389482713
ACH-000198,-0.151114780226
ACH-000204,-0.128696640007
ACH-000206,0.215850583932
ACH-000207,-0.107597135801
ACH-000211,-0.183656805276
ACH-000215,-0.184105829232
ACH-000221,-0.38299637068400005
ACH-000222,-0.19017963134500002
ACH-000223,-0.017004930458
ACH-000226,-0.133514277722
ACH-000227,-0.162388471007
ACH-000228,-0.271441913715
ACH-000231,-0.04339927614419999
ACH-000232,-0.20609223772799998
ACH-000233,-0.190230442279
ACH-000234,-0.324342225705
ACH-000235,-0.263668029575
ACH-000237,-0.309612245754
ACH-000238,-0.0691847182287
ACH-000243,-0.19541498272500002
ACH-000244,-0.185636025539
ACH-000246,-0.138883595443
ACH-000248,-0.0418155319835
ACH-000250,-0.213236262089
ACH-000251,-0.0853966673462
ACH-000253,-0.26802181528
ACH-000255,-0.19027084745099998
ACH-000256,-0.218056622049
ACH-000257,-0.038469907381699996
ACH-000258,0.061887233833300005
ACH-000259,-0.173570368278
ACH-000260,-0.208650443567
ACH-000261,-0.206692629327
ACH-000262,-0.155166880634
ACH-000263,-0.07977587099769999
ACH-000264,-0.131796656756
ACH-000265,-0.216641879096
ACH-000266,-0.221862570423
ACH-000272,0.0174084790017
ACH-000273,-0.14205406909399998
ACH-000274,-0.10451487546299999
ACH-000277,-0.057200031458
ACH-000278,-0.10504046544500001
ACH-000279,-0.0664397519298
ACH-000280,-0.291461600678
ACH-000281,-0.179533659608
