,RRM2 (6241)
ACH-000004,-1.9017231720599996
ACH-000007,-1.8311623328
ACH-000009,-1.9867786307799997
ACH-000011,-2.17899952125
ACH-000012,-1.66943009056
ACH-000013,-1.79870435179
ACH-000014,-1.86368639972
ACH-000015,-1.57743948162
ACH-000017,-2.03023199282
ACH-000018,-1.58293179902
ACH-000019,-2.06863612073
ACH-000021,-1.8173325367700002
ACH-000022,-2.28097307067
ACH-000025,-1.83076137732
ACH-000028,-1.8024811603400002
ACH-000030,-2.0740470911
ACH-000035,-1.69703845984
ACH-000036,-1.8050541042500001
ACH-000037,-2.23623708209
ACH-000039,-2.2109783469799997
ACH-000040,-2.05149559371
ACH-000041,-2.0626124839099997
ACH-000042,-1.7460115512099998
ACH-000045,-2.2784752563299997
ACH-000047,-1.85815062312
ACH-000052,-1.67046089244
ACH-000053,-1.63308126411
ACH-000054,-1.9605181592200003
ACH-000055,-1.9789440119599997
ACH-000060,-1.8286053525400001
ACH-000067,-1.7370426151900002
ACH-000070,-2.20966442247
ACH-000075,-1.7467952857099998
ACH-000078,-1.94162025469
ACH-000082,-1.77944604776
ACH-000085,-1.84296195498
ACH-000086,-1.28258342644
ACH-000087,-1.87137261896
ACH-000092,-1.81709415556
ACH-000095,-2.18696122352
ACH-000097,-1.76304945216
ACH-000098,-1.6298149145899998
ACH-000099,-2.14591225553
ACH-000108,-1.48152829719
ACH-000113,-2.29040743618
ACH-000115,-2.8298085981200005
ACH-000116,-1.93158330238
ACH-000118,-1.77730218372
ACH-000120,-1.9398222713
ACH-000123,-2.0477577594
ACH-000127,-2.05583669143
ACH-000128,-2.4586292920200004
ACH-000132,-1.71359884806
ACH-000133,-1.83528773118
ACH-000137,-1.46681813824
ACH-000138,-2.00415233059
ACH-000142,-2.1744149549
ACH-000143,-1.8267829542900003
ACH-000146,-2.92143709162
ACH-000148,-1.70556917611
ACH-000150,-1.75523244113
ACH-000152,-1.91080246521
ACH-000153,-1.0780739444299998
ACH-000159,-1.8618067235900002
ACH-000160,-1.9928036629700001
ACH-000163,-1.73298105255
ACH-000167,-2.61972041078
ACH-000168,-2.46150888954
ACH-000169,-2.0522266355900003
ACH-000178,-1.9326446665700001
ACH-000182,-1.99515790398
ACH-000183,-2.09345636028
