,LPPR5 (163404)
ACH-000461,-0.21941936992699998
ACH-000463,-0.169319561106
ACH-000464,-0.284635743225
ACH-000466,-0.299634212942
ACH-000467,-0.159153232796
ACH-000468,-0.0193559827227
ACH-000469,-0.136576274949
ACH-000470,-0.0579605387684
ACH-000471,-0.07391116701560001
ACH-000472,-0.279711396683
ACH-000473,-0.11799509325400001
ACH-000475,-0.195524271437
ACH-000476,-0.309582822721
ACH-000477,-0.208267403267
ACH-000480,-0.0467293634035
ACH-000481,-0.33743793886600004
ACH-000483,-0.291658715302
ACH-000484,-0.47278884065399995
ACH-000485,-0.181522486122
ACH-000486,-0.23106432589899997
ACH-000487,-0.225755588695
ACH-000488,-0.178907582258
ACH-000490,-0.0947291769407
ACH-000491,-0.229179487148
ACH-000495,-0.444708088108
ACH-000496,-0.446238613402
ACH-000499,-0.0552961113615
ACH-000500,0.26817180087299997
ACH-000502,0.011003689451999999
ACH-000503,0.169803632555
ACH-000505,-0.282528601388
ACH-000507,-0.21810035990200002
ACH-000510,-0.296855798762
ACH-000511,-0.226649381672
ACH-000512,-0.21748680463199999
ACH-000516,0.0489499924476
ACH-000517,-0.235540489686
ACH-000518,-0.042477203295300005
ACH-000520,-0.034518964902900004
ACH-000521,-0.101982799651
ACH-000522,-0.37053533682400003
ACH-000524,-0.044203573981499995
ACH-000527,-0.0954588464312
ACH-000528,-0.160946253959
ACH-000537,-0.0932930565033
ACH-000541,0.130401501723
ACH-000542,-0.273548900882
ACH-000544,-0.158130189231
ACH-000545,-0.23969500989599998
ACH-000547,0.0637487615949
ACH-000548,-0.185225749959
ACH-000549,-0.134190773114
ACH-000550,-0.353001245264
ACH-000552,-0.227660431556
ACH-000556,-0.160991322278
ACH-000557,0.11742905861099999
ACH-000570,-0.17505804821899998
ACH-000571,-0.269396165966
ACH-000573,-0.0540803994049
ACH-000576,-0.0418631946383
ACH-000580,-0.0344491677357
ACH-000584,-0.09944584355519999
ACH-000585,-0.18585607047000002
ACH-000588,-0.00847477320521
ACH-000589,-0.10234142839
ACH-000591,-0.46714815561899997
ACH-000593,-0.19563356615699998
ACH-000600,-0.241863439498
ACH-000601,-0.08445404196879999
ACH-000604,-0.32445652451699997
ACH-000605,-0.0625401409213
ACH-000606,-0.13417697117
ACH-000608,0.0048798731473300005
ACH-000614,0.0217637325523
ACH-000616,-0.0832848879635
ACH-000618,-0.137014575897
ACH-000619,-0.25912162758499996
ACH-000620,-0.28626699303500003
ACH-000621,-0.148638722345
ACH-000622,-0.212664954092
ACH-000623,-0.0281404421235
ACH-000624,-0.228585516951
ACH-000627,-0.17811622923099998
ACH-000630,-0.250172732668
ACH-000632,-0.297930075773
ACH-000633,-0.162873168008
ACH-000637,-0.186962050907
ACH-000638,-0.309358644377
ACH-000646,0.137911205118
ACH-000647,-0.233037396767
ACH-000648,-0.12360215490599999
ACH-000649,-0.335787695744
ACH-000651,-0.13893687411
ACH-000652,-0.143620388129
ACH-000653,-0.0559745937811
ACH-000657,-0.20793672621599998
ACH-000658,-0.042051180032699996
ACH-000661,-0.174105832158
ACH-000662,0.0693579927794
ACH-000663,-0.303143015649
ACH-000665,-0.254500152654
ACH-000671,-0.293117702199
ACH-000673,-0.124291587143
ACH-000676,-0.155108247757
ACH-000677,-0.203275752152
ACH-000681,-0.0636022022393
ACH-000682,-0.173368485352
ACH-000683,-0.16914485071899998
ACH-000684,-0.08155291486439999
ACH-000688,-0.18458890425900001
ACH-000693,-0.147250771873
ACH-000694,-0.17539508634
ACH-000695,-0.440682318151
ACH-000696,-0.218124685047
ACH-000697,-0.06287736011919999
ACH-000699,-0.0519164960888
ACH-000701,-0.0802946458645
