,CACTIN (58509)
ACH-000004,-1.45982163734
ACH-000007,-1.03757490792
ACH-000009,-1.13518341254
ACH-000011,-1.26931761691
ACH-000012,-1.22495979384
ACH-000013,-1.4554236660100002
ACH-000014,-1.20584995575
ACH-000015,-1.34334214338
ACH-000017,-1.16258373606
ACH-000018,-0.840103443239
ACH-000019,-1.40297448915
ACH-000021,-1.3482581224
ACH-000022,-1.00380686759
ACH-000025,-1.03908871615
ACH-000028,-1.1804118422399998
ACH-000030,-1.32546972876
ACH-000035,-1.05709472557
ACH-000036,-1.0162824047799999
ACH-000037,-1.71941185687
ACH-000039,-1.38965984911
ACH-000040,-1.13341573013
ACH-000041,-1.1568942258600001
ACH-000042,-1.1572549400299998
ACH-000045,-0.992589801476
ACH-000047,-0.9360727084029999
ACH-000052,-0.6532920656100001
ACH-000053,-1.20464669347
ACH-000054,-1.11095384434
ACH-000055,-1.31102942695
ACH-000060,-1.24527487705
ACH-000067,-1.1595607831299999
ACH-000070,-1.06871276854
ACH-000075,-0.966071736511
ACH-000078,-1.32872102254
ACH-000082,-1.15954804029
ACH-000085,-1.10641819754
ACH-000086,-1.10736777469
ACH-000087,-1.07190371733
ACH-000092,-0.935147658185
ACH-000095,-1.06355029607
ACH-000097,-1.2365532190700002
ACH-000098,-1.0440911359
ACH-000099,-1.2495153856399999
ACH-000108,-1.62781423472
ACH-000113,-1.4858969416699999
ACH-000115,-1.75147376529
ACH-000116,-1.25145710477
ACH-000118,-1.0677508553200001
ACH-000120,-0.888863486125
ACH-000123,-1.0107516033
ACH-000127,-1.15505965364
ACH-000128,-1.00389050052
ACH-000132,-1.20479460771
ACH-000133,-1.17058410454
ACH-000137,-1.04122294258
ACH-000138,-1.2842605170999999
ACH-000142,-1.33379871483
ACH-000143,-1.09610314981
ACH-000146,-1.36191413287
ACH-000148,-1.08527787975
ACH-000150,-0.854778220912
ACH-000152,-0.8970181040880001
ACH-000153,-0.42175755915799995
ACH-000159,-0.8929951350669999
ACH-000160,-1.2763786780600002
ACH-000163,-0.9142876031820001
ACH-000167,-1.2732387088200001
ACH-000168,-1.1188452935
ACH-000169,-1.07351792237
ACH-000178,-1.27417272054
ACH-000182,-1.36727333007
ACH-000183,-0.9716495312860001
ACH-000188,-1.2895209354700001
ACH-000189,-0.921537122932
ACH-000190,-1.1985956538
ACH-000198,-0.9142756946780001
ACH-000204,-1.00397010516
ACH-000206,-1.6183724894999998
ACH-000207,-1.33289300313
ACH-000211,-1.10266714668
ACH-000215,-0.9626280036229999
ACH-000221,-1.21312013042
ACH-000222,-1.19289715926
ACH-000223,-1.31641786062
ACH-000226,-1.04572433152
ACH-000227,-0.728213584225
ACH-000228,-1.2233641026200002
ACH-000231,-0.869683157146
ACH-000232,-1.23247003215
ACH-000233,-1.30523393556
ACH-000234,-1.75079598412
ACH-000235,-1.25180570855
ACH-000237,-1.26668625501
ACH-000238,-1.24491473424
ACH-000243,-1.15878088735
ACH-000244,-1.17016005602
ACH-000246,-1.15596521221
ACH-000248,-1.16799934885
ACH-000250,-1.26976501564
ACH-000251,-1.18432288505
ACH-000253,-1.24508922906
ACH-000255,-0.84345338956
ACH-000256,-0.9977924861509999
ACH-000257,-1.0016368414499999
ACH-000258,-1.10595128962
ACH-000259,-1.29838758204
ACH-000260,-1.22246164922
ACH-000261,-1.2657245513600002
ACH-000262,-0.859146615485
ACH-000263,-1.05590450206
ACH-000264,-1.1462917079700001
ACH-000265,-1.12756673196
ACH-000266,-1.1449999364499999
ACH-000272,-0.98799378121
ACH-000273,-1.22152464912
ACH-000274,-0.905138331431
ACH-000277,-1.2929764603899998
ACH-000278,-1.36392286386
ACH-000279,-1.3013840020799998
ACH-000280,-0.808939801946
ACH-000281,-1.3143368532100002
ACH-000288,-1.0795550409799999
ACH-000291,-0.9565878775319999
ACH-000293,-1.6808279521599998
ACH-000294,-1.6517614771399998
ACH-000295,-0.794574996075
ACH-000296,-1.4185813706000001
ACH-000302,-1.8563179739400002
ACH-000304,-1.17719511989
ACH-000307,-1.24152777779
ACH-000308,-1.28210371454
ACH-000310,-1.30673236925
ACH-000311,-1.1411481481899999
ACH-000312,-1.03312746293
ACH-000315,-1.10217417293
ACH-000316,-1.2469049954
ACH-000317,-0.9094719653159999
ACH-000318,-0.658824515866
ACH-000319,-0.980584988036
ACH-000320,-0.7357117454359999
ACH-000322,-1.2289711751899999
ACH-000323,-0.848542648403
ACH-000324,-1.4274118956600002
ACH-000329,-1.0050952897399998
ACH-000330,-0.970528893051
ACH-000331,-0.9736549799590001
ACH-000332,-1.16547820692
ACH-000334,-0.8839805013709999
ACH-000335,-0.9754928835019999
ACH-000336,-1.2472476451799999
ACH-000337,-1.4524391433500001
ACH-000339,-1.2666124410700002
ACH-000341,-1.8511147519799998
ACH-000348,-1.25096374917
ACH-000350,-1.5231296486
