,CSAD (51380)
ACH-000004,-0.120825445402
ACH-000007,-0.4622415386
ACH-000009,-0.329549970397
ACH-000011,-0.196011211338
ACH-000012,-0.15089954120899998
ACH-000013,-0.167493989703
ACH-000014,-0.162181673006
ACH-000015,-0.18239993427700002
ACH-000017,-0.0177934697015
ACH-000018,-0.23949116918299998
ACH-000019,-0.5140064839999999
ACH-000021,-0.236974723504
ACH-000022,-0.19274369780099998
ACH-000025,-0.42889886450099995
ACH-000028,-0.280031676204
ACH-000030,-0.204685956007
ACH-000035,-0.25615679968000005
ACH-000036,-0.012940776822600001
ACH-000037,-0.235911668746
ACH-000039,-0.182678879399
ACH-000040,-0.348772416488
ACH-000041,-0.361290600192
ACH-000042,-0.139002844607
ACH-000045,0.038109146195800005
ACH-000047,-0.198055599475
ACH-000052,-0.364650032959
ACH-000053,-0.19270920479200002
ACH-000054,-0.335733786309
ACH-000055,-0.0642593305819
ACH-000060,-0.0057343235448599995
ACH-000067,-0.35065921226700003
ACH-000070,-0.158394514942
ACH-000075,-0.359479504503
ACH-000078,-0.0218440014003
ACH-000082,-0.120021566053
ACH-000085,-0.208142718162
ACH-000086,-0.314905798871
ACH-000087,-0.303243076777
ACH-000092,-0.295246610788
ACH-000095,-0.0346200725704
ACH-000097,-0.26473220807799996
ACH-000098,-0.127049277073
ACH-000099,-0.0135088154046
ACH-000108,-0.11858072793400001
ACH-000113,-0.286273388012
ACH-000115,-0.280551317309
ACH-000116,-0.0637146080144
ACH-000118,-0.224417598347
ACH-000120,-0.0024009960075399997
ACH-000123,-0.20083300847199997
ACH-000127,-0.171128139445
ACH-000128,-0.224326131091
ACH-000132,0.11333820782199999
ACH-000133,-0.329905039097
ACH-000137,-0.442690402438
ACH-000138,-0.151452746545
ACH-000142,-0.20608909942
ACH-000143,-0.18609397412
ACH-000146,-0.193129680083
ACH-000148,-0.20426551265
ACH-000150,-0.397886278429
ACH-000152,-0.255171844129
ACH-000153,-0.191558902521
ACH-000159,-0.08048874677710001
ACH-000160,-0.422804900017
ACH-000163,-0.247146673259
ACH-000167,-0.32573397392299996
ACH-000168,-0.185508747561
ACH-000169,-0.07922597682810001
ACH-000178,-0.023816827898400002
ACH-000182,-0.329245816846
ACH-000183,-0.036768303232999996
ACH-000188,-0.0718337159848
ACH-000189,-0.184070892964
ACH-000190,-0.0423871751013
ACH-000198,-0.155528437836
ACH-000204,-0.211686445121
ACH-000206,-0.0768953535998
ACH-000207,0.0501080086675
ACH-000211,-0.0903509090665
ACH-000215,-0.267213603521
ACH-000221,-0.04523756278919999
ACH-000222,0.0342866808158
ACH-000223,-0.149463149634
ACH-000226,-0.225939036827
ACH-000227,-0.0889652122817
ACH-000228,-0.209322577555
ACH-000231,-0.159094686139
ACH-000232,-0.0962844910598
ACH-000233,-0.09227303822760001
ACH-000234,-0.119403086975
ACH-000235,-0.281890711789
ACH-000237,-0.22300430456599998
ACH-000238,-0.279497607694
ACH-000243,-0.16883393692200002
ACH-000244,-0.255445950552
ACH-000246,-0.149616542963
ACH-000248,-0.15562041583900002
