,AOC2 (314)
ACH-000004,-0.242059642938
ACH-000007,-0.161060238646
ACH-000009,-0.479621338638
ACH-000011,-0.0773540211197
ACH-000012,-0.125106704593
ACH-000013,-0.301398635011
ACH-000014,-0.30898894370200003
ACH-000015,-0.19278882214
ACH-000017,-0.5103886250199999
ACH-000018,-0.0806574505597
ACH-000019,-0.140518445907
ACH-000021,-0.13880877346200002
ACH-000022,-0.16923021035100003
ACH-000025,-0.222577465395
ACH-000028,-0.188867622312
ACH-000030,-0.268929401901
ACH-000035,-0.464285226226
ACH-000036,-0.325435808178
ACH-000037,0.08322648416730001
ACH-000039,-0.0760480424165
ACH-000040,-0.239972315493
ACH-000041,-0.384134289754
ACH-000042,-0.225050301259
ACH-000045,-0.344776808285
ACH-000047,-0.106390578731
ACH-000052,0.16306649311899998
ACH-000053,-0.142408432085
ACH-000054,-0.18865280569899998
ACH-000055,-0.101202473145
ACH-000060,-0.0856863302269
ACH-000067,-0.37580790759599997
ACH-000070,-0.18088742312800002
ACH-000075,-0.157686472007
ACH-000078,-0.242709155439
ACH-000082,-0.131416409667
ACH-000085,-0.123837862471
ACH-000086,-0.211940663486
ACH-000087,0.0115164201866
ACH-000092,-0.274392781824
ACH-000095,-0.267923938904
ACH-000097,-0.202062036528
ACH-000098,-0.18651668682599998
ACH-000099,-0.26442618790100003
ACH-000108,-0.232704066259
ACH-000113,-0.082448945171
ACH-000115,-0.0368141859045
ACH-000116,-0.14274041617799998
ACH-000118,-0.120720604604
ACH-000120,-0.5181428010600001
ACH-000123,-0.26053835316
ACH-000127,-0.100928553972
ACH-000128,-0.32261449729200004
ACH-000132,-0.29064978463
ACH-000133,-0.0808911731258
ACH-000137,-0.296630616348
ACH-000138,-0.341747834114
ACH-000142,-0.37848944786399996
ACH-000143,-0.32596027703200003
ACH-000146,-0.248082847374
ACH-000148,-0.103247386852
ACH-000150,-0.18831355865600002
ACH-000152,-0.345931799886
ACH-000153,-0.187782359317
ACH-000159,-0.238949167905
ACH-000160,-0.34391449948799996
ACH-000163,-0.353067815841
ACH-000167,-0.0689630203725
ACH-000168,0.00307501585542
ACH-000169,-0.21612012854499998
ACH-000178,-0.181798533539
ACH-000182,-0.176888741108
ACH-000183,-0.1205556635
ACH-000188,-0.20108638580899998
ACH-000189,-0.12386296127299999
ACH-000190,-0.444579169229
ACH-000198,-0.25973285015500003
ACH-000204,-0.319907871801
ACH-000206,-0.236890728865
ACH-000207,0.0123078295368
ACH-000211,-0.273970376094
ACH-000215,-0.226584003872
ACH-000221,-0.331621197377
ACH-000222,-0.0975052938811
ACH-000223,-0.089408357726
ACH-000226,-0.18018737847199998
ACH-000227,-0.435136401909
ACH-000228,-0.210793708205
ACH-000231,-0.332543423509
ACH-000232,-0.23618095039
ACH-000233,-0.144255530101
ACH-000234,-0.09792541687830002
ACH-000235,-0.24981231863000003
ACH-000237,-0.221577290554
ACH-000238,-0.0204685010874
ACH-000243,-0.38007200176
ACH-000244,-0.151099090892
ACH-000246,-0.169411306247
ACH-000248,-0.29475155927200003
ACH-000250,-0.307807402703
ACH-000251,-0.34023362314800004
ACH-000253,-0.165037791493
ACH-000255,-0.161607612593
ACH-000256,-0.24015364832299999
ACH-000257,0.06506410051030001
ACH-000258,0.0981228389679
ACH-000259,-0.30333130396200003
ACH-000260,-0.246315554542
ACH-000261,-0.189315031566
ACH-000262,-0.0145224534506
ACH-000263,-0.142246575571
ACH-000264,-0.335150747344
ACH-000265,-0.182309304811
ACH-000266,-0.229136437479
ACH-000272,-0.304072041163
ACH-000273,-0.349206631965
ACH-000274,-0.36036951375200005
ACH-000277,-0.0194785246103
ACH-000278,-0.126148242044
ACH-000279,-0.129191351482
ACH-000280,-0.28971067934300004
ACH-000281,0.00862924025342
ACH-000288,-0.38367406198299997
ACH-000291,-0.339475149371
ACH-000293,-0.0490613033185
ACH-000294,-0.37432185413
ACH-000295,-0.8860942127410001
ACH-000296,-0.184017161092
ACH-000302,-0.20996639923000002
ACH-000304,-0.41642209965899996
ACH-000307,-0.213358755849
ACH-000308,-0.27301090343
ACH-000310,-0.362960441991
ACH-000311,-0.372885367989
ACH-000312,-0.298388451858
ACH-000315,-0.165154098712
ACH-000316,-0.38349075306599995
ACH-000317,-0.144146728694
ACH-000318,-0.155779677551
ACH-000319,-0.22660519479200003
ACH-000320,-0.154466394539
ACH-000322,-0.07157484800080001
ACH-000323,-0.338118050603
