,VOPP1 (81552)
ACH-000004,-0.487315757209
ACH-000007,-0.451456238357
ACH-000009,-0.503925642384
ACH-000011,-0.17304116431699998
ACH-000012,-0.530799039153
ACH-000013,-0.30560991565699996
ACH-000014,-0.471590578435
ACH-000015,-0.373124816555
ACH-000017,-0.347495878021
ACH-000018,-0.459406972534
ACH-000019,-0.198698850113
ACH-000021,-0.18643454840999998
ACH-000022,-0.300341627303
ACH-000025,-0.365605066985
ACH-000028,-0.256429510202
ACH-000030,-0.240083559809
ACH-000035,-0.128839894367
ACH-000036,-0.292829746253
ACH-000037,-0.170636464095
ACH-000039,-0.259633337308
ACH-000040,-0.384033671304
ACH-000041,-0.238305393354
ACH-000042,-0.298719736061
ACH-000045,-0.247946806999
ACH-000047,-0.307735776385
ACH-000052,-0.07620830615789999
ACH-000053,-0.192994869046
ACH-000054,-0.245747035369
ACH-000055,-0.223542430677
ACH-000060,-0.270977902658
ACH-000067,-0.282352099532
ACH-000070,-0.22555715374200003
ACH-000075,-0.39498759509000003
ACH-000078,-0.247344488822
ACH-000082,-0.3525838086
ACH-000085,-0.232739595907
ACH-000086,-0.07363271519810001
ACH-000087,-0.227014727223
ACH-000092,-0.17801123610300001
ACH-000095,-0.23514461949499998
ACH-000097,-0.35783557056500004
ACH-000098,-0.39281335983300003
ACH-000099,-0.103548348059
ACH-000108,0.012682739475
ACH-000113,-0.21054396082899998
ACH-000115,-0.206968724922
ACH-000116,-0.284488106437
ACH-000118,-0.156433018412
ACH-000120,-0.259375819588
ACH-000123,-0.134009925111
ACH-000127,-0.32402370843899997
ACH-000128,-0.40336166899099996
ACH-000132,-0.08351663130860001
ACH-000133,-0.44985358719499996
ACH-000137,-0.148728617462
ACH-000138,-0.23293376198399998
ACH-000142,-0.23375351015
ACH-000143,-0.169347896555
ACH-000146,-0.176974359383
ACH-000148,-0.286044561918
ACH-000150,-0.307226041571
ACH-000152,-0.428287845251
ACH-000153,-0.17471532059300002
ACH-000159,-0.185240808028
ACH-000160,-0.192650696687
ACH-000163,-0.120232988237
ACH-000167,-0.499343676607
ACH-000168,-0.298400320401
ACH-000169,0.00617805431985
ACH-000178,-0.054318888134399994
ACH-000182,-0.44122061344999997
ACH-000183,-0.14236273523700002
ACH-000188,-0.227576894575
ACH-000189,-0.146523295519
ACH-000190,-0.302392542675
ACH-000198,-0.18249880067899998
ACH-000204,-0.22457031768599997
ACH-000206,-0.425264689517
ACH-000207,-0.280204862859
ACH-000211,-0.166370351493
ACH-000215,-0.433351726368
ACH-000221,-0.552007370757
ACH-000222,-0.0575966869761
ACH-000223,-0.418001435559
ACH-000226,-0.309412769754
ACH-000227,-0.154367708476
ACH-000228,-0.345581938221
ACH-000231,-0.191846773611
ACH-000232,-0.327563721191
ACH-000233,-0.121460656689
ACH-000234,-0.185094144593
ACH-000235,-0.314865823331
ACH-000237,-0.325461524063
ACH-000238,-0.26346924826400003
ACH-000243,-0.18539338121800003
ACH-000244,-0.431788469706
ACH-000246,-0.28686007013500003
ACH-000248,-0.008609567269100001
ACH-000250,-0.321524030363
ACH-000251,0.21229557760099999
ACH-000253,-0.301398245607
ACH-000255,-0.314847515686
ACH-000256,0.104511367236
ACH-000257,-0.0965110647402
ACH-000258,-0.347233929683
ACH-000259,-0.22628073341999996
ACH-000260,-0.169597302915
ACH-000261,-0.23934683740499998
ACH-000262,-0.579456260172
ACH-000263,-0.269262417227
ACH-000264,-0.425205364472
ACH-000265,-0.21797630920699998
ACH-000266,-0.36285922518799996
ACH-000272,-0.6592141881870001
ACH-000273,-0.293949232319
ACH-000274,-0.38277902822300003
ACH-000277,-0.101099663669
ACH-000278,-0.231888058026
ACH-000279,-0.28322189962600003
ACH-000280,-0.476031241409
ACH-000281,-0.356594004678
ACH-000288,-0.21475913556499998
ACH-000291,-0.252681719751
ACH-000293,-0.327873677969
ACH-000294,-0.537948648577
ACH-000295,-0.169482232997
ACH-000296,-0.028715213610799997
ACH-000302,-0.262029491191
ACH-000304,-0.548555293596
ACH-000307,-0.338502447921
ACH-000308,-0.219572965092
ACH-000310,-0.192763382405
ACH-000311,-0.105577919045
ACH-000312,-0.18462418335
ACH-000315,-0.40848888136699996
ACH-000316,-0.513619255724
ACH-000317,0.333137001255
ACH-000318,-0.253964106899
ACH-000319,-0.43827923843500005
ACH-000320,-0.20254375310199998
ACH-000322,-0.243413474771
ACH-000323,-0.316361946142
ACH-000324,-0.259433580956
ACH-000329,-0.322231418088
ACH-000330,-0.563184225616
ACH-000331,-0.299500882073
ACH-000332,-0.127892910884
ACH-000334,-0.33846037647200006
ACH-000335,-0.107166946852
ACH-000336,-0.365175896331
ACH-000337,-0.180296271517
ACH-000339,-0.140847268061
ACH-000341,-0.18892856430399999
ACH-000348,-0.196629846762
ACH-000350,-0.314300509718
ACH-000352,-0.133375126683
ACH-000356,-0.304283987894
ACH-000361,-0.09106211297229999
ACH-000362,-0.17049968845400001
ACH-000363,-0.304293800423
ACH-000364,-0.312885826813
ACH-000365,-0.549430934389
ACH-000366,-0.165776818013
