,VENTX (27287)
ACH-000004,-0.139418140548
ACH-000007,-0.141609272423
ACH-000009,-0.23541981894000003
ACH-000011,-0.125552066034
ACH-000012,-0.443733616792
ACH-000013,-0.0741254981804
ACH-000014,-0.26120776856600003
ACH-000015,-0.12077143445499999
ACH-000017,-0.331042477287
ACH-000018,-0.16846301678300002
ACH-000019,-0.0373514775095
ACH-000021,-0.0473353217473
ACH-000022,-0.236071639587
ACH-000025,-0.40386417014200005
ACH-000028,0.10804841179000002
ACH-000030,-0.214545488794
ACH-000035,-0.193280792818
ACH-000036,-0.427366111035
ACH-000037,-0.330381728405
ACH-000039,-0.558467498445
ACH-000040,-0.325472392439
ACH-000041,-0.16413342531300001
ACH-000042,-0.277868649315
ACH-000045,-0.328440113313
ACH-000047,-0.106937106022
ACH-000052,-0.35441083668799994
ACH-000053,-0.125989390162
ACH-000054,-0.261822157771
ACH-000055,-0.34495360285899995
ACH-000060,-0.459871009142
ACH-000067,-0.594008096646
ACH-000070,0.010806426670099999
ACH-000075,-0.25743844876
ACH-000078,-0.440565855558
ACH-000082,-0.17750928023899998
ACH-000085,-0.22292956420600002
ACH-000086,-0.10314996194599999
ACH-000087,-0.36296226593
ACH-000092,-0.20185566283599998
ACH-000095,-0.270881124186
ACH-000097,-0.161891824944
ACH-000098,-0.274543450907
ACH-000099,-0.27250134621
ACH-000108,-0.26835545534899996
ACH-000113,-0.155405912117
ACH-000115,0.178372570376
ACH-000116,-0.17283682137899997
ACH-000118,-0.226497567801
ACH-000120,-0.38196764912000003
ACH-000123,-0.187028413879
ACH-000127,-0.0448684776795
ACH-000128,0.0267800140381
ACH-000132,-0.159489298492
ACH-000133,-0.322428828403
ACH-000137,-0.116619862917
ACH-000138,-0.166388036755
ACH-000142,-0.487785111054
ACH-000143,-0.0749992593697
ACH-000146,-0.212117745266
ACH-000148,-0.361832141021
ACH-000150,-0.17072166726500002
ACH-000152,-0.23219977500100003
ACH-000153,-0.512748021137
ACH-000159,-0.10012833232999999
ACH-000160,-0.08387377082110001
ACH-000163,-0.263936718299
ACH-000167,0.022564732597
ACH-000168,-0.291390784728
ACH-000169,-0.20594665940999998
ACH-000178,-0.23611862599199998
ACH-000182,-0.0983402589797
ACH-000183,-0.48095531137900005
ACH-000188,0.102298142734
ACH-000189,-0.05475850513259999
ACH-000190,-0.04872221084480001
ACH-000198,-0.22869939578499998
ACH-000204,-0.133484552404
ACH-000206,-0.243603803512
ACH-000207,-0.383564988256
ACH-000211,-0.139048361487
ACH-000215,-0.144662722009
ACH-000221,-0.120378328311
ACH-000222,-0.16374146885
ACH-000223,-0.256481666812
ACH-000226,-0.216114473675
ACH-000227,-0.23706581212699998
ACH-000228,0.0328096510783
ACH-000231,-0.175324046325
ACH-000232,-0.206892188442
ACH-000233,0.039410968190099996
ACH-000234,-0.266179931677
ACH-000235,-0.15646538660999998
ACH-000237,-0.202631351171
ACH-000238,-0.39699124074500003
ACH-000243,-0.0876284624463
ACH-000244,-0.26263985731600004
ACH-000246,-0.29998925375700003
ACH-000248,-0.358598374843
ACH-000250,-0.408869033625
ACH-000251,-0.180765501015
ACH-000253,-0.3163886127
ACH-000255,-0.08788982322899999
ACH-000256,0.0167472794678
ACH-000257,-0.432477316637
ACH-000258,-0.164323662421
ACH-000259,-0.048151734313199995
ACH-000260,-0.353909469318
ACH-000261,-0.119762544202
ACH-000262,-0.274335289358
ACH-000263,-0.138271745807
ACH-000264,-0.399647560695
ACH-000265,-0.124303775722
ACH-000266,-0.201481039438
ACH-000272,-0.174654575673
ACH-000273,-0.325868950168
ACH-000274,-0.0841195721182
ACH-000277,-0.258812013596
ACH-000278,-0.446753932703
ACH-000279,-0.149826616882
ACH-000280,-0.230675594255
ACH-000281,-0.385648018353
ACH-000288,-0.20087029436
ACH-000291,0.013843607967999999
ACH-000293,-0.07610208208580001
ACH-000294,-0.446990647764
ACH-000295,-0.18567285819499998
ACH-000296,-0.263218516969
ACH-000302,0.051344358373600005
ACH-000304,-0.45732049898500005
ACH-000307,-0.246183534063
ACH-000308,-0.115787565521
ACH-000310,-0.441915499299
ACH-000311,-0.106947657623
ACH-000312,-0.207348039247
ACH-000315,-0.0437269725403
ACH-000316,-0.298033551909
ACH-000317,-0.181541866651
ACH-000318,-0.134316201362
ACH-000319,-0.20276214869000003
ACH-000320,-0.0794420917891
ACH-000322,-0.223720307188
ACH-000323,-0.19167258853900002
ACH-000324,-0.281832042306
ACH-000329,-0.128721297113
ACH-000330,0.0546988804125
ACH-000331,-0.201276876996
ACH-000332,-0.174003964381
ACH-000334,-0.288295119235
ACH-000335,-0.183197504818
ACH-000336,-0.334398377458
ACH-000337,-0.13339999699000002
ACH-000339,-0.281083215554
ACH-000341,-0.186779681055
ACH-000348,-0.176446602288
ACH-000350,-0.265080859206
ACH-000352,-0.23992095178300002
ACH-000356,-0.14849997927300002
ACH-000361,0.0425796856073
ACH-000362,-0.498173131845
ACH-000363,-0.363230667298
ACH-000364,-0.0930283981386
ACH-000365,-0.0131480945307
ACH-000366,-0.09114071158060001
ACH-000368,-0.24321157472399998
ACH-000374,-0.10440998133099999
ACH-000375,-0.0593021266526
ACH-000376,-0.1320487477
