,CLPB (81570)
ACH-000004,-0.177597260688
ACH-000007,-0.128666335835
ACH-000009,-0.221223633389
ACH-000011,-0.17839053521499998
ACH-000012,-0.214506544526
ACH-000013,-0.12334121054300001
ACH-000014,-0.0398698534365
ACH-000015,-0.312961934384
ACH-000017,-0.635667729205
ACH-000018,-0.07511870116700001
ACH-000019,-0.298796711095
ACH-000021,-0.275081696565
ACH-000022,-0.537184087319
ACH-000025,0.0196134478172
ACH-000028,-0.48686704503899997
ACH-000030,-0.437587837782
ACH-000035,-0.0570483892004
ACH-000036,-0.04808280559230001
ACH-000037,-0.210862986726
ACH-000039,-0.33397735254
ACH-000040,-0.41739027983800003
ACH-000041,-0.0713395740215
ACH-000042,-0.295345278624
ACH-000045,-0.670665066234
ACH-000047,-0.0895839747776
ACH-000052,-0.46945572953500003
ACH-000053,-0.666371077773
ACH-000054,-0.0620852320684
ACH-000055,-0.119872608314
ACH-000060,-0.31819569480300003
ACH-000067,0.14355185543500001
ACH-000070,-0.117104833906
ACH-000075,-0.00032712919520700004
ACH-000078,-0.208854430752
ACH-000082,-0.17813978130199998
ACH-000085,-0.07519398090589999
ACH-000086,-0.207331113345
ACH-000087,-0.293539334307
ACH-000092,-0.10739883375399999
ACH-000095,-0.11626582977700001
ACH-000097,-0.338479392721
ACH-000098,-0.171183974525
ACH-000099,-0.13367066824100002
ACH-000108,-0.160066925272
ACH-000113,-0.743696863266
ACH-000115,-0.0817628759255
ACH-000116,-0.577217998294
ACH-000118,-0.499379915091
ACH-000120,-0.182471485368
ACH-000123,-0.75824269644
ACH-000127,-0.023562586625
ACH-000128,-0.710753897616
ACH-000132,-0.288183434414
ACH-000133,-0.208155188284
ACH-000137,-0.438274140806
ACH-000138,-0.379333768311
ACH-000142,-0.363713499496
ACH-000143,-0.12508406238199998
ACH-000146,-0.653576285626
ACH-000148,-0.356107960702
ACH-000150,-0.177273363884
ACH-000152,-0.263367628911
ACH-000153,-0.407616759444
ACH-000159,-0.153739587614
ACH-000160,-0.437123075801
ACH-000163,-0.0651882779071
ACH-000167,-0.148634362213
ACH-000168,-0.257524288027
ACH-000169,-0.512976463716
ACH-000178,-0.38700977860799995
ACH-000182,-0.08213522343480001
ACH-000183,-0.04382516021240001
ACH-000188,-0.434903451006
ACH-000189,-0.47748836678900003
ACH-000190,-0.24072042331000001
ACH-000198,-0.365206759456
ACH-000204,-0.19450968832600002
ACH-000206,-0.35952219749
ACH-000207,-0.667401021692
ACH-000211,-0.21859799579999997
ACH-000215,-0.15392627623299998
ACH-000221,-0.467528505154
ACH-000222,-0.42388694677100003
ACH-000223,-0.283832192342
ACH-000226,-0.8670918527150001
ACH-000227,-0.048130051055800004
ACH-000228,-0.7135358913869999
ACH-000231,-0.39040011843199995
ACH-000232,-0.519982398106
ACH-000233,-0.49936094068000003
ACH-000234,-0.12571624121
ACH-000235,-0.19579513823699998
ACH-000237,-0.127546726065
ACH-000238,-0.393129796675
ACH-000243,-0.281083295515
ACH-000244,-0.0328341857703
ACH-000246,-0.160987717326
ACH-000248,-0.6892174079090001
ACH-000250,-0.24550362584199997
