,VSTM5 (387804)
ACH-000734,-0.37225828991300003
ACH-000735,-0.239445329484
ACH-000736,-0.227948663976
ACH-000738,-0.163840283844
ACH-000746,-0.13450214386099998
ACH-000747,-0.189766309844
ACH-000748,-0.30203297721
ACH-000753,-0.255471131618
ACH-000756,-0.318263936013
ACH-000757,-0.135257604021
ACH-000758,-0.190204061943
ACH-000760,-0.21660239077100002
ACH-000763,-0.175009053017
ACH-000764,-0.13524328959100002
ACH-000765,-0.375860972089
ACH-000766,-0.115639707199
ACH-000767,-0.326006390345
ACH-000768,-0.226560026236
ACH-000769,-0.395032927798
ACH-000770,-0.163641882707
ACH-000771,-0.280751926853
ACH-000773,-0.057282646604500005
ACH-000776,-0.100722131711
ACH-000777,-0.186124168565
ACH-000778,-0.11325458546900001
ACH-000781,-0.205704702142
ACH-000782,-0.216341209687
ACH-000783,-0.22596126625500002
ACH-000784,-0.19615554427700002
ACH-000785,-0.142932185914
ACH-000787,-0.141091001168
ACH-000788,-0.0852695214217
ACH-000791,-0.130510220233
ACH-000792,-0.184688043889
ACH-000794,-0.23367888426999997
ACH-000796,-0.152339588177
ACH-000799,-0.07566393912489999
ACH-000800,-0.119305381733
ACH-000802,-0.175462203427
ACH-000804,-0.21207732291200002
ACH-000805,-0.196078163317
ACH-000809,-0.347843129017
ACH-000810,-0.577818001698
ACH-000811,-0.111564398455
ACH-000817,-0.282427075481
ACH-000819,-0.185809830908
ACH-000820,0.209756232982
ACH-000821,-0.047361556383600005
ACH-000822,-0.246726583504
ACH-000823,-0.33456368830899996
ACH-000824,-0.273750593541
ACH-000827,-0.25570428828200004
ACH-000829,-0.191154397492
ACH-000831,-0.31063301160900003
ACH-000832,-0.28307870611900005
ACH-000833,-0.27012175837200003
ACH-000834,-0.216036780849
ACH-000835,-0.252957483784
ACH-000836,-0.18265514788400003
ACH-000837,-0.22429175649
ACH-000838,-0.245488784531
ACH-000839,-0.36687080976899994
ACH-000840,-0.25895438372699997
ACH-000841,-0.0303570062534
ACH-000843,-0.272843186081
ACH-000846,-0.121821371461
ACH-000847,-0.104059640236
ACH-000848,-0.282752082817
ACH-000849,-0.0723658773733
ACH-000851,-0.143217526262
ACH-000855,-0.127566046737
ACH-000856,-0.196358746707
ACH-000858,-0.25241850747
ACH-000859,0.0394047901629
ACH-000861,-0.32644058509
ACH-000862,-0.130517586794
ACH-000865,-0.306694195331
ACH-000866,-0.340214275665
ACH-000867,-0.206865897003
ACH-000869,-0.0683078704121
ACH-000872,-0.191315218797
ACH-000873,0.010105422598799998
ACH-000876,-0.27234326644900003
ACH-000878,-0.0234723512022
ACH-000880,-0.24297542526299998
ACH-000881,-0.293688913423
ACH-000882,-0.18446081524900002
ACH-000884,-0.191231077646
ACH-000885,-0.171693251706
ACH-000887,-0.202786703391
ACH-000888,-0.142731247263
ACH-000889,-0.119191599955
ACH-000890,-0.373684004335
ACH-000896,-0.234455794833
ACH-000898,-0.10156016534800001
ACH-000900,-0.18078250720300001
ACH-000901,-0.19514083620499997
ACH-000905,-0.203682198004
ACH-000906,-0.23143552722
ACH-000907,-0.182816485804
ACH-000910,-0.218895284601
ACH-000911,-0.272143265378
ACH-000912,-0.219536429114
ACH-000913,-0.160419322258
ACH-000915,-0.216633682799
ACH-000916,-0.427237176385
ACH-000917,-0.276370759238
ACH-000921,-0.18224243008699997
ACH-000924,-0.210659178536
ACH-000926,-0.34618190076
ACH-000928,-0.24116370690299999
ACH-000929,-0.15536257883
ACH-000932,-0.171032923774
ACH-000935,-0.387626881769
ACH-000936,-0.307704918061
ACH-000937,-0.39463646059699997
ACH-000938,-0.218543303495
ACH-000939,-0.270783813414
ACH-000941,-0.173859911575
ACH-000943,-0.321080152794
ACH-000946,-0.234369988167
ACH-000947,-0.287390600926
ACH-000948,-0.315803420097
ACH-000950,-0.24076602472
ACH-000953,-0.187248962029
ACH-000957,-0.480418124502
ACH-000958,-0.135966549083
ACH-000960,-0.179692845469
ACH-000963,-0.694607949471
ACH-000968,-0.323721249518
ACH-000969,-0.390982712809
ACH-000973,-0.25564129140299996
ACH-000974,-0.39094426590099995
ACH-000975,-0.137450966328
ACH-000976,-0.219409051904
ACH-000978,-0.28135291665199996
ACH-000980,-0.285785190842
ACH-000984,-0.444547794186
ACH-000986,-0.08988781589469999
ACH-000988,-0.296987515316
ACH-000993,-0.34106184479199997
ACH-000994,-0.0854554297258
ACH-000996,-0.26031467059700003
ACH-001001,-0.15794720527
ACH-001020,0.03566331746569999
ACH-001028,-0.176521218549
ACH-001031,-0.140563244832
ACH-001038,-0.237063932741
ACH-001048,-0.23249515564
ACH-001050,-0.209375830255
ACH-001053,-0.303298871173
ACH-001054,-0.22324394142499998
ACH-001061,-0.30691749046100003
ACH-001067,-0.15318836711
ACH-001075,-0.272617951064
ACH-001096,-0.22796597711199998
ACH-001128,-0.599344676869
ACH-001134,-0.148201974885
ACH-001151,-0.160996120314
ACH-001163,-0.136706008111
ACH-001164,-0.047658857845
ACH-001173,-0.17380771915100002
ACH-001183,-0.306844725818
ACH-001184,-0.19330055882599997
ACH-001190,-0.222222002415
ACH-001192,-0.018282710221
ACH-001193,-0.324869110513
ACH-001196,-0.276721030083
ACH-001197,-0.0231780339127
ACH-001205,-0.302588013365
ACH-001211,-0.22130603538899998
ACH-001212,-0.07930960148180001
ACH-001228,-0.214888293105
ACH-001232,-0.23556397492199999
ACH-001239,-0.320259887328
ACH-001274,-0.30320555851500003
ACH-001275,-0.062184125820699994
ACH-001277,-0.151812568666
ACH-001278,-0.143806443035
ACH-001280,-0.0893150976102
ACH-001283,-0.286373675048
ACH-001289,-0.178658785136
ACH-001295,-0.269266304877
ACH-001300,-0.169561915306
ACH-001301,-0.200599337724
ACH-001302,-0.18816530885000002
ACH-001303,-0.16079726827
ACH-001306,-0.266723898612
ACH-001318,-0.0337639751326
ACH-001322,-0.366772387412
ACH-001328,-0.16975800864
ACH-001332,-0.305694486311
ACH-001333,-0.0487750388286
ACH-001336,-0.275799071503
ACH-001340,-0.190088645183
ACH-001346,-0.385022958593
ACH-001353,-0.140365288895
ACH-001354,-0.142755413978
ACH-001367,-0.247308432715
ACH-001368,-0.224902855715
ACH-001374,-0.214846200785
ACH-001375,-0.297535357855
ACH-001377,-0.323038648989
ACH-001380,-0.261164732497
ACH-001391,-0.349841776551
ACH-001407,-0.145533472517
ACH-001408,-0.321802425557
ACH-001413,-0.274755862941
ACH-001430,-0.411358639326
ACH-001431,-0.24198173193000003
ACH-001450,-0.5438925638459999
ACH-001496,-0.17560984559599999
ACH-001500,-0.132548043177
ACH-001521,-0.411672722185
ACH-001523,-0.16698417225099998
ACH-001532,-0.202031820255
ACH-001536,-0.128066152853
ACH-001550,-0.250743748903
ACH-001552,-0.345583562784
ACH-001554,-0.20538730901500002
ACH-001645,-0.301084486228
ACH-001654,-0.20129795109200002
ACH-001715,-0.0264801295084
ACH-001735,-0.22548867463199998
ACH-001736,-0.13403595125099999
ACH-001737,-0.00204982215499
ACH-001740,-0.159367398928
ACH-001745,-0.153080075108
ACH-001750,-0.253299521439
ACH-001765,-0.135606679109
ACH-001956,-0.217853398075
ACH-001957,-0.40000236816600004
