,ABCG2 (9429)
ACH-000401,-0.15300206230799998
ACH-000402,0.223011747859
ACH-000403,0.175493915045
ACH-000404,0.219798721726
ACH-000406,0.0907197110334
ACH-000407,0.236408937406
ACH-000408,0.135651422347
ACH-000410,0.0981844116041
ACH-000411,0.18466268385899998
ACH-000414,0.11902742027
ACH-000415,0.177264324073
ACH-000416,0.11140193904300001
ACH-000420,0.07056858000739999
ACH-000421,0.018969450258599998
ACH-000424,0.256551995304
ACH-000425,0.10520309230699999
ACH-000426,0.0665135810581
ACH-000427,0.232440663475
ACH-000433,0.38430053435999995
ACH-000436,0.274930306062
ACH-000444,0.272237999629
ACH-000445,-0.140975406128
ACH-000448,0.11781718510500001
ACH-000450,0.210212264045
ACH-000452,0.162399355852
ACH-000454,0.09326439088030002
ACH-000458,0.157642865481
ACH-000459,0.0245162863586
ACH-000460,0.160589447021
ACH-000461,0.0979940479472
ACH-000463,0.14072717891
ACH-000464,-0.0789942078435
ACH-000466,0.011131753639
ACH-000467,0.158754406889
ACH-000468,0.100350256114
ACH-000469,0.186152345035
ACH-000470,0.222148006285
ACH-000471,0.080567664267
ACH-000472,0.260647670539
ACH-000473,0.191845771443
ACH-000475,0.10293220572100001
ACH-000476,0.08522351212109999
ACH-000477,0.11706295049200001
ACH-000480,0.0883117368963
ACH-000481,0.10107219244799999
ACH-000483,0.170762852155
ACH-000484,0.25114242272
ACH-000485,0.23548718203400001
ACH-000486,0.153463092243
ACH-000487,0.08887620114019999
ACH-000488,0.08280039511689999
ACH-000490,0.18438981934700002
ACH-000491,0.125143219898
ACH-000495,0.334491608902
ACH-000496,0.006808725917100001
ACH-000499,0.21649511359700002
ACH-000500,1.0864081573
ACH-000502,0.184526050054
ACH-000503,0.0220106966077
ACH-000505,0.029746650869400003
ACH-000507,0.121240255439
ACH-000510,-0.103592968836
ACH-000511,0.149279165137
ACH-000512,0.0156922564861
ACH-000516,0.192518321362
ACH-000517,0.169128659426
ACH-000518,0.0871064838479
ACH-000520,0.120082742449
ACH-000521,0.271271039944
ACH-000522,0.0605592207986
ACH-000524,0.186587889647
ACH-000527,0.129630867417
ACH-000528,0.130607599474
ACH-000537,0.116886434816
ACH-000541,0.0721032260945
ACH-000542,0.189681402817
ACH-000544,0.208461966443
ACH-000545,0.140917405971
ACH-000547,-0.233137645319
ACH-000548,0.15834968482
ACH-000549,-0.013022043661200002
ACH-000550,-0.08162917553160001
ACH-000552,0.0815071079511
ACH-000556,0.12241750394000002
ACH-000557,0.180862708823
ACH-000570,0.09444832699339999
ACH-000571,0.274208948252
ACH-000573,0.06857570097900001
ACH-000576,0.310310123036
ACH-000580,0.258517063995
ACH-000584,0.263520255175
ACH-000585,0.203579379329
ACH-000588,0.12057124818199999
ACH-000589,0.13569572712000003
ACH-000591,0.12293465561200001
ACH-000593,0.230441991013
ACH-000600,0.0819442308172
ACH-000601,0.0665584586467
ACH-000604,0.351003767085
ACH-000605,0.221135822335
ACH-000606,0.240706076838
ACH-000608,0.169294399031
ACH-000614,0.324510945979
ACH-000616,0.113853586252
ACH-000618,0.0659164424616
ACH-000619,0.201990533926
ACH-000620,0.0628824173942
ACH-000621,0.202793222727
ACH-000622,0.063313393714
ACH-000623,0.0968510563236
ACH-000624,0.181123780228
ACH-000627,0.058536054739
ACH-000630,0.204770662195
ACH-000632,0.125161473126
ACH-000633,0.247973336777
ACH-000637,0.282517154148
ACH-000638,0.193007907916
ACH-000646,0.000226926839691
ACH-000647,0.0968168333139
ACH-000648,0.20264146903799998
ACH-000649,0.203566406275
ACH-000651,0.135562285878
ACH-000652,-0.006351391975500001
