,PPAT (5471)
ACH-000004,-0.8515535094460001
ACH-000007,-0.650913754658
ACH-000009,-0.620816385387
ACH-000011,-0.717857924576
ACH-000012,-0.362367963802
ACH-000013,-0.0636152575668
ACH-000014,-0.638139117176
ACH-000015,-0.473599195503
ACH-000017,-0.733172223822
ACH-000018,-0.45660694281499997
ACH-000019,-0.901144476055
ACH-000021,-0.14386787553
ACH-000022,-0.44757886160899996
ACH-000025,-0.82179337617
ACH-000028,-0.6200321001720001
ACH-000030,-1.20263144052
ACH-000035,-0.325277113299
ACH-000036,-0.21487982857700003
ACH-000037,-0.552681020321
ACH-000039,-0.5645644142849999
ACH-000040,-0.40280783681500004
ACH-000041,-0.64350895642
ACH-000042,-0.654916664344
ACH-000045,-0.552133252325
ACH-000047,-0.6697830859880001
ACH-000052,-0.250336906314
ACH-000053,-0.99077218332
ACH-000054,-0.271575333304
ACH-000055,-0.220331634307
ACH-000060,-0.279475211792
ACH-000067,-0.615357843271
ACH-000070,-1.1019963208399999
ACH-000075,-0.18533354556499998
ACH-000078,-0.398191833817
ACH-000082,-0.29778283169799996
ACH-000085,-0.114370056923
ACH-000086,-0.207422521348
ACH-000087,-0.565335959888
ACH-000092,-0.272906253123
ACH-000095,-0.23820851689800002
ACH-000097,-0.7804006340090001
ACH-000098,-0.40165229114
ACH-000099,-0.5433261937520001
ACH-000108,-1.1262130302200002
ACH-000113,0.0213712815759
ACH-000115,-0.467967301302
ACH-000116,-0.269256993684
ACH-000118,-0.0749495775629
ACH-000120,-0.12172770918400001
ACH-000123,-0.39072631042800005
ACH-000127,-0.8142250463680001
ACH-000128,-0.6443588658120001
ACH-000132,-0.112138851374
ACH-000133,-0.188058132848
ACH-000137,-0.26861576821899996
ACH-000138,-0.6971712474439999
ACH-000142,-0.586237489661
ACH-000143,-0.500546789439
ACH-000146,-1.14484115744
ACH-000148,-0.319201903982
ACH-000150,-0.158262209201
ACH-000152,-0.42591919428099995
ACH-000153,-0.304485212327
ACH-000159,-0.945935759005
ACH-000160,-0.417212720423
ACH-000163,-0.629335070804
ACH-000167,-0.846053048698
ACH-000168,-0.48084165828599995
ACH-000169,-0.163276934249
ACH-000178,-0.7322922067380001
ACH-000182,-0.8504594406129999
ACH-000183,-0.800558313504
ACH-000188,-0.292341969996
ACH-000189,-0.45304160497199997
ACH-000190,-0.0995654120112
ACH-000198,-0.711699219418
ACH-000204,-0.411552850678
ACH-000206,-0.7464544848379999
ACH-000207,-0.5364695568410001
ACH-000211,-0.302183679179
ACH-000215,-0.298053426911
ACH-000221,-0.275387011449
ACH-000222,-1.1199208649099999
ACH-000223,-0.7110105304109999
ACH-000226,-0.899229932566
ACH-000227,-0.28285234208500004
ACH-000228,-0.341867940116
ACH-000231,-0.25577778808
ACH-000232,-0.142864558191
ACH-000233,-0.999861125412
ACH-000234,-0.791108612973
ACH-000235,-0.975688803424
ACH-000237,-0.285654413823
ACH-000238,-0.20699780777899998
ACH-000243,-0.439174790449
ACH-000244,-0.382329717417
ACH-000246,-0.0182215684797
ACH-000248,-0.8719233180239999
ACH-000250,-0.33961240066
ACH-000251,-0.516216467127
ACH-000253,-0.913047176403
ACH-000255,-0.345202061181
ACH-000256,-0.23737742621599997
ACH-000257,-0.640166007915
ACH-000258,-1.39570890956
ACH-000259,-0.48083468347400005
ACH-000260,-0.269641233719
ACH-000261,-0.19316769279100002
ACH-000262,-0.760782788889
ACH-000263,-0.521198316635
ACH-000264,-0.47469129523599995
ACH-000265,-0.438796054994
ACH-000266,-0.6383441808899999
ACH-000272,-1.05361405296
ACH-000273,-0.6506387834790001
ACH-000274,-0.479345570551
ACH-000277,-0.903435208837
ACH-000278,-0.533600887625
ACH-000279,-0.932410086463
ACH-000280,-0.5373462087659999
ACH-000281,-0.724049359698
ACH-000288,-0.169346494434
ACH-000291,-0.105481504841
ACH-000293,-0.37943804410099996
ACH-000294,-1.03385540059
ACH-000295,-0.535902501128
ACH-000296,-0.658546635951
ACH-000302,-0.369018466989
ACH-000304,-0.468048623033
ACH-000307,-1.04926293451
ACH-000308,-0.429698500895
ACH-000310,-0.395739890414
ACH-000311,-0.838426195396
ACH-000312,-0.473205023776
ACH-000315,-0.488298878245
ACH-000316,-0.46576889267099997
ACH-000317,-1.07136546683
ACH-000318,-1.28400293993
ACH-000319,-0.247442774351
ACH-000320,-0.688443119393
ACH-000322,-0.758101645624
ACH-000323,-0.505002170114
ACH-000324,-0.46651402546000004
ACH-000329,-0.30579704927900003
ACH-000330,-0.8914788175700001
ACH-000331,-0.265007387422
ACH-000332,-0.309265993496
ACH-000334,-1.04978512162
ACH-000335,-0.57673662184
ACH-000336,-0.304126172775
ACH-000337,-1.0939529274700002
ACH-000339,-1.01260800362
ACH-000341,-0.54554792628
ACH-000348,-0.384711283265
ACH-000350,-0.320577205574
ACH-000352,-0.985290032602
ACH-000356,-0.8102015419130001
ACH-000361,-0.302902705079
ACH-000362,-0.8820987311149999
ACH-000363,-0.638569875853
ACH-000364,-0.40014395454400004
ACH-000365,-0.7218255821799999
ACH-000366,-0.6874682810320001
ACH-000368,-0.386952929486
ACH-000374,-0.41796392083800005
ACH-000375,-0.708304811506
ACH-000376,-0.175128939604
ACH-000381,-0.920645449014
ACH-000383,-1.5046978056600002
ACH-000387,-1.22655602544
ACH-000389,-0.03957494248230001
ACH-000390,-1.4229600981900001
ACH-000393,-0.489939359936
ACH-000395,-0.785947986321
ACH-000397,-0.481134004474
ACH-000401,-1.21763876517
ACH-000402,-0.912792994162
ACH-000403,-0.407722958439
ACH-000404,-0.8167672159110001
ACH-000406,-1.3356281525799998
ACH-000407,-0.48186979527699997
ACH-000408,-0.7276960879109999
ACH-000410,-0.29363134512899997
ACH-000411,-0.941980390776
ACH-000414,-0.594201289973
ACH-000415,-0.550262203636
ACH-000416,-1.13034849014
ACH-000420,-0.32965911629
ACH-000421,-0.9016389702259999
ACH-000424,-0.585880076865
ACH-000425,-0.6555994128270001
ACH-000426,-0.31768856037300003
ACH-000427,-0.350861116338
ACH-000433,-0.42127075851999995
ACH-000436,-0.68489555065
ACH-000444,-0.414047281341
ACH-000445,-0.408957240652
ACH-000448,-1.06390031905
ACH-000450,-0.259460868721
ACH-000452,-0.568181333518
ACH-000454,-0.9786256509010001
ACH-000458,-0.0289201857583
ACH-000459,-0.9854251275929999
ACH-000460,-0.9352283860330001
ACH-000461,-0.520466537664
ACH-000463,-0.14463166064000002
ACH-000464,-0.48562400718000004
ACH-000466,-0.5452712587349999
ACH-000467,-0.7775846304009999
ACH-000468,-0.664908256861
ACH-000469,-0.16164653352299999
ACH-000470,-0.541366324329
ACH-000471,-0.7144646954100001
ACH-000472,-0.450165511233
ACH-000473,-0.152529871164
ACH-000475,-0.5874831326169999
ACH-000476,-0.421944558566
ACH-000477,-0.785320460017
ACH-000480,-0.31825066283799996
ACH-000481,-0.658183697148
ACH-000483,-0.601486318881
ACH-000484,-0.165259997161
ACH-000485,-0.741752580176
ACH-000486,-0.34835703504500004
ACH-000487,-0.6153916110540001
ACH-000488,0.0691003488698
ACH-000490,-0.195015686536
ACH-000491,-0.5774796575869999
ACH-000495,-0.286896853575
ACH-000496,-0.623943210336
ACH-000499,-0.096475309264
ACH-000500,-0.471668198377
ACH-000502,-1.12681717669
ACH-000503,-0.48926416037500003
ACH-000505,-0.464280020063
ACH-000507,-0.8678332705700001
ACH-000510,-0.653074921365
ACH-000511,-0.26210210144699997
ACH-000512,-0.783692939322
ACH-000516,-0.326594399136
ACH-000517,-0.717234898524
ACH-000518,-0.161016481896
ACH-000520,-0.40913750489
ACH-000521,-0.5996461980009999
ACH-000522,-0.77583502276
ACH-000524,-0.504019388864
ACH-000527,-0.372021442202
ACH-000528,-0.305365400733
ACH-000537,-0.507073538159
ACH-000541,-1.0887966514799998
ACH-000542,-0.7201074026440001
ACH-000544,-0.6041307280789999
ACH-000545,-0.419656500968
ACH-000547,-0.36231758435
ACH-000548,-0.747765829312
ACH-000549,-0.410954084124
ACH-000550,-0.693196553265
ACH-000552,-0.441666574495
ACH-000556,-0.8025078151
ACH-000557,-1.4813888023
ACH-000570,-0.302302463573
ACH-000571,-0.529902325565
ACH-000573,-0.461293353697
ACH-000576,-0.8023665627240001
ACH-000580,-0.323335597345
ACH-000584,-0.375501613294
ACH-000585,-0.421733948552
ACH-000588,-0.7793884058399999
ACH-000589,-0.270912398774
ACH-000591,-0.345697731326
ACH-000593,-0.591653988848
ACH-000600,-0.471796147188
ACH-000601,-0.950205045781
ACH-000604,-0.879230095525
ACH-000605,-0.36044067708599997
ACH-000606,-0.13148007234
ACH-000608,-0.858936725628
ACH-000614,-0.635774152844
ACH-000616,-0.467892878416
ACH-000618,-0.9979980074420001
ACH-000619,-0.870221073958
ACH-000620,-0.47889242586099995
ACH-000621,-0.632460310076
ACH-000622,-0.64836929402
ACH-000623,-0.287990127958
ACH-000624,-1.0351734911200001
ACH-000627,-0.375576353408
ACH-000630,-0.359034208108
ACH-000632,-0.42967956603699997
ACH-000633,-0.146935325037
ACH-000637,-0.328878803597
ACH-000638,-0.9022972981440001
ACH-000646,-0.6136210536
ACH-000647,-0.913908739536
ACH-000648,-1.0834762926100001
ACH-000649,-0.543120031007
ACH-000651,-0.6163310915
ACH-000652,-1.1447862627299998
ACH-000653,-0.650253132112
ACH-000657,-0.339055096276
ACH-000658,-1.1049749251799998
ACH-000661,-0.996859013976
ACH-000662,-0.24533181677299998
ACH-000663,-0.747830363458
ACH-000665,-0.434700565845
ACH-000671,-0.37456717382
ACH-000673,-0.421440869974
ACH-000676,-0.938953212402
ACH-000677,-0.554692185092
ACH-000681,-0.462197047759
ACH-000682,-0.504266262208
ACH-000683,-0.581508463992
ACH-000684,-0.5312502070699999
ACH-000688,-0.18998386031800002
ACH-000693,-0.45429539526999996
ACH-000694,-0.214023474895
ACH-000695,-1.05543117235
ACH-000696,-0.343090620317
ACH-000697,-0.378139963226
ACH-000699,-0.473335634926
ACH-000701,-0.421482150342
ACH-000706,-0.6279484251340001
ACH-000711,-0.921191130201
ACH-000713,-0.7618311078579999
ACH-000714,-0.340168617518
ACH-000718,-0.22211237232500003
ACH-000720,-0.395899232309
ACH-000721,-0.8525411208220001
ACH-000724,-0.383840336019
ACH-000725,-0.9073419580200001
ACH-000732,-0.238727313085
ACH-000734,-0.736288362121
ACH-000735,-0.616437000709
ACH-000736,-0.827825510817
ACH-000738,-0.28250875201
ACH-000746,-0.8696845233399999
ACH-000747,-0.568613843507
ACH-000748,-0.23834006808299998
ACH-000753,-1.25027844067
ACH-000756,-0.245923714305
ACH-000757,-0.41069672835
ACH-000758,-0.638249070809
ACH-000760,-0.722715709732
ACH-000763,-1.16009785876
ACH-000764,-0.978900044777
ACH-000765,-0.635280787167
ACH-000766,-0.580775041415
ACH-000767,-0.682108449295
ACH-000768,-1.01122094158
ACH-000769,-0.6420570255179999
ACH-000770,-0.851922466753
ACH-000771,-0.126449456918
ACH-000773,-0.643467718126
ACH-000776,-0.5484558431350001
ACH-000777,-0.433205474917
ACH-000778,-0.540592136043
ACH-000781,-0.7811908094050001
ACH-000782,-0.423414432219
ACH-000783,-0.12632268444
ACH-000784,-0.310191454631
ACH-000785,-0.91147715704
ACH-000787,-0.299406945459
ACH-000788,-0.37697594017999997
ACH-000791,-0.953318715582
ACH-000792,-0.22002774399099997
ACH-000794,-0.66411035974
ACH-000796,-0.247428115445
ACH-000799,-0.513693549283
ACH-000800,-0.7470724582539999
ACH-000802,-0.240344565517
ACH-000804,-1.09881354121
ACH-000805,-0.29502452341999996
ACH-000809,-0.8897825812369999
ACH-000810,-0.290270602042
ACH-000811,-0.227861025931
ACH-000817,-0.55922738274
ACH-000819,-0.164964632531
ACH-000820,-0.76117553529
ACH-000821,-0.985074585613
ACH-000822,-0.427037783041
ACH-000823,-0.706945314505
ACH-000824,-0.210418905948
ACH-000827,-0.455295749629
ACH-000829,-0.49514533701499996
