,OLFM2 (93145)
ACH-000004,-0.390411804824
ACH-000007,-0.0433661660061
ACH-000009,-0.055852765681
ACH-000011,0.05382352852919999
ACH-000012,-0.242463503513
ACH-000013,-0.217538852001
ACH-000014,-0.220820173041
ACH-000015,-0.104312643812
ACH-000017,0.136312060675
ACH-000018,-0.21338312759599998
ACH-000019,-0.191286605098
ACH-000021,-0.133423519574
ACH-000022,-0.0984378966512
ACH-000025,-0.10555315168299999
ACH-000028,-0.15877453399299998
ACH-000030,-0.0624775803629
ACH-000035,-0.275853284976
ACH-000036,-0.0883647419043
ACH-000037,0.0169172569034
ACH-000039,-0.193965677139
ACH-000040,-0.304195404568
ACH-000041,-0.20965469063
ACH-000042,-0.0430596253752
ACH-000045,-0.0515254208514
ACH-000047,-0.139337998816
ACH-000052,-0.138436048364
ACH-000053,-0.032805943819200004
ACH-000054,-0.10081937994899999
ACH-000055,-0.0182487877261
ACH-000060,-0.09729688698349999
ACH-000067,-0.0648891272558
ACH-000070,-0.29269727781599997
ACH-000075,-0.195090192963
ACH-000078,-0.0304642020555
ACH-000082,-0.126231508709
ACH-000085,0.169284467478
ACH-000086,-0.0968648180933
ACH-000087,0.114073036399
ACH-000092,-0.0731411320908
ACH-000095,0.0018763659121700002
ACH-000097,0.057903294603699994
ACH-000098,-0.0998374647532
ACH-000099,-0.198630611503
ACH-000108,-0.08622031123680002
ACH-000113,-0.083725922969
ACH-000115,-0.173332300336
ACH-000116,-0.357326618235
ACH-000118,-0.0976344736748
ACH-000120,-0.187139056405
ACH-000123,-0.192773293283
ACH-000127,-0.196519531945
ACH-000128,-0.184369403259
ACH-000132,0.0862805714135
ACH-000133,-0.173650052548
ACH-000137,-0.0491845447665
ACH-000138,-0.14836804564300002
ACH-000142,-0.079872743132
ACH-000143,-0.20110861551800002
ACH-000146,-0.20115839372400002
ACH-000148,-0.0185106363816
ACH-000150,-0.22279918071600002
ACH-000152,-0.05584919823
ACH-000153,-0.0600725450963
ACH-000159,-0.0681010984343
ACH-000160,-0.0532437827757
ACH-000163,0.00956272113701
ACH-000167,-0.103840102086
ACH-000168,-0.182438190544
ACH-000169,-0.0784217430378
ACH-000178,-0.10321759427
ACH-000182,-0.057457577529
ACH-000183,-0.210826621661
ACH-000188,-0.270358416126
ACH-000189,-0.18203494884
ACH-000190,-0.0581048028701
ACH-000198,-0.059691593191599994
ACH-000204,-0.0149553180763
ACH-000206,-0.20288006194299998
ACH-000207,-0.122645132522
ACH-000211,-0.159533216217
ACH-000215,-0.0235527408893
ACH-000221,-0.18135380785799998
ACH-000222,-0.232409830562
ACH-000223,-0.025963077255799997
ACH-000226,0.155695291465
ACH-000227,-0.00696238514156
ACH-000228,-0.0775490972728
ACH-000231,-0.121618969157
ACH-000232,-0.0104808771692
ACH-000233,-0.09570307521469999
ACH-000234,0.15217435865499998
ACH-000235,-0.138786526834
ACH-000237,-0.265338744393
ACH-000238,-0.0175610045272
ACH-000243,-0.13393528183
ACH-000244,-0.029693746233900004
ACH-000246,0.006622434171300001
ACH-000248,-0.19764868268199998
ACH-000250,-0.061629036084
ACH-000251,-0.177573645767
ACH-000253,-0.121683899132
ACH-000255,-0.0497880738923
ACH-000256,-0.128152558605
ACH-000257,-0.402155921555
ACH-000258,0.116669231521
ACH-000259,-0.06989095928639999
ACH-000260,-0.057110431650900004
ACH-000261,-0.051621263849
ACH-000262,-0.214912048977
ACH-000263,-0.226524868181
ACH-000264,-0.0539057796564
ACH-000265,-0.0238327279197
