,IFNLR1 (163702)
ACH-000004,-0.13379224409
ACH-000007,-0.32032163630800004
ACH-000009,-0.5603235388050001
ACH-000011,-0.332624760088
ACH-000012,-0.283003247116
ACH-000013,-0.44502674115900004
ACH-000014,-0.495499511356
ACH-000015,-0.315137643831
ACH-000017,-0.59063955899
ACH-000018,-0.496686231534
ACH-000019,-0.33789339720600003
ACH-000021,-0.328082772081
ACH-000022,-0.314426376432
ACH-000025,-0.387539165951
ACH-000028,-0.5553522006080001
ACH-000030,-0.390426772636
ACH-000035,-0.41279892062600004
ACH-000036,-0.39884172166000004
ACH-000037,-0.450403195159
ACH-000039,-0.596762641292
ACH-000040,-0.7083998040870001
ACH-000041,-0.514305070155
ACH-000042,-0.359674883228
ACH-000045,-0.612416482164
ACH-000047,-0.27720453107
ACH-000052,-0.371133721392
ACH-000053,-0.34840696215000005
ACH-000054,-0.142834222183
ACH-000055,-0.556596190299
ACH-000060,-0.521455329639
ACH-000067,-0.444779437497
ACH-000070,-0.330986479837
ACH-000075,-0.6766278340909999
ACH-000078,-0.378465127402
ACH-000082,-0.532346009188
ACH-000085,-0.395638732711
ACH-000086,-0.440710896416
ACH-000087,-0.360371110595
ACH-000092,-0.651958846266
ACH-000095,-0.592857494339
ACH-000097,-0.436033594974
ACH-000098,-0.518120809927
ACH-000099,-0.437378754743
ACH-000108,-0.31635018585999997
ACH-000113,-0.469427719653
ACH-000115,-0.5287432089199999
ACH-000116,-0.467648081429
ACH-000118,-0.351941582697
ACH-000120,-0.468758802712
ACH-000123,-0.321836443964
ACH-000127,-0.378659232666
ACH-000128,-0.547768402822
ACH-000132,-0.382993081206
ACH-000133,-0.5369149898059999
ACH-000137,-0.58777259016
ACH-000138,-0.43885960402900004
ACH-000142,-0.29348763704799996
ACH-000143,-0.632229488493
ACH-000146,-0.455159072659
ACH-000148,-0.461299344954
ACH-000150,-0.49463416151999995
ACH-000152,-0.626429444724
ACH-000153,-0.22601725040399998
ACH-000159,-0.7066730369390001
ACH-000160,-0.35684443478
ACH-000163,-0.495597195284
ACH-000167,-0.334351326789
ACH-000168,-0.692726216811
ACH-000169,-0.37166907509499997
ACH-000178,-0.41040291354599995
