,IDE (3416)
ACH-000004,-0.135420461028
ACH-000007,-0.23764262758299998
ACH-000009,-0.391928296967
ACH-000011,-0.0981239537353
ACH-000012,-0.21577590280499997
ACH-000013,-0.190281563889
ACH-000014,-0.148883356929
ACH-000015,-0.300801357258
ACH-000017,-0.0746835464509
ACH-000018,-0.09105841418430001
ACH-000019,-0.250110629603
ACH-000021,-0.19880912148200003
ACH-000022,-0.013122649516
ACH-000025,-0.477241621575
ACH-000028,-0.260802357546
ACH-000030,-0.325795377156
ACH-000035,-0.0424125359277
ACH-000036,-0.316286352981
ACH-000037,-0.245705227673
ACH-000039,-0.10863594546599999
ACH-000040,-0.256211583499
ACH-000041,0.00420827367429
ACH-000042,-0.169707377814
ACH-000045,-0.20809750948800002
ACH-000047,-0.403146501707
ACH-000052,-0.358794143178
ACH-000053,-0.00217855592029
ACH-000054,-0.165766515838
ACH-000055,-0.333809008098
ACH-000060,-0.44749776119199997
ACH-000067,-0.20425584959100002
ACH-000070,-0.240338310766
ACH-000075,-0.12905496918099998
ACH-000078,-0.0994438653811
ACH-000082,-0.061222333817600005
ACH-000085,-0.320721666768
ACH-000086,-0.295591721119
ACH-000087,-0.281933185806
ACH-000092,-0.20030009995499998
ACH-000095,-0.240815516024
ACH-000097,-0.247601928501
ACH-000098,-0.270972645436
ACH-000099,-0.21096724718600002
ACH-000108,-0.34638493043499996
ACH-000113,-0.23549581741300002
ACH-000115,-0.0338435544424
ACH-000116,-0.271910735603
ACH-000118,-0.29114908606400003
ACH-000120,-0.30465759664500003
ACH-000123,-0.291860790784
ACH-000127,-0.23552564746
ACH-000128,-0.277191794701
ACH-000132,-0.31094577840599996
ACH-000133,-0.198883825818
ACH-000137,-0.06887334904739999
ACH-000138,-0.24830437577
ACH-000142,-0.232906747403
ACH-000143,-0.142017373454
ACH-000146,-0.174045116149
ACH-000148,-0.34378527033600004
ACH-000150,-0.0987278946813
ACH-000152,-0.31277173682799997
ACH-000153,-0.0255388590774
ACH-000159,-0.28303080006299997
ACH-000160,-0.46736709013300004
ACH-000163,-0.161792826423
ACH-000167,-0.323939466871
ACH-000168,-0.11734637527000001
ACH-000169,-0.38555577739
ACH-000178,-0.145429997027
ACH-000182,-0.15582719637599998
ACH-000183,-0.546565685407
ACH-000188,-0.123974834265
ACH-000189,-0.0953640801341
ACH-000190,-0.161136851164
ACH-000198,-0.245701471894
ACH-000204,-0.682110640087
ACH-000206,-0.105156988171
ACH-000207,-0.37981560175499995
ACH-000211,-0.237120801679
ACH-000215,-0.164967750936
ACH-000221,-0.0171114242302
ACH-000222,-0.319459457751
ACH-000223,-0.27937205489
ACH-000226,0.015950558498500002
ACH-000227,-0.25078920676800004
ACH-000228,-0.314418680705
ACH-000231,-0.284403594478
ACH-000232,-0.153855398019
ACH-000233,-0.16435621909700002
ACH-000234,-0.26447767241000003
ACH-000235,-0.225942361588
ACH-000237,-0.0885572163054
ACH-000238,0.050860572035300006
ACH-000243,-0.472222631906
ACH-000244,-0.134190858656
ACH-000246,0.0222969747342
ACH-000248,-0.248817968241
ACH-000250,-0.21760615709000003
ACH-000251,-0.386826285912
ACH-000253,-0.0402856089151
ACH-000255,-0.060528884436
ACH-000256,-0.31525042947
ACH-000257,-0.39999436841799996
ACH-000258,-0.381341809461
ACH-000259,-0.296723296122
ACH-000260,-0.188869250031
ACH-000261,-0.164880169213
ACH-000262,-0.35455188119099995
ACH-000263,-0.206634027398
ACH-000264,-0.34709630652900003
ACH-000265,-0.17945331264199998
ACH-000266,-0.30762659245900004
ACH-000272,-0.171329080097
ACH-000273,-0.131612068913
ACH-000274,-0.138466047647
ACH-000277,-0.20531630856199998
ACH-000278,-0.226032019808
ACH-000279,-0.15028559254899998
ACH-000280,0.059121828252600005
ACH-000281,-0.211941132005
ACH-000288,-0.289568840577
ACH-000291,-0.13038570384
ACH-000293,-0.283169657728
ACH-000294,-0.16027710637599998
ACH-000295,-0.25279473911899997
ACH-000296,-0.188532799625
ACH-000302,-0.190014681665
ACH-000304,-0.134606775953
ACH-000307,-0.22455522513
ACH-000308,-0.19992706307100003
ACH-000310,-0.210241245846
ACH-000311,-0.238952884025
ACH-000312,-0.151204390882
ACH-000315,-0.129451581081
ACH-000316,-0.22972886684
ACH-000317,-0.38052046576
ACH-000318,-0.186700085958
ACH-000319,-0.20250610400199998
ACH-000320,-0.36814722190399995
ACH-000322,-0.204729873111
ACH-000323,-0.45723400075099996
ACH-000324,-0.31463021643000005
ACH-000329,-0.175468611848
ACH-000330,-0.248757136502
ACH-000331,-0.227434271327
ACH-000332,-0.21786062878899998
ACH-000334,-0.18176556762899998
ACH-000335,-0.301658292933
ACH-000336,-0.23496922336399997
ACH-000337,-0.351636120964
ACH-000339,-0.0949653186146
ACH-000341,-0.316745372934
ACH-000348,-0.195727587925
ACH-000350,-0.0985726165989
ACH-000352,-0.0934350563928
ACH-000356,-0.371103361744
ACH-000361,-0.378824820854
ACH-000362,-0.211363729464
ACH-000363,-0.344782034141
ACH-000364,-0.100369233779
ACH-000365,-0.228924546822
ACH-000366,-0.17897745909499999
ACH-000368,-0.23574504898899998
ACH-000374,-0.252103110347
ACH-000375,-0.140644891712
ACH-000376,-0.259947927257
ACH-000381,-0.223369977014
ACH-000383,-0.163236697252
ACH-000387,-0.318760449572
ACH-000389,-0.249548979142
ACH-000390,-0.0840418932659
ACH-000393,-0.19398772215799998
ACH-000395,-0.22644878898600002
ACH-000397,-0.29250316403
ACH-000401,-0.209343049687
ACH-000402,-0.11711817738500001
ACH-000403,-0.25604012285300004
ACH-000404,-0.029672544499300003
ACH-000406,-0.221067444285
ACH-000407,-0.30347830748000004
ACH-000408,-0.26933528351999997
ACH-000410,-0.17621066423
ACH-000411,-0.20541343888500002
ACH-000414,-0.267876140088
ACH-000415,-0.289805366414
ACH-000416,-0.135189723267
ACH-000420,-0.234192152149
ACH-000421,-0.22984649329300003
ACH-000424,-0.24414362238499998
ACH-000425,-0.257212476978
ACH-000426,-0.03268430779
ACH-000427,-0.20227871120000002
ACH-000433,-0.277589670227
ACH-000436,-0.454692679865
ACH-000444,-0.14240484977700002
ACH-000445,-0.348845887204
ACH-000448,-0.07160206550810001
ACH-000450,-0.24749214996100002
ACH-000452,-0.244248574064
ACH-000454,-0.146667034848
ACH-000458,-0.10913851249399999
ACH-000459,-0.255027718034
ACH-000460,-0.341060358621
ACH-000461,-0.00238110550335
ACH-000463,-0.100740439649
ACH-000464,-0.28853460541
ACH-000466,-0.147953179703
ACH-000467,-0.2868299906
ACH-000468,-0.135091840778
ACH-000469,-0.21702455399099999
ACH-000470,-0.39006184342
ACH-000471,-0.20551399416700003
ACH-000472,-0.216157528089
ACH-000473,-0.135605500125
ACH-000475,-0.119227544114
ACH-000476,-0.27237860355099996
ACH-000477,-0.00892868568316
ACH-000480,-0.172800209066
ACH-000481,-0.0704400727325
ACH-000483,-0.116465238903
ACH-000484,-0.109956273807
ACH-000485,-0.0601398585241
ACH-000486,-0.245009337482
ACH-000487,-0.198358465908
ACH-000488,-0.18466977637200002
ACH-000490,-0.315209654736
ACH-000491,-0.136326998038
ACH-000495,-0.274469952434
ACH-000496,-0.43703930750299996
ACH-000499,-0.128465354157
ACH-000500,-0.31629965907900004
ACH-000502,-0.19875762133400002
ACH-000503,-0.08032449114489999
ACH-000505,-0.205564236972
ACH-000507,-0.17222038761599998
ACH-000510,-0.27124650527
ACH-000511,-0.105042923379
ACH-000512,-0.23664506374299998
ACH-000516,-0.167955478651
ACH-000517,-0.199382349106
ACH-000518,-0.33776856797399996
ACH-000520,-0.16136429107
ACH-000521,-0.491064390497
ACH-000522,-0.165776159411
ACH-000524,-0.324339885446
ACH-000527,-0.309855714459
ACH-000528,-0.160801412408
ACH-000537,-0.188990114428
ACH-000541,-0.561380885699
ACH-000542,-0.168735470124
ACH-000544,-0.310690706135
ACH-000545,-0.221671168226
ACH-000547,-0.17986133436
ACH-000548,-0.293709615039
ACH-000549,-0.105134028851
ACH-000550,-0.277478736337
ACH-000552,-0.213581081723
ACH-000556,-0.22950741383099998
ACH-000557,-0.108439298032
ACH-000570,-0.388290149158
ACH-000571,-0.230816533051
ACH-000573,-0.306275712525
ACH-000576,-0.484394148458
ACH-000580,-0.09862597962929999
ACH-000584,-0.264750768162
ACH-000585,-0.325557325553
ACH-000588,-0.331297596007
ACH-000589,-0.100818349003
ACH-000591,-0.39510488969400004
ACH-000593,-0.32431300049600004
ACH-000600,-0.37549639119499995
ACH-000601,-0.17604353018
ACH-000604,0.00587227232651
ACH-000605,-0.201549459668
ACH-000606,-0.351886332219
ACH-000608,-0.256540459597
ACH-000614,-0.0684145700075
ACH-000616,-0.455632382309
ACH-000618,-0.33573338775399997
ACH-000619,-0.297420701287
ACH-000620,-0.196886451578
ACH-000621,-0.151821022821
ACH-000622,-0.185429782114
ACH-000623,-0.39965016668799996
ACH-000624,-0.09506561111030001
ACH-000627,-0.0894660109331
ACH-000630,-0.17993652833
ACH-000632,-0.128765700701
ACH-000633,-0.061324831008299996
ACH-000637,-0.0488620997142
ACH-000638,-0.392194658973
