,NFU1 (27247)
ACH-000004,0.116231631097
ACH-000007,-0.09512530232730002
ACH-000009,-0.195809794571
ACH-000011,0.0489263555237
ACH-000012,-0.353293327561
ACH-000013,-0.347820183208
ACH-000014,0.039866665179699994
ACH-000015,-0.07695471256030001
ACH-000017,-0.077869862819
ACH-000018,-0.00525505116656
ACH-000019,-0.662331620244
ACH-000021,-0.110900513459
ACH-000022,-0.0913713475345
ACH-000025,-0.350009082142
ACH-000028,-0.439946216016
ACH-000030,-0.07187801893519999
ACH-000035,-0.150977593303
ACH-000036,0.0661913354682
ACH-000037,-0.272598122293
ACH-000039,-0.431312537302
ACH-000040,-0.027262322657499997
ACH-000041,-0.255372241542
ACH-000042,0.0422741800229
ACH-000045,-0.0866503925746
ACH-000047,-0.167031693265
ACH-000052,-0.11328095804600001
ACH-000053,-0.175706511395
ACH-000054,-0.211715629863
ACH-000055,-0.33282481494800004
ACH-000060,0.04618653200950001
ACH-000067,-0.117923135139
ACH-000070,-0.274251679903
ACH-000075,-0.191733779326
ACH-000078,0.0360740339184
ACH-000082,-0.0577830289758
ACH-000085,-0.08464914021639999
ACH-000086,-0.0921535632018
ACH-000087,-0.0995123403936
ACH-000092,-0.31632864767499996
ACH-000095,-0.152567453997
ACH-000097,-0.033368770060799996
ACH-000098,0.035983377007
ACH-000099,-0.146010578346
ACH-000108,0.0150281704483
ACH-000113,-0.117305817414
ACH-000115,-0.14742728843900002
ACH-000116,-0.09427054459699999
ACH-000118,-0.48433424091399996
ACH-000120,-0.272961679725
ACH-000123,-0.017099448833899997
ACH-000127,-0.109973551931
ACH-000128,-0.31124371723600003
ACH-000132,0.0009306919785149999
ACH-000133,-0.13410637414999999
ACH-000137,-0.0474806791677
ACH-000138,-0.147271855957
ACH-000142,-0.24278718751999998
ACH-000143,-0.061521847263
ACH-000146,-0.21870169808899997
ACH-000148,-0.100418418772
ACH-000150,-0.0821747895065
ACH-000152,-0.013016170823899999
ACH-000153,0.0457600544603
ACH-000159,-0.024441282534
ACH-000160,-0.149839112145
ACH-000163,0.0554535515758
ACH-000167,0.05734308646380001
ACH-000168,0.0686248239851
ACH-000169,-0.108263371698
ACH-000178,-0.057619912820899996
ACH-000182,-0.261214751954
ACH-000183,0.0385337110904
