,CFDP1 (10428)
ACH-000004,-0.8703603025419999
ACH-000007,-0.9565226204200001
ACH-000009,-0.47380212420100004
ACH-000011,-0.9191990812279999
ACH-000012,-0.751094401233
ACH-000013,-0.964773547257
ACH-000014,-0.837179610739
ACH-000015,-0.47600519106000005
ACH-000017,-0.888205737582
ACH-000018,-0.627530891599
ACH-000019,-0.39493939016900004
ACH-000021,-0.9631366842929999
ACH-000022,-0.6259121721800001
ACH-000025,-0.801934646215
ACH-000028,-0.382379469725
ACH-000030,-0.610846714001
ACH-000035,-0.6080083599639999
ACH-000036,-0.656564098764
ACH-000037,-0.658314574506
ACH-000039,-0.724194881813
ACH-000040,-0.837942510282
ACH-000041,-0.536801406781
ACH-000042,-0.678163316504
ACH-000045,-0.6548280112389999
ACH-000047,-0.80680803532
ACH-000052,-0.8043009089390001
ACH-000053,-0.825471176867
ACH-000054,-0.6374744006549999
ACH-000055,-0.770883460458
ACH-000060,-0.623490427649
ACH-000067,-0.797428431715
ACH-000070,-0.8241013832690001
ACH-000075,-0.724785571565
ACH-000078,-0.668727906881
ACH-000082,-0.600458538651
ACH-000085,-0.626084083312
ACH-000086,-0.8442325545839999
ACH-000087,-0.9115816382780001
ACH-000092,-0.755566186082
ACH-000095,-0.703220072102
ACH-000097,-0.703440850211
ACH-000098,-0.9298195679260001
ACH-000099,-0.555448851554
ACH-000108,-0.7370300164470001
ACH-000113,-0.7934554795469999
ACH-000115,-1.6186382729799997
ACH-000116,-0.877911209966
ACH-000118,-0.764037152309
ACH-000120,-0.708038324059
ACH-000123,-0.782482282845
ACH-000127,-0.506837519881
ACH-000128,-0.604265113112
ACH-000132,-1.0017651626000001
ACH-000133,-0.90034749604
ACH-000137,-0.7493959127300001
ACH-000138,-0.561126797961
ACH-000142,-0.9910118218709999
ACH-000143,-0.85476452982
ACH-000146,-0.918483948468
ACH-000148,-0.913770782928
ACH-000150,-0.64500517959
ACH-000152,-0.602212014878
ACH-000153,-0.6502376355899999
ACH-000159,-0.6906184557709999
ACH-000160,-0.606631089897
ACH-000163,-0.708787450461
ACH-000167,-0.791454448927
ACH-000168,-0.48283363170599997
ACH-000169,-0.641251080714
ACH-000178,-0.665765266065
ACH-000182,-0.5790698296869999
ACH-000183,-0.569049982121
ACH-000188,-0.737502218174
ACH-000189,-0.525336108125
ACH-000190,-0.957917689978
ACH-000198,-0.735204189927
ACH-000204,-0.6697986957590001
ACH-000206,-0.7548816676540001
ACH-000207,-0.45902637933799995
ACH-000211,-0.861005564729
ACH-000215,-0.76267722573
ACH-000221,-0.650301659023
ACH-000222,-0.7426175766959999
ACH-000223,-0.505131918418
ACH-000226,-0.968959379259
ACH-000227,-0.196819413115
ACH-000228,-0.65743815445
ACH-000231,-0.946727654996
ACH-000232,-0.768275096328
ACH-000233,-0.937539426488
ACH-000234,-0.449365285853
ACH-000235,-0.657744064022
ACH-000237,-1.0550879087799998
ACH-000238,-0.672581577326
ACH-000243,-0.6191877862080001
ACH-000244,-0.846416385336
ACH-000246,-0.590284020855
ACH-000248,-0.978932095914
ACH-000250,-0.614806979583
ACH-000251,-0.700225554489
ACH-000253,-0.795445794103
ACH-000255,-0.610110677997
ACH-000256,-0.7733084048190001
ACH-000257,-0.927248919403
ACH-000258,-0.842891135154
ACH-000259,-0.550089817318
ACH-000260,-0.8410819610089999
ACH-000261,-0.534231630665
ACH-000262,-1.0096551541399998
ACH-000263,-0.38504200406800004
ACH-000264,-0.664629906195
ACH-000265,-0.5853707655789999
ACH-000266,-1.01755147638
ACH-000272,-0.5249713748120001
ACH-000273,-0.681992171136
ACH-000274,-0.896233510108
ACH-000277,-0.867328740616
ACH-000278,-1.24557753506
