,TFAP2D (83741)
ACH-000004,-0.323504449568
ACH-000007,-0.411980993495
ACH-000009,-0.123562816471
ACH-000011,-0.418128149584
ACH-000012,-0.177841484962
ACH-000013,-0.09573568687339999
ACH-000014,-0.0533158651375
ACH-000015,-0.29030390085700003
ACH-000017,-0.538615280373
ACH-000018,-0.11028349508199999
ACH-000019,-0.052497582319300004
ACH-000021,-0.20021103391199999
ACH-000022,-0.172167972443
ACH-000025,-0.275208907796
ACH-000028,-0.286840296296
ACH-000030,-0.262602522269
ACH-000035,-0.24576136260099998
ACH-000036,-0.160401182008
ACH-000037,-0.24190121077500001
ACH-000039,-0.261765272901
ACH-000040,-0.17267768612599999
ACH-000041,-0.367455340835
ACH-000042,-0.326918744516
ACH-000045,-0.213128765086
ACH-000047,-0.241661790306
ACH-000052,-0.0424778044886
ACH-000053,-0.11798310332900001
ACH-000054,-0.38477664988399995
ACH-000055,-0.5592354685350001
ACH-000060,-0.461738988806
ACH-000067,-0.347330636382
ACH-000070,-0.261172099125
ACH-000075,-0.308405030462
ACH-000078,-0.15027605857100002
ACH-000082,-0.324592974864
ACH-000085,-0.389382636618
ACH-000086,-0.167570054792
ACH-000087,-0.300167512872
ACH-000092,-0.146367882756
ACH-000095,-0.1447648209
ACH-000097,-0.31195433239
ACH-000098,-0.360726476983
ACH-000099,-0.186096231936
ACH-000108,-0.352678688288
ACH-000113,-0.186007005161
ACH-000115,-0.05956827663869999
ACH-000116,-0.25111798287799997
ACH-000118,-0.232922178224
ACH-000120,-0.24441678448399998
ACH-000123,-0.229265479621
ACH-000127,-0.328855834454
ACH-000128,-0.211521012313
ACH-000132,-0.354683064475
ACH-000133,-0.250504846589
ACH-000137,-0.263816246778
ACH-000138,-0.105857904867
ACH-000142,-0.12895584885
ACH-000143,-0.0610216593999
ACH-000146,-0.08621718896649999
ACH-000148,-0.202601617276
ACH-000150,-0.20348066888799998
ACH-000152,-0.0263126496121
ACH-000153,-0.19166627656399998
ACH-000159,-0.27169028862399996
ACH-000160,-0.323245188926
ACH-000163,-0.170627357086
ACH-000167,-0.428161214317
ACH-000168,-0.413958236694
ACH-000169,-0.320843608422
ACH-000178,-0.141463132242
ACH-000182,-0.398922236294
ACH-000183,-0.32647982213300003
ACH-000188,-0.117716630734
ACH-000189,-0.287151411871
ACH-000190,-0.48874148206999996
ACH-000198,-0.19976199189399999
ACH-000204,-0.195957731416
ACH-000206,-0.173749909766
ACH-000207,-0.360375450789
ACH-000211,-0.199668123241
ACH-000215,-0.19610734322299997
ACH-000221,-0.00131138119355
ACH-000222,-0.29278075356
ACH-000223,-0.30046105486200003
ACH-000226,-0.17186364860199999
ACH-000227,-0.412008359794
ACH-000228,-0.503278922616
ACH-000231,-0.18512726465399998
ACH-000232,-0.31665012014800004
ACH-000233,-0.28804331192899996
ACH-000234,-0.245563015295
ACH-000235,-0.28822922033000004
ACH-000237,-0.107151107338
ACH-000238,-0.16312263762499998
ACH-000243,-0.262421400533
ACH-000244,-0.17066711678
ACH-000246,-0.261110366941
ACH-000248,-0.289082586398
ACH-000250,-0.287248472981
ACH-000251,0.0727792261371
ACH-000253,-0.301129984799
ACH-000255,-0.166457258877
ACH-000256,-0.043942852429099996
ACH-000257,-0.18177858828
ACH-000258,-0.14436383817600001
ACH-000259,-0.231136275768
ACH-000260,-0.051242923918000005
ACH-000261,-0.373954455287
ACH-000262,-0.08742947639389999
ACH-000263,-0.26045965932500004
ACH-000264,-0.33788756044699997
ACH-000265,-0.41027831034900003
ACH-000266,-0.24858727419399998
ACH-000272,-0.29958705947500003
ACH-000273,-0.268723547412
ACH-000274,-0.248467401199
ACH-000277,-0.305195428259
ACH-000278,-0.0627829213969
ACH-000279,-0.320897935113
ACH-000280,-0.215660146114
ACH-000281,-0.363878026894
ACH-000288,-0.201725430587
ACH-000291,-0.24892920215
ACH-000293,-0.19121250028700001
ACH-000294,-0.21364028349300002
ACH-000295,-0.572357014925
ACH-000296,-0.134281764888
ACH-000302,-0.147837638648
ACH-000304,0.0971088423844
ACH-000307,-0.290981788569
ACH-000308,-0.20383038713100002
ACH-000310,-0.31938295754900003
ACH-000311,-0.19113235442200002
ACH-000312,-0.13782930767100002
ACH-000315,-0.32577514012
ACH-000316,-0.29482664683800003
ACH-000317,-0.26018856498000004
ACH-000318,-0.0501866915731
ACH-000319,-0.256986166912
ACH-000320,-0.40317469153700003
ACH-000322,-0.48629343279200005
ACH-000323,-0.07665381619030001
ACH-000324,-0.282211032034
ACH-000329,-0.18767771583299997
ACH-000330,-0.18405358763500002
ACH-000331,-0.26072039046100004
ACH-000332,-0.335976571956
ACH-000334,-0.08647464055910001
ACH-000335,-0.190873961532
ACH-000336,-0.191071376892
ACH-000337,-0.235508197033
ACH-000339,-0.321691472644
ACH-000341,-0.42983693003
ACH-000348,-0.19727383217099997
ACH-000350,-0.138885525481
ACH-000352,-0.345558622458
ACH-000356,-0.22947800934300003
ACH-000361,-0.323509302627
ACH-000362,-0.339968125471
ACH-000363,-0.278416155572
ACH-000364,-0.41907385636100003
ACH-000365,-0.24856459597199998
ACH-000366,-0.195165447239
ACH-000368,-0.35813409047300004
ACH-000374,-0.176495892548
ACH-000375,-0.13176751523
ACH-000376,-0.25368828003000005
ACH-000381,-0.188687888612
ACH-000383,-0.20541958620700002
ACH-000387,-0.159976771481
ACH-000389,-0.23203429366999997
ACH-000390,-0.0452619459261
ACH-000393,-0.278862244863
ACH-000395,-0.15712443326
ACH-000397,-0.142752147995
ACH-000401,-0.0152622404688
ACH-000402,-0.176244394527
ACH-000403,-0.172037790683
ACH-000404,-0.121800385187
ACH-000406,-0.174288218866
ACH-000407,-0.174409885823
ACH-000408,-0.209999359547
ACH-000410,-0.34719655668899996
ACH-000411,-0.20608163594999998
ACH-000414,-0.224208074476
ACH-000415,-0.239261923347
ACH-000416,-0.26414921369000005
ACH-000420,-0.203326536725
ACH-000421,-0.197798263958
ACH-000424,-0.254969471915
ACH-000425,-0.231656406406
ACH-000426,0.16836063804200002
ACH-000427,-0.29128930839
ACH-000433,-0.15562605139900001
ACH-000436,-0.0928981024913
ACH-000444,-0.34763633709299996
ACH-000445,-0.151635330792
ACH-000448,-0.18738810910999998
ACH-000450,-0.36401998171300004
ACH-000452,-0.250406190918
ACH-000454,-0.288996839184
ACH-000458,-0.011891080374000001
ACH-000459,0.266376443611
ACH-000460,-0.18394605967099997
ACH-000461,-0.22855330863099999
ACH-000463,-0.20744328780000001
ACH-000464,-0.310191712858
ACH-000466,-0.35482792755900006
ACH-000467,-0.331928384116
ACH-000468,-0.32729534404399996
ACH-000469,-0.339217638983
ACH-000470,-0.381633717011
ACH-000471,-0.252523148725
ACH-000472,-0.18769373267900002
ACH-000473,-0.157809933855
ACH-000475,-0.13043471703
ACH-000476,-0.22887427484
ACH-000477,-0.200559519067
ACH-000480,-0.20068837456
ACH-000481,-0.184477069355
ACH-000483,-0.41364089285300004
ACH-000484,-0.252199261899
ACH-000485,-0.24339751918900002
ACH-000486,-0.34512189712499997
ACH-000487,-0.10423396810699999
ACH-000488,-0.18368993812800002
ACH-000490,-0.17400254807
ACH-000491,-0.425852329
ACH-000495,-0.298160538746
ACH-000496,-0.32163508276999997
ACH-000499,-0.412921073519
ACH-000500,-0.7123442674680001
ACH-000502,-0.340098024245
ACH-000503,-0.143085223752
ACH-000505,-0.17906779445700002
ACH-000507,-0.296471246012
ACH-000510,-0.22081787973
ACH-000511,-0.13636895736500002
ACH-000512,-0.36492804614600005
ACH-000516,-0.253831195277
ACH-000517,-0.17067592247299998
ACH-000518,-0.307648364943
ACH-000520,-0.441509605386
ACH-000521,-0.322433398944
ACH-000522,-0.203828118549
ACH-000524,-0.277695850501
ACH-000527,-0.138762961806
ACH-000528,-0.213009730605
ACH-000537,-0.194275116144
ACH-000541,-0.329922187144
ACH-000542,-0.309884453089
ACH-000544,-0.24852308439800003
ACH-000545,-0.354672992753
ACH-000547,-0.103880979892
ACH-000548,-0.301600170401
ACH-000549,-0.272902162404
ACH-000550,-0.343807427963
ACH-000552,-0.238507858455
ACH-000556,-0.216159800081
ACH-000557,-0.06297062624750001
ACH-000570,0.07472329622660001
ACH-000571,-0.10883845319499999
ACH-000573,-0.201763022659
ACH-000576,-0.160606160222
ACH-000580,-0.157106639685
ACH-000584,-0.290464433822
ACH-000585,-0.196870178944
ACH-000588,-0.29433270901
ACH-000589,-0.345673221347
ACH-000591,-0.0916894489371
ACH-000593,-0.0923914242836
ACH-000600,-0.261678225326
ACH-000601,-0.146611271962
ACH-000604,-0.282840843169
ACH-000605,-0.25333481044399997
ACH-000606,-0.21708770112
ACH-000608,-0.0682677611955
ACH-000614,-0.295879815333
ACH-000616,-0.349083400001
ACH-000618,-0.22276413354400001
ACH-000619,-0.16503596982000002
ACH-000620,-0.11930780279999999
ACH-000621,-0.284180496038
ACH-000622,-0.13927052876499998
ACH-000623,-0.307533644454
ACH-000624,-0.215205156738
ACH-000627,-0.141322779715
ACH-000630,-0.37929048504
ACH-000632,0.036848712518
ACH-000633,-0.209601929895
ACH-000637,-0.44917518986199995
ACH-000638,-0.437703670265
ACH-000646,-0.317668373105
ACH-000647,-0.38009481427599995
ACH-000648,-0.107683172793
ACH-000649,-0.227012403067
ACH-000651,-0.2213014338
ACH-000652,-0.162477889651
ACH-000653,-0.284041038663
ACH-000657,-0.283828412967
ACH-000658,-0.155930314042
ACH-000661,-0.21052418394000003
ACH-000662,-0.387168451039
ACH-000663,-0.0825845307826
ACH-000665,-0.384581636639
ACH-000671,-0.152861266803
ACH-000673,-0.199036419051
ACH-000676,-0.36461587104599996
ACH-000677,-0.37866544410400005
ACH-000681,-0.19053534180599999
ACH-000682,-0.23538704746
ACH-000683,-0.39700394865599997
ACH-000684,-0.195837370487
ACH-000688,-0.47743795587300003
ACH-000693,-0.324230475359
ACH-000694,-0.283255357348
ACH-000695,-0.38589536603299995
ACH-000696,-0.298937512316
ACH-000697,-0.17234384831799998
ACH-000699,-0.216006746311
ACH-000701,-0.227231366451
ACH-000706,-0.157959013324
ACH-000711,-0.24694816384799997
ACH-000713,-0.3163867797
ACH-000714,0.0335083875898
ACH-000718,-0.342036590272
ACH-000720,-0.130628414937
ACH-000721,-0.218362224344
ACH-000724,-0.262875239937
ACH-000725,-0.43758415582599997
ACH-000732,-0.12286419783199999
ACH-000734,-0.365581883536
ACH-000735,-0.292187100378
ACH-000736,-0.175780103477
ACH-000738,-0.20671781274999998
ACH-000746,-0.37799724199900003
ACH-000747,-0.156345657237
ACH-000748,-0.205227408539
ACH-000753,-0.32630612655900004
ACH-000756,-0.247168537371
ACH-000757,-0.033346923458
ACH-000758,-0.0594698823323
ACH-000760,-0.19594207207800002
ACH-000763,-0.0997187850319
ACH-000764,-0.231007410397
ACH-000765,-0.154714132655
ACH-000766,-0.472964214163
ACH-000767,-0.28435054871300003
ACH-000768,-0.340793598256
ACH-000769,-0.32123783597800004
ACH-000770,-0.272396402694
ACH-000771,-0.341375405536
ACH-000773,-0.105029282172
ACH-000776,-0.25371516873399996
ACH-000777,-0.190531765703
ACH-000778,-0.110240790448
ACH-000781,-0.205243447675
ACH-000782,-0.166457901887
ACH-000783,-0.203098109513
ACH-000784,-0.18678692373
ACH-000785,-0.20024888931899998
ACH-000787,-0.118845677466
ACH-000788,-0.180398170237
ACH-000791,-0.346727248029
ACH-000792,-0.20860328792100002
ACH-000794,-0.14809323968000002
ACH-000796,-0.168849555132
ACH-000799,-0.249958678737
ACH-000800,-0.316549505146
ACH-000802,-0.275244788984
ACH-000804,-0.029186981900599998
ACH-000805,-0.00698201950894
ACH-000809,-0.23505364668
ACH-000810,-0.436875501108
ACH-000811,-0.277985501482
ACH-000817,-0.026401523724199998
ACH-000819,-0.283472350107
ACH-000820,-0.0905309249437
ACH-000821,-0.0221185597646
ACH-000822,-0.264414813268
ACH-000823,-0.254198044152
ACH-000824,-0.6135499839890001
ACH-000827,-0.15033410558
ACH-000829,-0.198824090901
ACH-000831,-0.520222238177
ACH-000832,-0.259217592324
ACH-000833,-0.18511375927499998
ACH-000834,-0.317513836901
ACH-000835,-0.14360308628
ACH-000836,-0.251909464767
ACH-000837,-0.286763046285
ACH-000838,-0.303070919248
ACH-000839,-0.187824210955
ACH-000840,-0.07663161500110001
ACH-000841,-0.148988901831
ACH-000843,-0.148799630821
ACH-000846,-0.07367531268389999
ACH-000847,-0.706759975529
ACH-000848,-0.405835225924
ACH-000849,-0.0941997812865
ACH-000851,-0.278301332974
ACH-000855,-0.40444028306100005
ACH-000856,-0.2312576505
ACH-000858,-0.00845854592351
ACH-000859,-0.437488176906
ACH-000861,-0.151513215638
ACH-000862,-0.0317065710786
ACH-000865,-0.253947703305
ACH-000866,-0.13293173620999998
ACH-000867,-0.219413061853
ACH-000869,-0.596043483553
ACH-000872,-0.115132174752
ACH-000873,-0.291954465647
ACH-000876,-0.382008260608
ACH-000878,-0.0838004351463
ACH-000880,-0.18961490579
ACH-000881,-0.132094483695
ACH-000882,-0.280312341786
ACH-000884,-0.14385250432
ACH-000885,-0.265016069939
ACH-000887,-0.100500367455
ACH-000888,-0.214920067114
ACH-000889,-0.28170840471700004
ACH-000890,-0.285060070474
