,SMARCC1 (6599)
ACH-000004,-0.544818552274
ACH-000007,-0.5162494708209999
ACH-000009,-0.0892988758576
ACH-000011,-0.17845787557300002
ACH-000012,-0.45607426483999997
ACH-000013,-0.36127047133
ACH-000014,-0.06810044720290001
ACH-000015,-0.21282153467999998
ACH-000017,-0.42196352418399996
ACH-000018,-0.132790891251
ACH-000019,-0.46990776327100003
ACH-000021,-0.449132053978
ACH-000022,-0.149718558436
ACH-000025,-0.651563309055
ACH-000028,-0.417957743148
ACH-000030,-0.613256525192
ACH-000035,-0.340499169859
ACH-000036,-0.323318440004
ACH-000037,-0.37820868778300004
ACH-000039,-0.47186907409100004
ACH-000040,-0.380694047873
ACH-000041,0.118680740401
ACH-000042,-0.41360611306199996
ACH-000045,-0.589643132987
ACH-000047,-0.113274158725
ACH-000052,-0.386109415859
ACH-000053,-0.475821503307
ACH-000054,-0.512108232538
ACH-000055,-0.783848984288
ACH-000060,-0.384433255517
ACH-000067,-0.650481831461
ACH-000070,-0.7619426000120001
ACH-000075,-0.11662660728700001
ACH-000078,-0.305667055689
ACH-000082,-0.359953621944
ACH-000085,-0.258653736052
ACH-000086,-0.367983427843
ACH-000087,-0.282898592753
ACH-000092,-0.42202915845899996
ACH-000095,-0.512196387529
ACH-000097,-0.20760929905499997
ACH-000098,-0.41799499038099996
ACH-000099,0.0326135858625
ACH-000108,-0.293652221886
ACH-000113,-0.555098554811
ACH-000115,-0.500901504751
ACH-000116,-0.160301064577
ACH-000118,-0.252111607029
ACH-000120,-0.482215182219
ACH-000123,-0.177852422172
ACH-000127,-0.36109270591700005
ACH-000128,-0.453520601147
ACH-000132,-0.49770980663500003
ACH-000133,-0.43180341391599997
ACH-000137,-0.351215370982
ACH-000138,-0.27334347547800003
ACH-000142,-0.208006939192
ACH-000143,-0.4561431509100001
ACH-000146,-0.504711555285
ACH-000148,-0.011749937312200002
ACH-000150,-0.65213722611
ACH-000152,-0.0818165344558
ACH-000153,-0.243894452035
ACH-000159,-0.331799703547
