,AHSP (51327)
ACH-000004,-0.109184150629
ACH-000007,-0.210050550084
ACH-000009,-0.0238462892698
ACH-000011,0.0519031942559
ACH-000012,-0.05455315215
ACH-000013,-0.14119537631100001
ACH-000014,0.126934375976
ACH-000015,-0.163666750129
ACH-000017,0.018075488855200002
ACH-000018,0.0257944250942
ACH-000019,-0.129999599464
ACH-000021,-0.115052327777
ACH-000022,-0.030228405773900003
ACH-000025,-0.130514619935
ACH-000028,-0.0329002772264
ACH-000030,0.114358914137
ACH-000035,-0.00311296432902
ACH-000036,-0.125379946242
ACH-000037,-0.09270474885050001
ACH-000039,0.0105150681589
ACH-000040,-0.06960155328689999
ACH-000041,-0.0875397106753
ACH-000042,0.07775783763510001
ACH-000045,-0.0847189485186
ACH-000047,-0.17143665953200002
ACH-000052,-0.0282158899716
ACH-000053,-0.032671698762
ACH-000054,-0.0964534451152
ACH-000055,-0.130157084004
ACH-000060,0.239038712566
ACH-000067,-0.127498267463
ACH-000070,0.0366472344331
ACH-000075,-0.23497601968600001
ACH-000078,0.0165649514177
ACH-000082,-0.0812979734634
ACH-000085,-0.15099054562
ACH-000086,0.180442251117
ACH-000087,-0.052833349129099996
ACH-000092,-0.130214629477
ACH-000095,-0.0169757874375
ACH-000097,-0.102989705088
ACH-000098,-0.19248602362199999
ACH-000099,0.0112004570845
ACH-000108,0.109369110257
ACH-000113,0.06618124105430001
ACH-000115,-0.0162027052133
ACH-000116,-0.08329695427060001
ACH-000118,-0.126396987257
ACH-000120,-0.141103951722
ACH-000123,-0.144568339473
ACH-000127,-0.14390780336
ACH-000128,-0.08462128275360001
ACH-000132,-0.164924383771
ACH-000133,-0.09172999878280001
ACH-000137,-0.05638525084649999
ACH-000138,0.0261877813942
ACH-000142,-0.06693101755730001
ACH-000143,0.140404269374
ACH-000146,-0.207274293337
ACH-000148,-0.0541140071628
ACH-000150,-0.12394121540400001
ACH-000152,0.0303311162004
ACH-000153,-0.18815917760899997
ACH-000159,-0.0120267535195
ACH-000160,-0.057616407439000004
ACH-000163,-0.014930377795200001
ACH-000167,-0.136797787596
ACH-000168,-0.012946401304999999
ACH-000169,-0.130174167274
ACH-000178,-0.18752446477499998
ACH-000182,-0.127008847351
ACH-000183,0.0167401082537
ACH-000188,0.056880644299499995
ACH-000189,-0.0668985549404
ACH-000190,-0.0283222098836
ACH-000198,-0.105025373499
ACH-000204,-0.153701896529
ACH-000206,-0.0181312985376
ACH-000207,0.173094540312
ACH-000211,-0.0138857845751
ACH-000215,-0.0527367521932
ACH-000221,-0.244884303067
ACH-000222,0.09833145617399999
ACH-000223,-0.0803341104317
ACH-000226,-0.0236528396397
ACH-000227,-0.0585963944322
