,U2AF1L4 (199746)
ACH-000004,-0.155584442701
ACH-000007,0.08171154166280001
ACH-000009,-0.0847346119909
ACH-000011,-0.185387534652
ACH-000012,-0.234526588838
ACH-000013,-0.543532046619
ACH-000014,-0.23879330877500002
ACH-000015,-0.444461364612
ACH-000017,-0.0648430141515
ACH-000018,-0.0654422922615
ACH-000019,-0.282712646465
ACH-000021,-0.250642360862
ACH-000022,-0.133472962472
ACH-000025,-0.232940746945
ACH-000028,-0.308247672536
ACH-000030,-0.33288226948800004
ACH-000035,-0.374784575435
ACH-000036,-0.321999713242
ACH-000037,-0.19487703287099997
ACH-000039,-0.055471073275499994
ACH-000040,-0.0251420146357
ACH-000041,0.00833456897477
ACH-000042,-0.0943711743179
ACH-000045,-0.293654131863
ACH-000047,-0.17406718639000002
ACH-000052,-0.0874400984138
ACH-000053,-0.129845866685
ACH-000054,-0.154991990354
ACH-000055,-0.0259908289028
ACH-000060,-0.270778126583
ACH-000067,-0.0459184132333
ACH-000070,0.00646586927445
ACH-000075,-0.04194215913030001
ACH-000078,-0.0023510907134000002
ACH-000082,-0.09960902887119999
ACH-000085,-0.218668811673
ACH-000086,-0.198331611978
ACH-000087,-0.16813583052499997
ACH-000092,-0.342187578915
ACH-000095,-0.142806072541
ACH-000097,-0.163492187307
ACH-000098,-0.232826738605
ACH-000099,-0.268847452088
ACH-000108,-0.292986265056
ACH-000113,-0.12329941704000001
ACH-000115,0.0352663186066
ACH-000116,-0.026718052185
ACH-000118,-0.210212496595
ACH-000120,-0.253755038428
ACH-000123,-0.242175208549
ACH-000127,-0.167971264075
ACH-000128,-0.145226573311
ACH-000132,0.0798435793509
ACH-000133,-0.345460964586
ACH-000137,-0.421212460016
ACH-000138,-0.317385953783
ACH-000142,-0.244960416239
ACH-000143,-0.38196250173100005
ACH-000146,-0.232928015854
ACH-000148,-0.013952331511299999
ACH-000150,-0.21451256145999997
ACH-000152,-0.202205792808
ACH-000153,-0.618917220784
ACH-000159,-0.016701150337799998
ACH-000160,-0.29606723926199996
ACH-000163,-0.38368316300099997
ACH-000167,-0.06545777421269999
ACH-000168,0.0310433382221
ACH-000169,-0.082545580468
ACH-000178,-0.128319600196
ACH-000182,-0.008057902984009999
ACH-000183,-0.23597357912500003
ACH-000188,-0.24710928889800002
ACH-000189,-0.386634788703
ACH-000190,-0.219311210273
ACH-000198,-0.232392060367
ACH-000204,-0.471706172972
