,FLYWCH2 (114984)
ACH-000004,-0.091914518529
ACH-000007,-0.35884563194499997
ACH-000009,-0.17818670850499999
ACH-000011,-0.370536240066
ACH-000012,-0.154554886745
ACH-000013,-0.193982488231
ACH-000014,-0.18794119050500002
ACH-000015,-0.172139724558
ACH-000017,-0.0248560959742
ACH-000018,-0.04504444711080001
ACH-000019,-0.327734770664
ACH-000021,-0.219459058578
ACH-000022,-0.0609953353206
ACH-000025,-0.302385370294
ACH-000028,-0.0641777150954
ACH-000030,-0.157642956404
ACH-000035,-0.0973438775405
ACH-000036,-0.33603320938299996
ACH-000037,-0.33072923609
ACH-000039,-0.056302595345
ACH-000040,-0.279067435771
ACH-000041,-0.147015978351
ACH-000042,-0.170996379435
ACH-000045,-0.160449855275
ACH-000047,-0.138328774535
ACH-000052,-0.384397955312
ACH-000053,-0.0906404410959
ACH-000054,-0.38870395014
ACH-000055,-0.00415151386334
ACH-000060,-0.38117114161300003
ACH-000067,-0.254298248331
ACH-000070,-0.191809633435
ACH-000075,-0.0774147760892
ACH-000078,-0.0478928127782
ACH-000082,-0.386344584721
ACH-000085,-0.44981108351800003
ACH-000086,-0.265520857667
ACH-000087,-0.339826877945
ACH-000092,-0.478256651352
ACH-000095,-0.273635416283
ACH-000097,-0.17170891281
ACH-000098,-0.41560353648299997
ACH-000099,-0.133488421941
ACH-000108,-0.290101191262
ACH-000113,-0.303075945656
ACH-000115,-0.25854647981600004
ACH-000116,-0.0840122000248
ACH-000118,-0.191134298262
ACH-000120,-0.0660708350406
ACH-000123,-0.21364499390099997
ACH-000127,-0.11371222602099999
ACH-000128,-0.105875650606
ACH-000132,-0.320230406371
ACH-000133,-0.11441417943900001
ACH-000137,-0.131230660207
ACH-000138,-0.184420578699
ACH-000142,-0.458182079303
ACH-000143,-0.176464657398
ACH-000146,-0.17577388733600002
ACH-000148,-0.413698126356
ACH-000150,-0.039644228864800006
ACH-000152,-0.316041985951
ACH-000153,-0.051688137744
ACH-000159,-0.356082757616
ACH-000160,-0.08372726354960001
ACH-000163,0.000882217372717
ACH-000167,-0.199997530053
ACH-000168,-0.119590462336
ACH-000169,-0.109444908444
ACH-000178,-0.271048265376
ACH-000182,-0.230380922995
ACH-000183,-0.300255707933
ACH-000188,-0.00524909899783
ACH-000189,0.052747038689
ACH-000190,-0.328097483538
ACH-000198,-0.089140688674
ACH-000204,-0.230541400402
ACH-000206,-2.12415160936e-05
ACH-000207,-0.325677674412
ACH-000211,-0.153584502654
ACH-000215,-0.294515682988
ACH-000221,-0.0720443357253
ACH-000222,-0.143208856889
ACH-000223,-0.11768462002
ACH-000226,-0.17552048559
ACH-000227,-0.36615725761100004
ACH-000228,-0.162814968351
ACH-000231,-0.208408550882
ACH-000232,-0.193097080212
ACH-000233,-0.108410524244
ACH-000234,-0.388531781813
ACH-000235,-0.164773767086
ACH-000237,-0.207638730362
ACH-000238,-0.18563417045800001
ACH-000243,-0.241613205136
ACH-000244,-0.5153638399589999
ACH-000246,-0.116506391765
ACH-000248,-0.19423655835700002
ACH-000250,-0.347215470659
ACH-000251,-0.176502634645
ACH-000253,-0.20373759681899997
ACH-000255,-0.0798206556369
ACH-000256,-0.232842027522
ACH-000257,-0.134776155576
ACH-000258,0.053823876713699995
ACH-000259,-0.193468692816
ACH-000260,-0.31828132506900003
ACH-000261,-0.18603291025899998
ACH-000262,-0.288922780725
ACH-000263,-0.362441446542
ACH-000264,-0.0787217040414
ACH-000265,-0.255997657741
ACH-000266,-0.187126014165
ACH-000272,-0.12163985651499999
ACH-000273,-0.21335984139800002
ACH-000274,-0.512245641524
ACH-000277,-0.32463361716999994
ACH-000278,-0.268295026278
