,TFIP11 (24144)
ACH-000004,-1.22220680924
ACH-000007,-0.7903543417309999
ACH-000009,-0.8499607686759999
ACH-000011,-0.808264218608
ACH-000012,-1.04009989177
ACH-000013,-0.912345197379
ACH-000014,-0.819038083966
ACH-000015,-1.06336312149
ACH-000017,-0.9037614326450001
ACH-000018,-0.602726822416
ACH-000019,-0.861412359176
ACH-000021,-0.778162962664
ACH-000022,-0.944396720033
ACH-000025,-0.867123381607
ACH-000028,-1.02015050009
ACH-000030,-0.9740264426980001
ACH-000035,-0.71537372624
ACH-000036,-1.06136230756
ACH-000037,-0.8175708849850001
ACH-000039,-0.661088148054
ACH-000040,-0.646950987329
ACH-000041,-0.7733468092460001
ACH-000042,-0.304645474009
ACH-000045,-0.792257767541
ACH-000047,-1.0906654036299999
ACH-000052,-0.86778568221
ACH-000053,-0.992360441303
ACH-000054,-0.771222827444
ACH-000055,-0.82596429694
ACH-000060,-0.9753817464710001
ACH-000067,-0.818958169848
ACH-000070,-0.997123751699
ACH-000075,-0.847219719638
ACH-000078,-0.719278562541
ACH-000082,-1.03016504078
ACH-000085,-0.732358146214
ACH-000086,-0.530790739513
ACH-000087,-1.00091943282
ACH-000092,-0.788106286598
ACH-000095,-1.00531511647
ACH-000097,-0.804236290203
ACH-000098,-0.761751543149
ACH-000099,-0.7727281202869999
ACH-000108,-1.01620282248
ACH-000113,-0.920479271112
ACH-000115,-2.39122589145
ACH-000116,-1.0307687940299999
ACH-000118,-1.15472189655
ACH-000120,-0.9728883012200001
ACH-000123,-0.802373999089
ACH-000127,-0.698545494372
ACH-000128,-0.717121674808
ACH-000132,-1.0660178308700001
ACH-000133,-1.09610089616
ACH-000137,-1.05856378505
ACH-000138,-0.8080238962620001
ACH-000142,-0.7340764154549999
ACH-000143,-0.770338248312
ACH-000146,-1.1470223788
ACH-000148,-0.7412133430619999
ACH-000150,-0.946558005317
ACH-000152,-0.859695288644
ACH-000153,-0.70035745713
ACH-000159,-0.7292994660690001
ACH-000160,-0.7914033476360001
ACH-000163,-0.7974384345759999
ACH-000167,-0.9065757696150001
ACH-000168,-0.6964088021989999
ACH-000169,-0.9520540210799999
ACH-000178,-0.708163968574
ACH-000182,-0.634150763443
ACH-000183,-0.7614616890729999
ACH-000188,-0.8602276574619999
ACH-000189,-0.715127049694
ACH-000190,-0.8641816248399999
ACH-000198,-0.709930958003
ACH-000204,-0.7976618520909999
ACH-000206,-0.826989553281
ACH-000207,-0.505535082542
ACH-000211,-0.935137233691
ACH-000215,-0.711403632757
ACH-000221,-0.996674796934
ACH-000222,-0.94224162878
ACH-000223,-1.12899643054
ACH-000226,-0.915398961252
ACH-000227,-0.647897955051
ACH-000228,-1.05806416968
ACH-000231,-0.7303534002609999
ACH-000232,-0.942780470601
ACH-000233,-0.765894808766
ACH-000234,-0.7318962750650001
ACH-000235,-0.745799634598
ACH-000237,-0.940203650528
ACH-000238,-0.7337380227570001
ACH-000243,-0.879231948737
ACH-000244,-0.763854741233
ACH-000246,-0.9604819123180001
ACH-000248,-0.9375243953740001
ACH-000250,-0.71040858345
ACH-000251,-0.59037444306
ACH-000253,-0.6742998331110001
ACH-000255,-0.931623536638
ACH-000256,-1.00795021598
ACH-000257,-1.03955556024
ACH-000258,-1.63246409724
ACH-000259,-0.83822837302
ACH-000260,-0.950540230008
ACH-000261,-0.825593705418
ACH-000262,-0.63755878544
ACH-000263,-0.9187267222229999
ACH-000264,-0.868152916401
ACH-000265,-0.967971896644
ACH-000266,-0.964258587975
ACH-000272,-0.854685875011
ACH-000273,-0.996235664557
ACH-000274,-0.6951811878740001
ACH-000277,-1.0216108469
ACH-000278,-1.16927231623
ACH-000279,-0.636337194523
ACH-000280,-0.962107327748
ACH-000281,-0.9652112345799999
ACH-000288,-0.9467000039069999
ACH-000291,-0.917826971991
ACH-000293,-1.07204799403
ACH-000294,-0.637065409243
ACH-000295,-0.706855895192
ACH-000296,-0.889572903298
ACH-000302,-1.10962161723
ACH-000304,-1.11411199894
ACH-000307,-0.7954501132009999
ACH-000308,-0.924468703742
ACH-000310,-0.786101684759
ACH-000311,-0.905271966846
ACH-000312,-0.848341110956
ACH-000315,-1.0478893527500002
ACH-000316,-0.620365496889
ACH-000317,-0.5206847817670001
ACH-000318,-0.7059828276189999
ACH-000319,-0.896789183161
ACH-000320,-0.765298433186
ACH-000322,-0.954389187386
ACH-000323,-0.594912222895
ACH-000324,-0.87358731854
ACH-000329,-0.74971818786
ACH-000330,-0.9289266142649999
ACH-000331,-0.935970470031
ACH-000332,-1.0447674634
ACH-000334,-1.12313077287
ACH-000335,-0.9596166646879999
ACH-000336,-0.67135556964
ACH-000337,-0.855590172781
ACH-000339,-0.789249249199
ACH-000341,-0.734997556178
ACH-000348,-0.833794332693
ACH-000350,-1.16967354133
ACH-000352,-1.1018892706999999
ACH-000356,-0.963205992277
ACH-000361,-0.592273142334
ACH-000362,-0.9360602770569999
ACH-000363,-1.4562370269100002
ACH-000364,-0.511499284222
ACH-000365,-0.760144365066
ACH-000366,-0.8153676040060001
ACH-000368,-0.729369973568
ACH-000374,-0.389421136698
ACH-000375,-0.962454726578
ACH-000376,-0.8958659566680001
ACH-000381,-0.887261957517
ACH-000383,-0.489338249095
ACH-000387,-1.1612606171700002
ACH-000389,-0.887755505352
ACH-000390,-0.9710873171879999
ACH-000393,-0.667725531456
ACH-000395,-1.10956917348
ACH-000397,-1.15345712984
ACH-000401,-0.7211062257170001
ACH-000402,-0.8937468623379999
ACH-000403,-1.21578511904
ACH-000404,-0.8185002113150001
ACH-000406,-1.05869260423
ACH-000407,-0.8142912198119999
ACH-000408,-0.890718337392
ACH-000410,-1.06359834937
ACH-000411,-0.8206531781919999
ACH-000414,-0.950007197031
ACH-000415,-0.440627234445
ACH-000416,-0.9069494767209999
ACH-000420,-0.9594982277159999
ACH-000421,-1.0000989772
ACH-000424,-0.7016845163709999
ACH-000425,-0.919328864865
ACH-000426,-1.721632471
