,PYURF (100996939)
ACH-000004,-0.249125895864
ACH-000007,-0.488959440942
ACH-000009,-0.22525565638300002
ACH-000011,-0.398422761492
ACH-000012,-0.470349092821
ACH-000013,-0.332845591803
ACH-000014,-0.37015712264600004
ACH-000015,-0.473017856853
ACH-000017,-0.238984923379
ACH-000018,-0.569403735444
ACH-000019,-0.864510769932
ACH-000021,-0.364468199096
ACH-000022,-0.344144702964
ACH-000025,-0.394859006291
ACH-000028,-0.746487879124
ACH-000030,-0.38637755833400006
ACH-000035,-0.436945340889
ACH-000036,-0.27258449470199997
ACH-000037,-0.548385410189
ACH-000039,-0.454275105253
ACH-000040,-0.42462335737400003
ACH-000041,-0.550482387727
ACH-000042,-0.262912946737
ACH-000045,-0.363651620949
ACH-000047,-0.305955181934
ACH-000052,-0.14665205568700002
ACH-000053,-0.391522882184
ACH-000054,-0.356164712646
ACH-000055,-0.311503858796
ACH-000060,-0.6304518707710001
ACH-000067,-0.335151419613
ACH-000070,-0.535815257226
ACH-000075,-0.5853556415010001
ACH-000078,-0.392776142465
ACH-000082,-0.543254064592
ACH-000085,-0.179621363706
ACH-000086,-0.35277883870099996
ACH-000087,-0.36123727685900003
ACH-000092,-0.368067638702
ACH-000095,-0.30878763228100004
ACH-000097,-0.254569733864
ACH-000098,-0.409616442101
ACH-000099,-0.335355424006
ACH-000108,-0.206769947713
ACH-000113,-0.618704922001
ACH-000115,-0.138132208768
ACH-000116,-0.319347957317
ACH-000118,-0.7123753511049999
ACH-000120,-0.390600910837
ACH-000123,-0.31266567479699997
ACH-000127,-0.45132200564400005
ACH-000128,-0.46887517371799997
ACH-000132,-0.460545749392
ACH-000133,-0.475894227276
ACH-000137,-0.42882012213
ACH-000138,-0.32569612785
ACH-000142,-0.49711698564999995
ACH-000143,-0.586760187945
ACH-000146,-0.207007242784
ACH-000148,-0.370768865647
ACH-000150,-0.695869706681
ACH-000152,-0.40860789397200004
ACH-000153,-0.57368736851
ACH-000159,-0.424780095334
ACH-000160,-0.555362829498
ACH-000163,-0.41582070210699995
ACH-000167,-0.275066659644
ACH-000168,0.124626108492
ACH-000169,-0.121939210496
ACH-000178,-0.146609697024
ACH-000182,-0.653892996594
ACH-000183,-0.0283472620075
ACH-000188,-0.272150370287
ACH-000189,-0.46776285762100006
ACH-000190,-0.562319490002
ACH-000198,-0.317537493011
ACH-000204,-0.834119759108
ACH-000206,-0.00754959495596
ACH-000207,-0.40533433836800004
ACH-000211,-0.568044408238
ACH-000215,-0.557689084111
ACH-000221,-0.454319234902
ACH-000222,-0.320321629855
ACH-000223,-0.7152957966310001
ACH-000226,-0.45454946369599997
ACH-000227,-0.263733940451
ACH-000228,-0.27223708184900003
ACH-000231,-0.424701372125
ACH-000232,-0.40922708252499995
ACH-000233,-0.260352175474
ACH-000234,-0.254978784172
ACH-000235,-0.382377938545
ACH-000237,-0.347126546097
ACH-000238,-0.415771704855
ACH-000243,-0.41822384845399996
ACH-000244,-0.304047336843
ACH-000246,-0.313133923486
ACH-000248,-0.240612975501
ACH-000250,-0.305092073621
ACH-000251,-0.495560061332
ACH-000253,-0.469568427388
ACH-000255,-0.317202528827
ACH-000256,-0.319793283277
ACH-000257,-0.345102633155
ACH-000258,-0.0288183062103
ACH-000259,-0.33980810820699997
ACH-000260,-0.248831741932
ACH-000261,-0.359892061185
ACH-000262,-0.346827938191
ACH-000263,-0.116161970189
ACH-000264,-0.434290516217
ACH-000265,-0.532989951364
ACH-000266,-0.25494272749200003
ACH-000272,-0.5283909271
ACH-000273,-0.5240686784309999
ACH-000274,-0.431021049502
ACH-000277,-0.470723189629
ACH-000278,-0.27302354133699996
ACH-000279,-0.324979572459
ACH-000280,-0.299541525781
ACH-000281,-0.148831983904
ACH-000288,-0.35465863948200005
ACH-000291,-0.34142453238700005
ACH-000293,-0.42540653500200004
ACH-000294,-0.036337884867300003
ACH-000295,-0.428264919639
ACH-000296,0.000210304146912
ACH-000302,-0.36797830546899996
ACH-000304,-0.391991868129
ACH-000307,-0.305791019321
ACH-000308,-0.453550603689
ACH-000310,-0.227295819963
ACH-000311,-0.327518728963
ACH-000312,-0.277208227075
ACH-000315,-0.396860685215
ACH-000316,-0.641768664319
ACH-000317,-0.5904711127319999
ACH-000318,-0.494264987275
ACH-000319,-0.37990009242299994
ACH-000320,-0.208709423063
ACH-000322,-0.433384211267
ACH-000323,-0.6321322991889999
ACH-000324,-0.0599034342577
ACH-000329,-0.534299615132
ACH-000330,-0.465195451317
ACH-000331,-0.272820711159
ACH-000332,-0.267031728968
ACH-000334,-0.0557611489182
