,MTHFD2L (441024)
ACH-000004,-0.114482569082
ACH-000007,-0.082414323278
ACH-000009,-0.0679813420807
ACH-000011,-0.144724571027
ACH-000012,-0.337367243847
ACH-000013,-0.084011120075
ACH-000014,0.0473458727532
ACH-000015,-0.123761045509
ACH-000017,-0.22822360967500002
ACH-000018,-0.145790010466
ACH-000019,0.0039551351891
ACH-000021,-0.260466517935
ACH-000022,-0.267827511135
ACH-000025,-0.290506327617
ACH-000028,-0.23240627901500002
ACH-000030,-0.197778723456
ACH-000035,-0.113168868515
ACH-000036,-0.252331502055
ACH-000037,-0.232293461899
ACH-000039,-0.19115895285999998
ACH-000040,-0.0552242122498
ACH-000041,-0.348785040375
ACH-000042,-0.22586524188
ACH-000045,-0.042504070356099995
ACH-000047,-0.309187817158
ACH-000052,-0.296891299176
ACH-000053,-0.125058176375
ACH-000054,-0.233059909939
ACH-000055,-0.21290269224800001
ACH-000060,-0.245321956445
ACH-000067,-0.28142622890700003
ACH-000070,-0.058764350102699994
ACH-000075,-0.320856857116
ACH-000078,-0.20068734662999999
ACH-000082,-0.10434686885399999
ACH-000085,-0.281675177948
ACH-000086,-0.25922274999
ACH-000087,-0.19011070905699998
ACH-000092,-0.320943511116
ACH-000095,-0.223873743673
ACH-000097,-0.237611557367
ACH-000098,-0.283892104888
ACH-000099,-0.228296349047
ACH-000108,-0.25494907673
ACH-000113,-0.145908700161
ACH-000115,-0.00012324242246
ACH-000116,-0.168465767651
ACH-000118,-0.157142272128
ACH-000120,0.0383345352542
ACH-000123,-0.18412697426199998
ACH-000127,-0.200060318033
ACH-000128,-0.266052113694
ACH-000132,-0.249404183808
ACH-000133,-0.250699884887
ACH-000137,-0.26663189741
ACH-000138,-0.0856005544425
ACH-000142,-0.320856858557
ACH-000143,-0.261200096524
ACH-000146,-0.0275461628792
ACH-000148,-0.319569713077
ACH-000150,-0.0728711835455
ACH-000152,-0.339366777738
ACH-000153,-0.176356726583
ACH-000159,-0.533708187171
ACH-000160,-0.39670980777099996
ACH-000163,-0.30700807033300004
ACH-000167,-0.44228259985299995
ACH-000168,-0.222249642183
ACH-000169,-0.340941078805
ACH-000178,-0.17146746913600003
ACH-000182,-0.178271889738
ACH-000183,-0.148497787302
ACH-000188,-0.332019347377
ACH-000189,-0.833609895396
ACH-000190,-0.10439186784900001
ACH-000198,-0.159849764152
ACH-000204,-0.40194379679
ACH-000206,-0.46934642998000003
ACH-000207,-0.107557448823
ACH-000211,-0.22864912769999998
ACH-000215,-0.244903509547
ACH-000221,-0.161973075074
ACH-000222,-0.429768459591
ACH-000223,-0.23557845528000002
ACH-000226,-0.34000850983
ACH-000227,-0.276370022482
ACH-000228,-0.40682116502300003
ACH-000231,-0.257648921099
