,MAF1 (84232)
ACH-000004,0.157216980186
ACH-000007,-0.056061118006499995
ACH-000009,-0.13999786004200002
ACH-000011,-0.170706434752
ACH-000012,-0.17036998492199998
ACH-000013,-0.08133389742989999
ACH-000014,-0.455079845897
ACH-000015,-0.025173101074099997
ACH-000017,-0.130165689217
ACH-000018,-0.10932313100199999
ACH-000019,-0.42629792730599997
ACH-000021,-0.0668595690021
ACH-000022,-0.2719409231
ACH-000025,-0.0249859724834
ACH-000028,-0.295460695801
ACH-000030,0.016217635310899998
ACH-000035,-0.0211004707497
ACH-000036,-0.244915970269
ACH-000037,-0.212283906699
ACH-000039,-0.16700985475400001
ACH-000040,-0.09256631137
ACH-000041,-0.474539343384
ACH-000042,-0.07109420610060001
ACH-000045,0.0854749189367
ACH-000047,-0.21295312315
ACH-000052,-0.39815164486500004
ACH-000053,-0.200361929231
ACH-000054,-0.129071675019
ACH-000055,-0.338940460439
ACH-000060,-0.24249212748399998
ACH-000067,-0.0531404849038
ACH-000070,-0.7717076946089999
ACH-000075,-0.100786514241
ACH-000078,-0.14170258707800001
ACH-000082,-0.153251512994
ACH-000085,-0.0298185670605
ACH-000086,-0.0540793916362
ACH-000087,-0.182624728085
ACH-000092,-0.22876415105099998
ACH-000095,-0.315151882371
ACH-000097,-0.404755600591
ACH-000098,0.04630838105190001
ACH-000099,-0.124495382076
ACH-000108,-0.153413394965
ACH-000113,-0.22667397621100002
ACH-000115,-0.525043310927
ACH-000116,-0.329472005947
ACH-000118,-0.137633780991
ACH-000120,-0.0640705606918
ACH-000123,-0.16474676811
ACH-000127,-0.211182665879
ACH-000128,-0.141784889464
ACH-000132,-0.10441661216600001
ACH-000133,-0.415548527474
ACH-000137,0.0243712290223
ACH-000138,-0.102632855418
ACH-000142,-0.031386231869799996
ACH-000143,-0.286697360495
ACH-000146,-0.277158387655
ACH-000148,-0.27327202086999997
ACH-000150,-0.178218947977
ACH-000152,-0.22620629046799998
ACH-000153,-0.261379699002
ACH-000159,-0.106255632145
ACH-000160,-0.163984623619
ACH-000163,-0.316230121229
ACH-000167,-0.16832714837699997
ACH-000168,0.35216518319
ACH-000169,-0.12488084280799999
ACH-000178,-0.123517405426
ACH-000182,-0.0011327253939
ACH-000183,-0.182655884307
ACH-000188,-0.216629583252
ACH-000189,-0.517641922288
ACH-000190,-0.41240963585
ACH-000198,-0.08038087349110001
ACH-000204,0.12408979944
ACH-000206,-0.0274602361807
ACH-000207,-0.08480611655039999
ACH-000211,-0.173585729481
ACH-000215,-0.157083925974
ACH-000221,-0.0748926271529
ACH-000222,-0.20593778960499998
ACH-000223,-0.340573800826
ACH-000226,-0.10946098332399999
ACH-000227,-0.120700161565
ACH-000228,0.009686005375360001
ACH-000231,-0.0970495445829
ACH-000232,-0.21285658754700001
ACH-000233,-0.16831880530699997
ACH-000234,-0.49613446803800004
ACH-000235,-0.133130189605
ACH-000237,-0.200112879064
