,LRRIQ1 (84125)
ACH-000004,0.061635653563800005
ACH-000007,-0.035523249059
ACH-000009,-0.101036396755
ACH-000011,0.08067133379639999
ACH-000012,-0.0841515004672
ACH-000013,-0.024160810398
ACH-000014,0.205275339122
ACH-000015,-0.0122097788821
ACH-000017,-0.0578589285187
ACH-000018,-0.130318573306
ACH-000019,0.445636233433
ACH-000021,-0.063550332838
ACH-000022,-0.027914393662099996
ACH-000025,-0.00206599972021
ACH-000028,-0.039100725743999996
ACH-000030,-0.0053152427127700005
ACH-000035,0.0296799923552
ACH-000036,-0.162389495852
ACH-000037,0.189662432589
ACH-000039,0.0429453490212
ACH-000040,-0.0808506154975
ACH-000041,-0.0738534872703
ACH-000042,-0.0165737246079
ACH-000045,0.128956886007
ACH-000047,0.0632809313184
ACH-000052,-0.0684227299274
ACH-000053,0.0185630159822
ACH-000054,0.10721506405400001
ACH-000055,-0.134979468584
ACH-000060,-0.0307137883437
ACH-000067,-0.24099315017900003
ACH-000070,0.018222647589400003
ACH-000075,0.232181164472
ACH-000078,-0.0878024500994
ACH-000082,-0.50377303761
ACH-000085,-0.186009732224
ACH-000086,-0.046785597615499996
ACH-000087,-0.273356630002
ACH-000092,0.0749324744836
ACH-000095,-0.066064367945
ACH-000097,0.0182127680773
ACH-000098,0.045510921496199994
ACH-000099,-0.000722292563618
ACH-000108,0.124437492022
ACH-000113,0.0983693724025
ACH-000115,0.0729696263327
ACH-000116,0.0141277575541
ACH-000118,-0.09164464326030002
ACH-000120,0.0417394322588
ACH-000123,-0.0703753467043
ACH-000127,-0.125118186891
ACH-000128,0.193747030487
ACH-000132,-0.0456474011297
ACH-000133,-0.13000823998299998
ACH-000137,-0.114792267283
ACH-000138,-0.018992346278099998
ACH-000142,0.010891516560500001
ACH-000143,-0.0587730679208
ACH-000146,0.0705984420367
ACH-000148,0.040846041220999996
ACH-000150,-0.114366021597
ACH-000152,-0.0350420068855
ACH-000153,-0.507274347201
ACH-000159,-0.011498915887
ACH-000160,0.11200897992799999
ACH-000163,-0.13325420653
ACH-000167,-0.0249545911223
ACH-000168,0.0625477846539
ACH-000169,0.118543689076
ACH-000178,-0.0532297958546
ACH-000182,0.108368987804
ACH-000183,-0.19534161517999998
ACH-000188,0.06772700153969999
ACH-000189,-0.186647106903
ACH-000190,-0.026809764449299996
ACH-000198,-0.00540789223195
ACH-000204,-0.148404482625
ACH-000206,0.12944366042199998
ACH-000207,0.0528865970764
ACH-000211,-0.139691585176
ACH-000215,-0.0646230672885
ACH-000221,0.154662342985
ACH-000222,0.05740095632259999
ACH-000223,0.08338279707719999
ACH-000226,-0.017223456679
ACH-000227,-0.175874218301
ACH-000228,0.197123814868
ACH-000231,0.05822695476840001
ACH-000232,-0.0583077322559
ACH-000233,-0.054558676568900004
ACH-000234,-0.24603998109
ACH-000235,-0.0121805881525
ACH-000237,-0.08624678033199999
ACH-000238,-0.028991677680700004
ACH-000243,0.0644652113176
ACH-000244,-0.035923380467
ACH-000246,0.0364143760571
ACH-000248,0.00464066465897
ACH-000250,0.0016787668897300001
ACH-000251,-0.0452694736013
ACH-000253,-0.0670156944643
ACH-000255,0.116368670194
ACH-000256,-0.0147374828308
ACH-000257,0.0754632913866
ACH-000258,0.157059809481
ACH-000259,-0.08263029585489999
ACH-000260,0.015109577597100002
ACH-000261,-0.136317743321
ACH-000262,0.202240876897
ACH-000263,0.37579079265299997
ACH-000264,0.11895749336400001
ACH-000265,-0.02537049183
ACH-000266,-0.041251484686
ACH-000272,0.010974063808600002
ACH-000273,0.0348711854086
ACH-000274,-0.0597515228165
ACH-000277,-0.107808335557
ACH-000278,-0.199616622643
ACH-000279,-0.116905484979
ACH-000280,-0.067480328799
ACH-000281,-0.08582832204600001
ACH-000288,0.0524341499936
ACH-000291,0.09413695723950001
ACH-000293,-0.012280413870200001
ACH-000294,-0.17194687396400002
ACH-000295,0.22328042011799998
ACH-000296,0.00400722551123
ACH-000302,-0.0215906690979
ACH-000304,-0.34421319083400004
ACH-000307,-0.0037330674712399998
ACH-000308,0.0253423099756
ACH-000310,0.07802582888939999
ACH-000311,-0.0040098195318
ACH-000312,0.0680465193383
ACH-000315,0.0035184287647399997
ACH-000316,0.17795031157699998
ACH-000317,0.0512212129304
ACH-000318,0.045058153247100004
ACH-000319,-0.05688898036119999
ACH-000320,-0.0196717537407
ACH-000322,-0.11481497776900002
ACH-000323,-0.0628304546518
ACH-000324,-0.11234691714400001
ACH-000329,0.0498360668845
ACH-000330,0.0326476733895
ACH-000331,0.0523150809086
ACH-000332,-0.06662301065659999
ACH-000334,-0.0402133200951
ACH-000335,-0.0793954869411
ACH-000336,0.190894057536
ACH-000337,0.0296797989279
ACH-000339,0.0187281137232
ACH-000341,-0.08932227260719999
ACH-000348,0.0133970328113
ACH-000350,0.0789296622188
ACH-000352,-0.073905399606
ACH-000356,0.027535606547599997
ACH-000361,-0.022025907996099995
ACH-000362,-0.012058412277500001
ACH-000363,0.0810276909148
ACH-000364,0.0662457810127
ACH-000365,-0.025111678541900002
ACH-000366,0.0184205623998
ACH-000368,0.0205684883239
ACH-000374,0.062587014229
ACH-000375,-0.0810101150952
ACH-000376,0.19986112605300002
ACH-000381,0.16833440969900001
ACH-000383,-0.053436064408
ACH-000387,-0.12883100545600001
ACH-000389,0.10586842062999999
ACH-000390,-0.0756575167396
ACH-000393,0.0331310286615
ACH-000395,-0.260699259726
ACH-000397,-0.0238855668603
ACH-000401,0.100014404815
ACH-000402,0.126223951265
ACH-000403,-0.0369706750738
ACH-000404,-0.596520392796
ACH-000406,-0.024696311704700002
ACH-000407,-0.10448876444
ACH-000408,0.26773185682100004
ACH-000410,-0.055793538874300004
ACH-000411,-0.012359584992100001
ACH-000414,-0.17264076275499998
ACH-000415,0.0021604948589899996
ACH-000416,-0.131980016093
ACH-000420,0.240963805581
ACH-000421,0.0313917014715
ACH-000424,0.021321317942099998
ACH-000425,0.08975981078510001
ACH-000426,-0.0379350505224
ACH-000427,0.326233923764
ACH-000433,-0.340682022844
ACH-000436,-0.084844785341
ACH-000444,-0.027626350852200002
ACH-000445,0.18818907473299998
ACH-000448,0.0368660102731
ACH-000450,0.320232324826
ACH-000452,-0.0966717521951
ACH-000454,-0.0799623518
ACH-000458,-0.0841214644281
ACH-000459,-0.20861249735100001
ACH-000460,-0.0156379664256
ACH-000461,0.0242263005001
ACH-000463,0.125986478764
ACH-000464,-0.0335695633883
ACH-000466,-0.0960759185875
ACH-000467,0.0126781620055
ACH-000468,-0.00063406476624
ACH-000469,0.04403220134409999
ACH-000470,0.10758392773900001
ACH-000471,0.322727729148
ACH-000472,-0.096871615077
ACH-000473,-0.00937128943088
ACH-000475,0.09348235591019999
ACH-000476,-0.00115261404542
ACH-000477,0.134726133979
ACH-000480,0.0777396371012
ACH-000481,-0.188168109173
ACH-000483,0.08673422860999999
ACH-000484,0.101411625494
ACH-000485,-0.159496925167
ACH-000486,-0.076158454393
ACH-000487,0.0703067292453
ACH-000488,0.059911799188299995
ACH-000490,-0.13483137433700002
ACH-000491,-0.0988998582779
ACH-000495,0.0703731043968
ACH-000496,-0.024578410943800002
ACH-000499,0.00075941245413
ACH-000500,0.125936672036
ACH-000502,-0.09499924270950001
ACH-000503,-0.119716699308
ACH-000505,0.030425766402500002
ACH-000507,-0.09518679521649999
ACH-000510,0.0560036226626
ACH-000511,0.11981517950500001
ACH-000512,0.11388613164200001
ACH-000516,-0.119671614357
ACH-000517,-0.0425629498283
ACH-000518,0.11672799890900001
ACH-000520,-0.114890257046
ACH-000521,0.0215646088319
ACH-000522,-0.0572983032657
ACH-000524,-0.049503592040900005
ACH-000527,0.0267994303235
ACH-000528,-0.100215875628
ACH-000537,0.105627814146
ACH-000541,0.011259781701100001
ACH-000542,-0.07621746991339999
ACH-000544,0.146229969869
ACH-000545,-0.0562595886521
ACH-000547,0.13866765731
ACH-000548,0.057687059618
ACH-000549,-0.04249658285730001
ACH-000550,-0.163536965094
ACH-000552,0.0240305696224
ACH-000556,-0.0934690147578
ACH-000557,0.039508382569900004
ACH-000570,0.0161461863983
ACH-000571,-0.0663851960243
ACH-000573,0.056094512073300004
ACH-000576,0.08133816737380001
ACH-000580,-0.133457432951
ACH-000584,0.049388172579199995
ACH-000585,-0.011331022456499999
ACH-000588,0.142368887982
ACH-000589,0.10193638298299999
ACH-000591,-0.031110020944599998
ACH-000593,-0.0632566513042
ACH-000600,-0.025639342647
ACH-000601,0.0374331503835
ACH-000604,-0.23056374423599998
ACH-000605,-0.100022066474
ACH-000606,-0.147786556719
ACH-000608,-0.0029049134160100006
ACH-000614,-0.124017869436
ACH-000616,-0.141894744983
ACH-000618,-0.056601047875600004
ACH-000619,0.121951441118
ACH-000620,0.046459776665500004
ACH-000621,-0.09246227743110001
ACH-000622,0.130379124657
ACH-000623,-0.038766230076900006
ACH-000624,0.022389199542
ACH-000627,-0.0717137183085
ACH-000630,0.000806973723001
ACH-000632,-0.169988568741
ACH-000633,0.08760303552130001
ACH-000637,0.0795593551981
ACH-000638,-0.0411977034636
ACH-000646,0.106576971972
ACH-000647,-0.0687578819852
ACH-000648,0.0753550078148
ACH-000649,0.00510078460478
ACH-000651,-0.017238102789200002
ACH-000652,-0.084435082318
ACH-000653,-0.135699975567
ACH-000657,-0.0449126881464
ACH-000658,-0.0061820987864399995
ACH-000661,-0.0654914969285
ACH-000662,-0.046884732909000006
ACH-000663,-0.0277359325117
ACH-000665,-0.0563781752909
ACH-000671,0.030205035923200004
ACH-000673,-0.0347526852233
ACH-000676,-0.100426316131
ACH-000677,-0.20491916006299998
ACH-000681,0.1038887811
ACH-000682,-0.0755077202094
ACH-000683,-0.0459025353322
ACH-000684,0.197502578594
ACH-000688,-0.0369100705157
ACH-000693,0.023845513596900004
ACH-000694,0.0566420029459
ACH-000695,-0.18606447569600001
ACH-000696,0.0172487903838
ACH-000697,0.003933145243900001
ACH-000699,-0.0237359519411
ACH-000701,-0.19626604632599998
ACH-000706,-0.0316930835085
ACH-000711,-0.00784128680477
ACH-000713,-0.014196059334899999
ACH-000714,-0.0320729297927
ACH-000718,-0.137118330206
ACH-000720,-0.07707987128800001
ACH-000721,-0.0614928476488
ACH-000724,0.239812457666
ACH-000725,0.0729995255616
ACH-000732,0.10639185568800001
ACH-000734,-0.0633256535998
ACH-000735,-0.0918002183853
ACH-000736,-0.0797966599026
ACH-000738,-0.00045905083652199996
ACH-000746,-0.026678888752900004
ACH-000747,0.07133704320739999
ACH-000748,0.15457685394
ACH-000753,-0.18162193579500002
ACH-000756,-0.247065681136
ACH-000757,0.0170639445375
ACH-000758,0.0237448638509
ACH-000760,0.10646744771700001
ACH-000763,0.023576219964
ACH-000764,-0.00871553255268
ACH-000765,-0.12153614938400001
ACH-000766,-0.029155703163700003
ACH-000767,0.0597472787541
ACH-000768,-0.169858380649
ACH-000769,0.0046236615833500005
ACH-000770,0.0301065373691
ACH-000771,0.00255131399941
ACH-000773,-0.220795164293
ACH-000776,-0.05142037976700001
ACH-000777,-0.143779585
ACH-000778,0.29782274171399997
ACH-000781,-0.0235654319031
ACH-000782,-0.07683577623039999
ACH-000783,-0.0993091509551
ACH-000784,0.0547899341955
ACH-000785,-0.023890938080599996
ACH-000787,-0.127925779355
ACH-000788,0.00783895843306
ACH-000791,0.054573684216400006
ACH-000792,-0.0228122506153
ACH-000794,-0.0252852588719
ACH-000796,-0.0484533071976
ACH-000799,-0.265641227931
ACH-000800,-0.0750364915577
ACH-000802,-0.024936874470599998
ACH-000804,0.054207135826500004
ACH-000805,0.062729155987
ACH-000809,-0.033160138134400004
ACH-000810,-0.076364823219
ACH-000811,-0.06474869691549999
ACH-000817,-0.0798740567127
ACH-000819,-0.138402073051
ACH-000820,-0.181609164613
ACH-000821,0.07257082086319999
ACH-000822,-0.042076519356699996
ACH-000823,-0.0310844940319
ACH-000824,0.0262047936341
ACH-000827,0.0047198856895
ACH-000829,0.281063815765
ACH-000831,0.015575100151200002
ACH-000832,-0.21164421121100002
ACH-000833,-0.015086931458700001
ACH-000834,0.0519304644346
ACH-000835,0.0009156534337989999
ACH-000836,-0.119461374891
ACH-000837,0.00874117326719
ACH-000838,-0.0101550938017
ACH-000839,0.045692735484800004
ACH-000840,0.0967858829696
ACH-000841,-0.0832954752546
ACH-000843,-0.0257733801664
ACH-000846,-0.0385766478226
ACH-000847,-0.023118653646
ACH-000848,0.0197602193038
ACH-000849,0.00484755348263
ACH-000851,0.11466520423
ACH-000855,0.053763939196
ACH-000856,0.025057300408400002
ACH-000858,0.155336603401
ACH-000859,-0.44651019656
ACH-000861,0.0685849618797
ACH-000862,0.08929996265360002
ACH-000865,-0.0394932751317
ACH-000866,0.023242573404200002
ACH-000867,-0.0214270017591
ACH-000869,-0.0403199953455
ACH-000872,0.0341530281315
ACH-000873,0.0930787202373
ACH-000876,0.0571803134334
ACH-000878,-0.08207932381369999
ACH-000880,-0.0024183555932199997
ACH-000881,0.0246091142911
ACH-000882,0.137802940573
ACH-000884,0.022499630633999998
ACH-000885,-0.151532023511
ACH-000887,0.00936560785116
ACH-000888,0.07571020587989999
ACH-000889,-0.09335631388160001
ACH-000890,0.27512952139
ACH-000896,-0.0511424117174
ACH-000898,-0.036341264436699994
ACH-000900,-0.241457570452
ACH-000901,-0.113695004032
ACH-000905,0.015845137260700002
ACH-000906,-0.0836968365668
ACH-000907,0.362453815022
ACH-000910,0.0378015507423
ACH-000911,-0.155314214064
ACH-000912,-0.07012381067489999
ACH-000913,0.00739391926412
ACH-000915,0.018494617912
ACH-000916,-0.141401197138
ACH-000917,0.0064696341327000004
ACH-000921,-0.12478668655200001
ACH-000924,-0.156570278714
ACH-000926,0.0294055665067
ACH-000928,-0.206490706206
ACH-000929,-0.024273728755099998
ACH-000932,0.0558670227338
ACH-000935,0.0809999444413
ACH-000936,-0.09965815484539998
ACH-000937,-0.028209520545799997
ACH-000938,-0.142140885001
ACH-000939,0.174164172418
ACH-000941,0.07924282319789999
ACH-000943,-0.00712850422961
ACH-000946,-0.0107626406241
ACH-000947,-0.0268563014519
ACH-000948,-0.15218301867999998
ACH-000950,0.07396624075010001
ACH-000953,-0.04450523704440001
ACH-000957,0.207133513718
ACH-000958,-0.047470666731400005
ACH-000960,0.0613637930509
ACH-000963,0.152034843295
ACH-000968,0.0822435872256
ACH-000969,-0.0604877703431
ACH-000973,0.0353023455203
ACH-000974,-0.013636504990100001
ACH-000975,-0.0766846740474
ACH-000976,0.0992833184835
ACH-000978,-0.0667872975074
ACH-000980,0.029863104975499998
ACH-000984,-0.035527803086300005
ACH-000986,-0.005950785343279999
ACH-000988,0.0256268586334
ACH-000993,-0.130327099683
ACH-000994,0.212400723352
ACH-000996,-0.0443969060322
ACH-001001,-0.0137298378522
ACH-001020,0.261219815419
ACH-001028,-0.0982768678212
ACH-001031,-0.141494533048
ACH-001038,-0.0805614248357
ACH-001048,-0.15644892611800001
ACH-001050,0.0032783443762800005
ACH-001053,-0.0517480771282
ACH-001054,-0.114440814448
ACH-001061,0.0263809565682
ACH-001067,-0.180487854132
ACH-001075,-0.0280908309711
ACH-001096,-0.147910005647
ACH-001128,-0.111163765487
ACH-001134,0.0369172388711
ACH-001151,-0.0817963669412
ACH-001163,0.0019701086455699997
ACH-001164,0.20050072142900002
ACH-001173,-0.09626005881000001
ACH-001183,-0.06320590144709999
ACH-001184,-0.127910124914
ACH-001190,0.0527092297411
ACH-001192,0.106357971776
ACH-001193,-0.0863729009254
ACH-001196,-0.0357945069701
ACH-001197,-0.111390284162
ACH-001205,0.126607161524
ACH-001211,-0.190157159465
ACH-001212,0.17397375131599999
ACH-001228,-0.172584575453
ACH-001232,0.022039947844799998
ACH-001239,-0.043504408095
ACH-001274,-0.09813896235469999
ACH-001275,0.064578072967
