,CLPS (1208)
ACH-000004,-0.380039852293
ACH-000007,-0.47349144765600004
ACH-000009,-0.288833498563
ACH-000011,-0.406327576954
ACH-000012,-0.3852164806
ACH-000013,-0.466404010951
ACH-000014,-0.478937246108
ACH-000015,-0.42396897815300005
ACH-000017,-0.275949275507
ACH-000018,-0.295454892281
ACH-000019,-0.7512569373929999
ACH-000021,-0.497846324422
ACH-000022,-0.45543380085100005
ACH-000025,-0.40878032436899997
ACH-000028,-0.34746534834299997
ACH-000030,-0.33818664603500004
ACH-000035,-0.27052968609
ACH-000036,-0.587150634811
ACH-000037,-0.507331789855
ACH-000039,-0.131106641436
ACH-000040,-0.583577116052
ACH-000041,-0.25780112050500004
ACH-000042,-0.22006864971700002
ACH-000045,-0.5115340202359999
ACH-000047,-0.417668460437
ACH-000052,-0.502094413127
ACH-000053,-0.288476299371
ACH-000054,-0.655881953267
ACH-000055,-0.372068363465
ACH-000060,-0.672807827059
ACH-000067,-0.443374440538
ACH-000070,-0.247649433015
ACH-000075,-0.23241858153900002
ACH-000078,-0.5395183439819999
ACH-000082,-0.651649060738
ACH-000085,-0.447382179403
ACH-000086,-0.557798767635
ACH-000087,-0.041190181048
ACH-000092,-0.5940149940030001
ACH-000095,-0.31474788479000004
ACH-000097,-0.370634363064
ACH-000098,-0.357745648345
ACH-000099,-0.20877060462000002
ACH-000108,-0.6804232322529999
ACH-000113,-0.393153733262
ACH-000115,-0.5603213674549999
ACH-000116,-0.44967656478699997
ACH-000118,-0.396547420726
ACH-000120,-0.650894156579
ACH-000123,-0.41198332060000004
ACH-000127,-0.433432148859
ACH-000128,-0.559161976666
ACH-000132,-0.404064301697
ACH-000133,-0.35630423949
ACH-000137,-0.45466785249200004
ACH-000138,-0.667386695392
ACH-000142,-0.634267323211
ACH-000143,-0.7277617711100001
ACH-000146,-0.35694853292499995
ACH-000148,-0.267025628239
ACH-000150,-0.20798926176899998
ACH-000152,-0.329036033028
ACH-000153,-0.32835990417
ACH-000159,-0.5241063667670001
ACH-000160,-0.47097121291599997
ACH-000163,-0.200919610035
ACH-000167,-0.696755579413
ACH-000168,-0.510022637053
ACH-000169,-0.357270488251
ACH-000178,-0.336098576756
ACH-000182,-0.291011522761
ACH-000183,-0.5488157090079999
ACH-000188,-0.5380071988530001
ACH-000189,-0.058179236354800004
ACH-000190,-0.604073252535
ACH-000198,-0.483193630373
ACH-000204,-0.447136439398
ACH-000206,-0.354251011209
ACH-000207,-0.49119532944600003
ACH-000211,-0.427941215441
ACH-000215,-0.319707513121
ACH-000221,-0.33572430309
ACH-000222,-0.586743567219
ACH-000223,-0.586520859019
ACH-000226,-0.12113309203400001
ACH-000227,-0.6399971152139999
ACH-000228,-0.49431546509999996
ACH-000231,-0.507358169471
ACH-000232,-0.397706973046
ACH-000233,-0.300449799824
ACH-000234,-0.410083626803
ACH-000235,-0.34282792220799996
ACH-000237,-0.277155767273
ACH-000238,-0.511606830871
ACH-000243,-0.395690953345
ACH-000244,-0.447722405594
ACH-000246,-0.426321299132
ACH-000248,-0.497959182966
ACH-000250,-0.510597557463
ACH-000251,-0.5307797692790001
ACH-000253,-0.262135272269
ACH-000255,-0.333654916939
ACH-000256,-0.20539793916700003
ACH-000257,-0.541800117567
ACH-000258,-0.322974049356
ACH-000259,-0.508112689732
ACH-000260,-0.481990727891
ACH-000261,-0.44374391274999997
ACH-000262,-0.447396746775
