,GPHN (10243)
ACH-000004,0.00118640600359
ACH-000007,-0.0776687031158
ACH-000009,-0.0729841965352
ACH-000011,0.0371662190212
ACH-000012,0.021026028660499997
ACH-000013,-0.04299009166130001
ACH-000014,0.0232767524223
ACH-000015,-0.05047264454369999
ACH-000017,-0.08666519138969998
ACH-000018,0.0790440784637
ACH-000019,0.00828450740391
ACH-000021,0.036442994356699995
ACH-000022,0.0399803301191
ACH-000025,-0.11221684179300001
ACH-000028,-0.239747039356
ACH-000030,0.0123000628489
ACH-000035,-0.141674619029
ACH-000036,0.019234728443
ACH-000037,0.263243494781
ACH-000039,-0.16845388157699998
ACH-000040,0.043601178377400004
ACH-000041,0.191155283191
ACH-000042,-0.09937485703400001
ACH-000045,-0.0135206567231
ACH-000047,-0.12261177800300001
ACH-000052,-0.104418704342
ACH-000053,-0.0100105606679
ACH-000054,-0.028009856555499996
ACH-000055,-0.0718000018455
ACH-000060,-0.101057420262
ACH-000067,0.0139252203474
ACH-000070,0.0049792625787799995
ACH-000075,0.113223759609
ACH-000078,-0.014527042441200002
ACH-000082,0.0905882988983
ACH-000085,0.0993474653633
ACH-000086,-0.0430788369613
ACH-000087,0.0407823744998
ACH-000092,0.0865891841602
ACH-000095,-0.0015656625518
ACH-000097,-0.0621937229182
ACH-000098,-0.045157818544899996
ACH-000099,-0.0201056881605
ACH-000108,0.014486852830700002
ACH-000113,-0.0539699307206
ACH-000115,-0.0507815668245
ACH-000116,0.122853803715
ACH-000118,-0.10924575159399999
ACH-000120,-0.154366094648
ACH-000123,-0.03918463754030001
ACH-000127,-0.059499473220300005
ACH-000128,-0.111738854877
ACH-000132,-0.0149455406994
ACH-000133,-0.024635324025300002
ACH-000137,-0.09320795401149999
ACH-000138,-0.0715690425709
ACH-000142,0.018276326900099997
ACH-000143,-0.182143577959
ACH-000146,-0.0784731731489
ACH-000148,0.0264616016525
ACH-000150,0.07108387307939999
ACH-000152,-0.007335926392439999
ACH-000153,-0.293158843128
