,PLA2G4F (255189)
ACH-000004,-0.0323951848197
ACH-000007,-0.097547575962
ACH-000009,-0.152839872483
ACH-000011,-0.107318161001
ACH-000012,-0.13925431874000002
ACH-000013,-0.132195149605
ACH-000014,0.029579973000400002
ACH-000015,-0.139524315684
ACH-000017,-0.048880754035
ACH-000018,-0.049082524915500005
ACH-000019,-0.123807082057
ACH-000021,0.0611198918696
ACH-000022,-0.0677096607618
ACH-000025,-0.242674299511
ACH-000028,0.050800142471500005
ACH-000030,-0.12321126559000001
ACH-000035,-0.226979519219
ACH-000036,-0.0737116577985
ACH-000037,-0.261003501884
ACH-000039,-0.0838320745885
ACH-000040,0.0132886033632
ACH-000041,-0.22683074962699998
ACH-000042,-0.07213836100589999
ACH-000045,-0.08963895985840001
ACH-000047,-0.292768292597
ACH-000052,-0.248105961325
ACH-000053,-0.24604431822099998
ACH-000054,-0.0676635837227
ACH-000055,-0.292323374732
ACH-000060,-0.19115317622000003
ACH-000067,-0.20858608492
ACH-000070,-0.09281403635189998
ACH-000075,0.0403389357598
ACH-000078,0.0190104188537
ACH-000082,-0.33654485388000005
ACH-000085,-0.307810311648
ACH-000086,-0.0796416785745
ACH-000087,0.113048609613
ACH-000092,-0.22101388484700002
ACH-000095,-0.11601481976900001
ACH-000097,0.016357961646
ACH-000098,-0.07683418863139999
ACH-000099,-0.12862398733
ACH-000108,0.12473532110200002
ACH-000113,-0.11844601763
ACH-000115,-0.24542568053599997
ACH-000116,-0.176663197293
ACH-000118,-0.07635337225160001
ACH-000120,-0.0399197042321
ACH-000123,-0.0520406271451
ACH-000127,-0.0441338451517
ACH-000128,-0.29181089948600003
ACH-000132,-0.370336508038
ACH-000133,0.00796342625897
ACH-000137,-0.189483868836
ACH-000138,0.0539951626063
ACH-000142,-0.137290551102
ACH-000143,-0.160634408818
ACH-000146,-0.16198110722
ACH-000148,-0.141650929783
ACH-000150,-0.141103206921
ACH-000152,-0.09786810862050001
ACH-000153,-0.12433892845799999
ACH-000159,-0.0730885744667
ACH-000160,-0.13958558281
ACH-000163,0.123212736224
