,LRRD1 (401387)
ACH-000495,-0.168699243601
ACH-000496,0.146816481471
ACH-000499,0.157491582444
ACH-000500,0.4851045826
ACH-000502,0.0492140242743
ACH-000503,0.41119558083700003
ACH-000505,0.16257240387900002
ACH-000507,0.24887030130600002
ACH-000510,-0.0260937858932
ACH-000511,0.244989467601
ACH-000512,0.120057212951
ACH-000516,0.0674580227026
ACH-000517,0.160656401491
ACH-000518,0.316603245815
ACH-000520,0.21852732628899998
ACH-000521,0.0809728896859
ACH-000522,0.0997267424083
ACH-000524,0.12760402900599999
ACH-000527,0.0119138598
ACH-000528,0.07806471508480001
ACH-000537,0.0279748440851
ACH-000541,0.16146515624500002
ACH-000542,-0.00176853165224
ACH-000544,0.202226396321
ACH-000545,-0.044002484310499995
ACH-000547,0.506690942562
ACH-000548,0.123122612167
ACH-000549,0.18971018521299998
ACH-000550,-0.05696984922119999
ACH-000552,0.08615205287380001
ACH-000556,0.242248240299
ACH-000557,0.107673043891
ACH-000570,0.280802349015
ACH-000571,0.268997987374
ACH-000573,0.328615148106
ACH-000576,0.257085175318
ACH-000580,0.129857020205
ACH-000584,0.0532021922559
ACH-000585,0.0459530311291
ACH-000588,0.126618244707
ACH-000589,0.0998975572559
ACH-000591,0.0823860866571
ACH-000593,0.0677113849988
ACH-000600,0.345380181122
ACH-000601,0.175323318657
ACH-000604,-0.179023925962
ACH-000605,0.17117390985599998
ACH-000606,0.18189141047899998
ACH-000608,0.0839690759248
ACH-000614,-0.0958155198446
ACH-000616,0.183888259364
ACH-000618,0.213247609747
ACH-000619,0.17360229403799998
ACH-000620,0.239451192646
ACH-000621,0.13359492570999998
ACH-000622,0.130343083698
ACH-000623,0.0894409891604
ACH-000624,0.009463770576149999
ACH-000627,-0.0590778611233
ACH-000630,0.0819343757734
ACH-000632,0.0573144615745
ACH-000633,0.131315325529
ACH-000637,0.19095760434700002
ACH-000638,0.0925697349656
ACH-000646,0.375876614948
ACH-000647,0.259955963829
ACH-000648,0.114000151115
ACH-000649,0.040721802311699994
ACH-000651,0.11994310151799999
ACH-000652,0.161531255187
ACH-000653,0.148237741864
ACH-000657,0.0827439667448
ACH-000658,0.020796841405200002
ACH-000661,0.113715562775
ACH-000662,0.168556952694
ACH-000663,0.265968922111
ACH-000665,0.047513158597
ACH-000671,0.18837931244800002
ACH-000673,0.0300412406972
ACH-000676,-0.0938002069262
ACH-000677,0.19006811012400002
ACH-000681,0.214782569698
ACH-000682,-0.0474869865961
ACH-000683,-0.005383685130310001
ACH-000684,-0.22498701125300002
ACH-000688,-0.0765306973361
ACH-000693,0.15334776969900002
ACH-000694,-0.0289894402621
ACH-000695,0.0824314043708
ACH-000696,0.035102884699400004
ACH-000697,0.0742404560643
ACH-000699,0.0020126634404300002
ACH-000701,0.449437915138
ACH-000706,0.123794242737
ACH-000711,0.0868372435114
ACH-000713,0.0932039297792
ACH-000714,-0.05783633415850001
ACH-000718,0.25336392401700003
ACH-000720,0.22722552887400002
ACH-000721,0.10129091371099999
ACH-000724,0.511911567402
ACH-000725,-0.00399694885383
ACH-000732,-0.0777790215113
ACH-000734,0.146562711977
ACH-000735,0.07732249633339999
ACH-000736,0.358315367028
ACH-000738,0.278465157094
ACH-000746,0.044921397102899996
ACH-000747,0.111261265055
ACH-000748,-0.05390701616330001
ACH-000753,0.177243764944
ACH-000756,0.196737058484
ACH-000757,-0.00953109807934
ACH-000758,0.21087976
ACH-000760,0.27765986057799996
ACH-000763,0.109596403336
ACH-000764,0.269831263963
ACH-000765,0.0464016569934
ACH-000766,0.256768485298
ACH-000767,0.04622512650769999
ACH-000768,0.086498333961
ACH-000769,-0.15210149546399998
ACH-000770,0.246683474633
ACH-000771,0.120852915655
ACH-000773,-0.11021781273600001
ACH-000776,-0.0913678773123
ACH-000777,0.17988445492199998
ACH-000778,0.0140381309614
ACH-000781,0.0714561879306
ACH-000782,0.0998226195455
ACH-000783,0.145695465961
ACH-000784,0.0303888329514
ACH-000785,0.179814772291
ACH-000787,-0.06997048253100001
ACH-000788,0.0105131281093
ACH-000791,0.031098710762
ACH-000792,0.288872497655
ACH-000794,0.202069691969
ACH-000796,0.111288545965
ACH-000799,0.333668019626
ACH-000800,0.191201617437
ACH-000802,0.0849500381608
ACH-000804,0.245714997844
ACH-000805,0.103731767262
ACH-000809,0.138072898875
ACH-000810,0.28385644784200004
ACH-000811,0.008262969955449999
ACH-000817,-0.0239576044612
ACH-000819,0.122188350283
ACH-000820,0.24949256564199998
ACH-000821,0.0140797418058
ACH-000822,0.21138128774599999
ACH-000823,0.036170422184900006
ACH-000824,0.228437166778
ACH-000827,0.0530696142074
ACH-000829,0.20758087354600002
ACH-000831,0.104142242734
ACH-000832,0.09828507843489999
ACH-000833,-0.0550338809038
ACH-000834,0.0813987216768
ACH-000835,0.13862041549
ACH-000836,0.104992147784
ACH-000837,-0.031418309895799995
ACH-000838,-0.0206676777104
ACH-000839,0.277363101156
ACH-000840,0.30047276851
ACH-000841,-0.173713586893
ACH-000843,0.228900606462
ACH-000846,0.263035953533
ACH-000847,0.100672836957
ACH-000848,0.0547461604039
ACH-000849,-0.0194906508568
ACH-000851,-0.192030141026
ACH-000855,0.0123158041507
ACH-000856,0.216845293187
ACH-000858,0.316050325302
ACH-000859,0.150570534689
ACH-000861,0.145455958913
ACH-000862,0.11463766445599999
ACH-000865,0.233197409584
ACH-000866,0.017883073576099997
ACH-000867,0.11924107877599999
ACH-000869,0.127611732585
ACH-000872,0.043511383829300004
ACH-000873,0.00790325630283
ACH-000876,-0.04794136583869999
ACH-000878,0.0213657850916
ACH-000880,0.29053753095699997
ACH-000881,0.067939036396
ACH-000882,-0.0252263743182
ACH-000884,0.17665183363899997
ACH-000885,-0.0275831589928
ACH-000887,-0.00505411451479
ACH-000888,0.106105871614
ACH-000889,0.037621556704800004
